Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
1,401,13,18,2012/22349,2014120078,12_1,1,Oost-Vl,Healthy,Carnica,1860,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
10,2498,15,3,2012/22506,2102120132,12_10,3,Oost-Vl,Healthy,Unknown,9150,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
100,1829,12,53,2012/22171,2550120136,12_100,1,Limburg,Healthy,Buckfast + Carnica,3920,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
101,1829,12,54,2012/22173,2550120137,12_101,2,Limburg,Healthy,Buckfast + Carnica,3920,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
102,1829,12,55,2012/22175,2550120138,12_102,3,Limburg,Healthy,Buckfast + Carnica,3920,5.3076895,51.2305657,Lommel,9.275825346,OA,Thymol,None,12
103,531,8,9,2012/21723,2102120118,12_103,1,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,3.388429752,OA,None,None,12
104,48,16,9,2012/22593,2460120074,12_104,1,West. Vl.,Healthy,Carnica,8600,2.8647185,51.0333408,Diksmuide,0,OA,OA,OA,12
105,677,8,3,2012/21705,2460120037,12_105,1,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
106,677,8,4,2012/21711,2460120038,12_106,2,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
107,677,8,5,2012/21716,2460120039,12_107,3,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
108,677,8,6,2012/21719,2460120040,12_108,4,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
109,677,8,7,2012/21721,2460120041,12_109,5,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
11,866,9,3,2012/21818,2460120043,12_11,1,West-Vl,WL,Carnica,8906,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
110,677,8,8,2012/21722,2460120042,12_110,6,West. Vl.,WL,Hybrid,8490,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
111,749,4,33,2012/21412,2160120012,12_111,1,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
112,749,4,35,2012/21417,2160120013,12_112,2,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
113,749,4,36,2012/21418,2160120014,12_113,3,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
114,749,4,39,2012/21421,2160120015,12_114,4,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
115,749,4,41,2012/21423,2160120016,12_115,5,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
116,749,4,47,2012/21431,2160120017,12_116,6,Vl.Br.,Healthy,Hybrid,1703,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
117,1796,11,20,2012/22013,2550120120,12_117,1,Limburg,WL,Carnica,3920,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
118,1796,11,23,2012/22016,2550120121,12_118,2,Limburg,WL,Carnica,3920,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
119,1468,4,11,2012/21356,1081120092,12_119,1,Vl.Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12,866,9,4,2012/21820,2460120044,12_12,2,West-Vl,Healthy,Carnica,8906,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
120,1468,4,12,2012/21357,1081120093,12_120,2,Vl.Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
121,2245,15,5,2012/22508,2460120066,12_121,1,West. Vl.,WL,Carnica,8700,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
122,48,16,10,2012/22595,2460120075,12_122,2,West. Vl.,Healthy,Carnica,8600,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
123,2487,11,27,2012/22020,2102120120,12_123,2,Oost. Vl.,WL,Carnica,9230,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
124,2487,11,25,2012/22018,2102120121,12_124,3,Oost. Vl.,WL,Carnica,9230,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
125,2487,17,3,2012/22749,2102120135,12_125,5,Oost. Vl.,WL,Carnica,9230,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
126,2487,17,4,2012/22750,2102120136,12_126,6,Oost. Vl.,WL,Carnica,9230,3.8855494,51.0068804,Wetteren,2.474022761,OA,None,None,12
127,1780,4,44,2012/21426,2102120111,12_127,1,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,30.82991803,OA,OA,OA,12
128,1780,4,48,2012/21432,2102120112,12_128,2,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,5.658031088,OA,OA,OA,12
129,1780,4,50,2012/21434,2102120113,12_129,3,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,2.312556459,OA,OA,OA,12
13,1699,12,60,2012/22187,2196120070,12_13,1,Antwerpen,Healthy,Carnica,2550,4.4456359,51.134377,Kontich,3.476275057,OA,OA,OA,12
130,1780,4,51,2012/21435,2102120114,12_130,4,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,2.402040816,OA,OA,OA,12
131,2598,16,14,2012/22600,2102120125,12_131,1,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,6.378737542,Thymol,Thymol,None,12
132,2598,16,15,2012/22602,2102120126,12_132,2,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,7.911239749,Thymol,Thymol,None,12
133,2598,16,16,2012/22603,2102120127,12_133,3,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,5.263378804,Thymol,Thymol,None,12
134,2598,16,17,2012/22604,2102120128,12_134,4,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,1.18501307,Thymol,Thymol,None,12
135,533,4,5,2012/21348,2160120006,12_135,1,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
136,533,4,6,2012/21349,2160120007,12_136,2,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,2.40182218,OA,OA,Thymol,12
137,533,4,7,2012/21350,2160120008,12_137,3,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,2.927622662,OA,OA,Thymol,12
138,533,4,8,2012/21352,2160120009,12_138,4,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
139,2699,19,3,2012/22921,2460120086,12_139,1,West. Vl.,WL,Buckfast,8450,2.972576947,51.23890495,Bredene,4.67222021,Thymol,Thymol,None,12
