Document Name: AMFV_1.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 30, 2019 18:12:50
Last Modified: Thursday, January 31, 2019 17:05:24
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,6.73,,1.00e+010,,,,
A2,,Rota,Standard,6.60,,1.00e+010,,,,
A3,,Rota,Standard,13.62,,1.00e+008,,,,
A4,,Rota,Standard,13.77,,1.00e+008,,,,
A5,,Rota,Standard,23.70,,1.00e+006,,,,
A6,,Rota,Standard,23.64,,1.00e+006,,,,
A7,,Rota,Standard,30.36,,10000.00,,,,
A8,,Rota,Standard,30.20,,10000.00,,,,
A9,,Rota,Standard,40.21,,100.00,,,,
A10,,Rota,Standard,37.62,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_1,Rota,Unknown,32.54,0.069,3618.24,3520.35,138.439,,
B2,12_1,Rota,Unknown,32.64,0.069,3422.46,3520.35,138.439,,
B3,12_2,Rota,Unknown,32.24,0.336,4285.98,3778.96,717.033,,
B4,12_2,Rota,Unknown,32.72,0.336,3271.94,3778.96,717.033,,
B5,12_3,Rota,Unknown,28.26,0.357,41187.50,36049.36,7266.435,,
B6,12_3,Rota,Unknown,28.77,0.357,30911.21,36049.36,7266.435,,
B7,12_4,Rota,Unknown,32.29,1.097,4184.63,2959.46,1732.652,,
B8,12_4,Rota,Unknown,33.84,1.097,1734.29,2959.46,1732.652,,
B9,12_5,Rota,Unknown,34.23,1.359,1383.99,924.36,650.022,,
B10,12_5,Rota,Unknown,36.16,1.359,464.72,924.36,650.022,,
B11,12_6,Rota,Unknown,Undetermined,,,,,,
B12,12_6,Rota,Unknown,Undetermined,,,,,,
C1,12_7,Rota,Unknown,33.38,0.832,2248.99,1700.82,775.234,,
C2,12_7,Rota,Unknown,34.56,0.832,1152.64,1700.82,775.234,,
C3,12_8,Rota,Unknown,29.68,0.504,18338.96,15285.50,4318.244,,
C4,12_8,Rota,Unknown,30.40,0.504,12232.04,15285.50,4318.244,,
C5,12_9,Rota,Unknown,31.27,0.295,7474.67,6686.06,1115.261,,
C6,12_9,Rota,Unknown,31.68,0.295,5897.45,6686.06,1115.261,,
C7,12_10,Rota,Unknown,30.61,1.067,10834.47,7715.89,4410.349,,
C8,12_10,Rota,Unknown,32.12,1.067,4597.30,7715.89,4410.349,,
C9,12_11,Rota,Unknown,31.50,0.242,6550.99,5971.90,818.968,,
C10,12_11,Rota,Unknown,31.84,0.242,5392.80,5971.90,818.968,,
C11,12_12,Rota,Unknown,Undetermined,,,,,,
C12,12_12,Rota,Unknown,39.49,,69.78,,,,
D1,12_13,Rota,Unknown,Undetermined,,,,,,
D2,12_13,Rota,Unknown,Undetermined,,,,,,
D3,12_14,Rota,Unknown,34.24,0.397,1380.67,1639.85,366.534,,
D4,12_14,Rota,Unknown,33.68,0.397,1899.03,1639.85,366.534,,
D5,12_15,Rota,Unknown,36.70,0.960,340.34,538.22,279.853,,
D6,12_15,Rota,Unknown,35.35,0.960,736.11,538.22,279.853,,
D7,12_16,Rota,Unknown,Undetermined,,,,,,
D8,12_16,Rota,Unknown,31.54,,6405.01,,,,
D9,12_17,Rota,Unknown,29.82,0.126,16937.05,16122.50,1151.939,,
D10,12_17,Rota,Unknown,30.00,0.126,15307.96,16122.50,1151.939,,
