Document Name: AMFV_5.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 31, 2019 18:00:21
Last Modified: Friday, February 01, 2019 10:19:58
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,6.38,,1.00e+010,,,,
A2,,Rota,Standard,6.14,,1.00e+010,,,,
A3,,Rota,Standard,13.43,,1.00e+008,,,,
A4,,Rota,Standard,13.32,,1.00e+008,,,,
A5,,Rota,Standard,24.53,,1.00e+006,,,,
A6,,Rota,Standard,24.76,,1.00e+006,,,,
A7,,Rota,Standard,31.42,,10000.00,,,,
A8,,Rota,Standard,31.40,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_19,Rota,Unknown,30.36,0.370,23006.73,20215.09,3947.986,,
B2,13_19,Rota,Unknown,30.88,0.370,17423.44,20215.09,3947.986,,
B3,13_20,Rota,Unknown,31.34,0.736,13697.17,10790.33,4110.886,,
B4,13_20,Rota,Unknown,32.38,0.736,7883.50,10790.33,4110.886,,
B5,13_21,Rota,Unknown,30.25,0.475,24418.56,20755.96,5179.710,,
B6,13_21,Rota,Unknown,30.92,0.475,17093.35,20755.96,5179.710,,
B7,13_22,Rota,Unknown,32.63,0.469,6894.87,5871.39,1447.409,,
B8,13_22,Rota,Unknown,33.29,0.469,4847.92,5871.39,1447.409,,
B9,13_23,Rota,Unknown,33.46,0.043,4434.39,4363.25,100.609,,
B10,13_23,Rota,Unknown,33.52,0.043,4292.10,4363.25,100.609,,
B11,13_24,Rota,Unknown,35.15,0.729,1812.14,1430.33,539.964,,
B12,13_24,Rota,Unknown,36.18,0.729,1048.51,1430.33,539.964,,
