Document Name: AMFV_7.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Friday, February 01, 2019 14:21:22
Last Modified: Friday, February 01, 2019 15:06:56
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.85,,1.00e+010,,,,
A2,,Rota,Standard,4.41,,1.00e+010,,,,
A3,,Rota,Standard,12.24,,1.00e+008,,,,
A4,,Rota,Standard,12.36,,1.00e+008,,,,
A5,,Rota,Standard,23.30,,1.00e+006,,,,
A6,,Rota,Standard,23.41,,1.00e+006,,,,
A7,,Rota,Standard,30.23,,10000.00,,,,
A8,,Rota,Standard,Undetermined,,,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_103,Rota,Unknown,30.45,0.224,14118.11,15375.26,1777.872,,
B2,13_103,Rota,Unknown,30.13,0.224,16632.40,15375.26,1777.872,,
B3,13_104,Rota,Unknown,31.02,0.006,10526.96,10502.89,34.041,,
B4,13_104,Rota,Unknown,31.03,0.006,10478.82,10502.89,34.041,,
B5,13_105,Rota,Unknown,31.45,0.083,8439.20,8189.93,352.515,,
B6,13_105,Rota,Unknown,31.56,0.083,7940.66,8189.93,352.515,,
B7,13_106,Rota,Unknown,33.31,0.572,3216.50,4050.61,1179.614,,
B8,13_106,Rota,Unknown,32.51,0.572,4884.73,4050.61,1179.614,,
B9,13_107,Rota,Unknown,27.75,0.201,57046.53,53149.16,5511.712,,
B10,13_107,Rota,Unknown,28.03,0.201,49251.79,53149.16,5511.712,,
B11,13_108,Rota,Unknown,30.32,0.056,15062.46,14759.74,428.103,,
B12,13_108,Rota,Unknown,30.40,0.056,14457.03,14759.74,428.103,,
