Document Name: AMFV_8.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Friday, February 01, 2019 16:01:31
Last Modified: Tuesday, February 05, 2019 13:38:26
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,8.00,,1.00e+010,,,,
A2,,Rota,Standard,7.88,,1.00e+010,,,,
A3,,Rota,Standard,15.57,,1.00e+008,,,,
A4,,Rota,Standard,14.75,,1.00e+008,,,,
A5,,Rota,Standard,Undetermined,,,,,,
A6,,Rota,Standard,31.85,,1.00e+006,,,,
A7,,Rota,Standard,33.43,,10000.00,,,,
A8,,Rota,Standard,34.37,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_145,Rota,Unknown,Undetermined,,,,,,
B2,13_145,Rota,Unknown,34.74,,12876.57,,,,
B3,13_146,Rota,Unknown,34.17,0.138,17151.51,16353.05,1129.195,,
B4,13_146,Rota,Unknown,34.36,0.138,15554.59,16353.05,1129.195,,
B5,13_147,Rota,Unknown,Undetermined,,,,,,
B6,13_147,Rota,Unknown,33.77,,20958.71,,,,
B7,13_148,Rota,Unknown,33.50,,24016.02,,,,
B8,13_148,Rota,Unknown,Undetermined,,,,,,
B9,13_149,Rota,Unknown,Undetermined,,,,,,
B10,13_149,Rota,Unknown,Undetermined,,,,,,
B11,13_150,Rota,Unknown,Undetermined,,,,,,
B12,13_150,Rota,Unknown,Undetermined,,,,,,
