Document Name: Unc_1.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Sunday, January 20, 2019 16:54:03
Last Modified: Tuesday, February 05, 2019 13:25:07
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,2.37,,1.00e+010,,,,
A2,,Rota,Standard,2.44,,1.00e+010,,,,
A3,,Rota,Standard,7.05,,1.00e+008,,,,
A4,,Rota,Standard,6.86,,1.00e+008,,,,
A5,,Rota,Standard,15.18,,1.00e+006,,,,
A6,,Rota,Standard,14.94,,1.00e+006,,,,
A7,,Rota,Standard,22.63,,10000.00,,,,
A8,,Rota,Standard,23.20,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_1,Rota,Unknown,Undetermined,,,,,,
B2,12_1,Rota,Unknown,Undetermined,,,,,,
B3,12_2,Rota,Unknown,Undetermined,,,,,,
B4,12_2,Rota,Unknown,Undetermined,,,,,,
B5,12_3,Rota,Unknown,Undetermined,,,,,,
B6,12_3,Rota,Unknown,Undetermined,,,,,,
B7,12_4,Rota,Unknown,19.01,0.261,86594.27,98585.15,16957.664,,
B8,12_4,Rota,Unknown,18.64,0.261,110576.03,98585.15,16957.664,,
B9,12_5,Rota,Unknown,Undetermined,,,,,,
B10,12_5,Rota,Unknown,Undetermined,,,,,,
B11,12_6,Rota,Unknown,Undetermined,,,,,,
B12,12_6,Rota,Unknown,Undetermined,,,,,,
C1,12_7,Rota,Unknown,Undetermined,,,,,,
C2,12_7,Rota,Unknown,Undetermined,,,,,,
C3,12_8,Rota,Unknown,Undetermined,,,,,,
C4,12_8,Rota,Unknown,Undetermined,,,,,,
C5,12_9,Rota,Unknown,Undetermined,,,,,,
C6,12_9,Rota,Unknown,Undetermined,,,,,,
C7,12_10,Rota,Unknown,Undetermined,,,,,,
C8,12_10,Rota,Unknown,Undetermined,,,,,,
C9,12_11,Rota,Unknown,Undetermined,,,,,,
C10,12_11,Rota,Unknown,Undetermined,,,,,,
C11,12_12,Rota,Unknown,Undetermined,,,,,,
C12,12_12,Rota,Unknown,Undetermined,,,,,,
D1,12_13,Rota,Unknown,Undetermined,,,,,,
D2,12_13,Rota,Unknown,Undetermined,,,,,,
D3,12_14,Rota,Unknown,Undetermined,,,,,,
D4,12_14,Rota,Unknown,Undetermined,,,,,,
D5,12_15,Rota,Unknown,Undetermined,,,,,,
D6,12_15,Rota,Unknown,Undetermined,,,,,,
D7,12_16,Rota,Unknown,19.30,0.010,71752.81,72096.56,486.130,,
D8,12_16,Rota,Unknown,19.28,0.010,72440.30,72096.56,486.130,,
D9,12_17,Rota,Unknown,Undetermined,,,,,,
D10,12_17,Rota,Unknown,Undetermined,,,,,,
D11,12_18,Rota,Unknown,Undetermined,,,,,,
D12,12_18,Rota,Unknown,Undetermined,,,,,,
E1,12_19,Rota,Unknown,7.13,0.002,2.24e+008,2.24e+008,258258.024,,
E2,12_19,Rota,Unknown,7.13,0.002,2.24e+008,2.24e+008,258258.024,,
E3,12_20,Rota,Unknown,Undetermined,,,,,,
E4,12_20,Rota,Unknown,Undetermined,,,,,,
E5,12_21,Rota,Unknown,Undetermined,,,,,,
E6,12_21,Rota,Unknown,Undetermined,,,,,,
E7,12_22,Rota,Unknown,Undetermined,,,,,,
E8,12_22,Rota,Unknown,Undetermined,,,,,,
E9,12_23,Rota,Unknown,Undetermined,,,,,,
E10,12_23,Rota,Unknown,Undetermined,,,,,,
E11,12_24,Rota,Unknown,Undetermined,,,,,,
E12,12_24,Rota,Unknown,Undetermined,,,,,,
F1,12_25,Rota,Unknown,Undetermined,,,,,,
F2,12_25,Rota,Unknown,Undetermined,,,,,,
F3,12_26,Rota,Unknown,Undetermined,,,,,,
F4,12_26,Rota,Unknown,Undetermined,,,,,,
F5,12_27,Rota,Unknown,Undetermined,,,,,,
F6,12_27,Rota,Unknown,Undetermined,,,,,,
F7,12_28,Rota,Unknown,11.54,0.352,1.21e+007,1.04e+007,2.41e+006,,
F8,12_28,Rota,Unknown,12.04,0.352,8.72e+006,1.04e+007,2.41e+006,,
F9,12_29,Rota,Unknown,Undetermined,,,,,,
F10,12_29,Rota,Unknown,Undetermined,,,,,,
F11,12_30,Rota,Unknown,Undetermined,,,,,,
F12,12_30,Rota,Unknown,Undetermined,,,,,,
G1,12_31,Rota,Unknown,Undetermined,,,,,,
G2,12_31,Rota,Unknown,Undetermined,,,,,,
G3,12_32,Rota,Unknown,Undetermined,,,,,,
G4,12_32,Rota,Unknown,Undetermined,,,,,,
G5,12_33,Rota,Unknown,20.47,0.064,32997.70,34009.99,1431.604,,
G6,12_33,Rota,Unknown,20.38,0.064,35022.29,34009.99,1431.604,,
G7,12_34,Rota,Unknown,Undetermined,,,,,,
G8,12_34,Rota,Unknown,Undetermined,,,,,,
G9,12_35,Rota,Unknown,18.75,0.012,103008.52,103578.21,805.660,,
G10,12_35,Rota,Unknown,18.73,0.012,104147.90,103578.21,805.660,,
G11,12_36,Rota,Unknown,17.03,0.052,320633.84,328670.09,11364.974,,
G12,12_36,Rota,Unknown,16.96,0.052,336706.34,328670.09,11364.974,,
H1,12_37,Rota,Unknown,17.12,0.435,303498.56,252761.50,71753.042,,
H2,12_37,Rota,Unknown,17.73,0.435,202024.44,252761.50,71753.042,,
H3,12_38,Rota,Unknown,Undetermined,,,,,,
H4,12_38,Rota,Unknown,Undetermined,,,,,,
H5,12_39,Rota,Unknown,Undetermined,,,,,,
H6,12_39,Rota,Unknown,Undetermined,,,,,,
H7,12_40,Rota,Unknown,Undetermined,,,,,,
H8,12_40,Rota,Unknown,Undetermined,,,,,,
H9,12_41,Rota,Unknown,Undetermined,,,,,,
H10,12_41,Rota,Unknown,Undetermined,,,,,,
H11,12_42,Rota,Unknown,Undetermined,,,,,,
H12,12_42,Rota,Unknown,Undetermined,,,,,,
