Document Name: Unc_3.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 21, 2019 16:43:42
Last Modified: Tuesday, February 05, 2019 13:27:01
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,7.01,,1.00e+008,,,,
A4,,Rota,Standard,6.28,,1.00e+008,,,,
A5,,Rota,Standard,14.96,,1.00e+006,,,,
A6,,Rota,Standard,15.22,,1.00e+006,,,,
A7,,Rota,Standard,21.61,,10000.00,,,,
A8,,Rota,Standard,21.63,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_85,Rota,Unknown,Undetermined,,,,,,
B2,12_85,Rota,Unknown,Undetermined,,,,,,
B3,12_86,Rota,Unknown,Undetermined,,,,,,
B4,12_86,Rota,Unknown,Undetermined,,,,,,
B5,12_87,Rota,Unknown,Undetermined,,,,,,
B6,12_87,Rota,Unknown,Undetermined,,,,,,
B7,12_88,Rota,Unknown,Undetermined,,,,,,
B8,12_88,Rota,Unknown,Undetermined,,,,,,
B9,12_89,Rota,Unknown,18.00,0.179,112805.39,122311.42,13443.558,,
B10,12_89,Rota,Unknown,17.75,0.179,131817.45,122311.42,13443.558,,
B11,12_90,Rota,Unknown,17.98,0.055,114496.57,117277.94,3933.453,,
B12,12_90,Rota,Unknown,17.90,0.055,120059.31,117277.94,3933.453,,
C1,12_91,Rota,Unknown,Undetermined,,,,,,
C2,12_91,Rota,Unknown,Undetermined,,,,,,
C3,12_92,Rota,Unknown,Undetermined,,,,,,
C4,12_92,Rota,Unknown,Undetermined,,,,,,
C5,12_93,Rota,Unknown,Undetermined,,,,,,
C6,12_93,Rota,Unknown,Undetermined,,,,,,
C7,12_94,Rota,Unknown,Undetermined,,,,,,
C8,12_94,Rota,Unknown,Undetermined,,,,,,
C9,12_95,Rota,Unknown,Undetermined,,,,,,
C10,12_95,Rota,Unknown,Undetermined,,,,,,
C11,12_96,Rota,Unknown,Undetermined,,,,,,
C12,12_96,Rota,Unknown,Undetermined,,,,,,
D1,12_97,Rota,Unknown,Undetermined,,,,,,
D2,12_97,Rota,Unknown,Undetermined,,,,,,
D3,12_98,Rota,Unknown,Undetermined,,,,,,
D4,12_98,Rota,Unknown,Undetermined,,,,,,
D5,12_99,Rota,Unknown,Undetermined,,,,,,
D6,12_99,Rota,Unknown,Undetermined,,,,,,
D7,12_100,Rota,Unknown,Undetermined,,,,,,
D8,12_100,Rota,Unknown,Undetermined,,,,,,
D9,12_101,Rota,Unknown,Undetermined,,,,,,
D10,12_101,Rota,Unknown,Undetermined,,,,,,
D11,12_102,Rota,Unknown,Undetermined,,,,,,
D12,12_102,Rota,Unknown,Undetermined,,,,,,
E1,12_103,Rota,Unknown,Undetermined,,,,,,
E2,12_103,Rota,Unknown,Undetermined,,,,,,
E3,12_104,Rota,Unknown,Undetermined,,,,,,
E4,12_104,Rota,Unknown,Undetermined,,,,,,
E5,12_105,Rota,Unknown,Undetermined,,,,,,
E6,12_105,Rota,Unknown,Undetermined,,,,,,
E7,12_106,Rota,Unknown,Undetermined,,,,,,
E8,12_106,Rota,Unknown,Undetermined,,,,,,
E9,12_107,Rota,Unknown,Undetermined,,,,,,
E10,12_107,Rota,Unknown,Undetermined,,,,,,
E11,12_108,Rota,Unknown,Undetermined,,,,,,
E12,12_108,Rota,Unknown,Undetermined,,,,,,
F1,12_109,Rota,Unknown,Undetermined,,,,,,
F2,12_109,Rota,Unknown,Undetermined,,,,,,
F3,12_110,Rota,Unknown,Undetermined,,,,,,
F4,12_110,Rota,Unknown,Undetermined,,,,,,
F5,12_111,Rota,Unknown,Undetermined,,,,,,
F6,12_111,Rota,Unknown,Undetermined,,,,,,
F7,12_112,Rota,Unknown,Undetermined,,,,,,
F8,12_112,Rota,Unknown,Undetermined,,,,,,
F9,12_113,Rota,Unknown,Undetermined,,,,,,
F10,12_113,Rota,Unknown,Undetermined,,,,,,
F11,12_114,Rota,Unknown,Undetermined,,,,,,
F12,12_114,Rota,Unknown,Undetermined,,,,,,
G1,12_115,Rota,Unknown,Undetermined,,,,,,
G2,12_115,Rota,Unknown,Undetermined,,,,,,
G3,12_116,Rota,Unknown,Undetermined,,,,,,
G4,12_116,Rota,Unknown,Undetermined,,,,,,
G5,12_117,Rota,Unknown,Undetermined,,,,,,
G6,12_117,Rota,Unknown,Undetermined,,,,,,
G7,12_118,Rota,Unknown,Undetermined,,,,,,
G8,12_118,Rota,Unknown,Undetermined,,,,,,
G9,12_119,Rota,Unknown,Undetermined,,,,,,
G10,12_119,Rota,Unknown,Undetermined,,,,,,
G11,12_120,Rota,Unknown,Undetermined,,,,,,
G12,12_120,Rota,Unknown,Undetermined,,,,,,
H1,12_121,Rota,Unknown,16.94,0.139,216493.19,230356.48,19605.662,,
H2,12_121,Rota,Unknown,16.74,0.139,244219.78,230356.48,19605.662,,
H3,12_122,Rota,Unknown,Undetermined,,,,,,
H4,12_122,Rota,Unknown,Undetermined,,,,,,
H5,12_123,Rota,Unknown,Undetermined,,,,,,
H6,12_123,Rota,Unknown,Undetermined,,,,,,
H7,12_124,Rota,Unknown,Undetermined,,,,,,
H8,12_124,Rota,Unknown,Undetermined,,,,,,
H9,12_125,Rota,Unknown,Undetermined,,,,,,
H10,12_125,Rota,Unknown,Undetermined,,,,,,
H11,12_126,Rota,Unknown,Undetermined,,,,,,
H12,12_126,Rota,Unknown,Undetermined,,,,,,
