Document Name: Unc_7.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, January 22, 2019 20:39:05
Last Modified: Tuesday, February 05, 2019 13:30:09
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,8.55,,1.00e+008,,,,
A4,,Rota,Standard,8.77,,1.00e+008,,,,
A5,,Rota,Standard,17.00,,1.00e+006,,,,
A6,,Rota,Standard,16.88,,1.00e+006,,,,
A7,,Rota,Standard,Undetermined,,,,,,
A8,,Rota,Standard,Undetermined,,,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_103,Rota,Unknown,9.29,0.024,7.06e+007,6.99e+007,924629.798,,
B2,13_103,Rota,Unknown,9.32,0.024,6.93e+007,6.99e+007,924629.798,,
B3,13_104,Rota,Unknown,9.50,0.595,6.27e+007,5.10e+007,1.66e+007,,
B4,13_104,Rota,Unknown,10.34,0.595,3.93e+007,5.10e+007,1.66e+007,,
B5,13_105,Rota,Unknown,Undetermined,,,,,,
B6,13_105,Rota,Unknown,Undetermined,,,,,,
B7,13_106,Rota,Unknown,Undetermined,,,,,,
B8,13_106,Rota,Unknown,Undetermined,,,,,,
B9,13_107,Rota,Unknown,Undetermined,,,,,,
B10,13_107,Rota,Unknown,Undetermined,,,,,,
B11,13_108,Rota,Unknown,Undetermined,,,,,,
B12,13_108,Rota,Unknown,Undetermined,,,,,,
C1,13_109,Rota,Unknown,Undetermined,,,,,,
C2,13_109,Rota,Unknown,Undetermined,,,,,,
C3,13_110,Rota,Unknown,Undetermined,,,,,,
C4,13_110,Rota,Unknown,Undetermined,,,,,,
C5,13_111,Rota,Unknown,Undetermined,,,,,,
C6,13_111,Rota,Unknown,Undetermined,,,,,,
C7,13_112,Rota,Unknown,Undetermined,,,,,,
C8,13_112,Rota,Unknown,Undetermined,,,,,,
C9,13_113,Rota,Unknown,Undetermined,,,,,,
C10,13_113,Rota,Unknown,Undetermined,,,,,,
C11,13_114,Rota,Unknown,21.52,0.168,78136.33,83642.13,7786.384,,
C12,13_114,Rota,Unknown,21.29,0.168,89147.94,83642.13,7786.384,,
D1,13_115,Rota,Unknown,Undetermined,,,,,,
D2,13_115,Rota,Unknown,Undetermined,,,,,,
D3,13_116,Rota,Unknown,Undetermined,,,,,,
D4,13_116,Rota,Unknown,Undetermined,,,,,,
D5,13_117,Rota,Unknown,Undetermined,,,,,,
D6,13_117,Rota,Unknown,Undetermined,,,,,,
D7,13_118,Rota,Unknown,Undetermined,,,,,,
D8,13_118,Rota,Unknown,Undetermined,,,,,,
D9,13_119,Rota,Unknown,Undetermined,,,,,,
D10,13_119,Rota,Unknown,Undetermined,,,,,,
D11,13_120,Rota,Unknown,Undetermined,,,,,,
D12,13_120,Rota,Unknown,Undetermined,,,,,,
E1,13_121,Rota,Unknown,Undetermined,,,,,,
E2,13_121,Rota,Unknown,Undetermined,,,,,,
E3,13_122,Rota,Unknown,Undetermined,,,,,,
E4,13_122,Rota,Unknown,Undetermined,,,,,,
E5,13_123,Rota,Unknown,Undetermined,,,,,,
E6,13_123,Rota,Unknown,Undetermined,,,,,,
E7,13_124,Rota,Unknown,Undetermined,,,,,,
E8,13_124,Rota,Unknown,Undetermined,,,,,,
E9,13_125,Rota,Unknown,Undetermined,,,,,,
E10,13_125,Rota,Unknown,Undetermined,,,,,,
E11,13_126,Rota,Unknown,Undetermined,,,,,,
E12,13_126,Rota,Unknown,Undetermined,,,,,,
F1,13_127,Rota,Unknown,Undetermined,,,,,,
F2,13_127,Rota,Unknown,Undetermined,,,,,,
F3,13_128,Rota,Unknown,Undetermined,,,,,,
F4,13_128,Rota,Unknown,Undetermined,,,,,,
F5,13_129,Rota,Unknown,Undetermined,,,,,,
F6,13_129,Rota,Unknown,Undetermined,,,,,,
F7,13_130,Rota,Unknown,Undetermined,,,,,,
F8,13_130,Rota,Unknown,Undetermined,,,,,,
F9,13_131,Rota,Unknown,Undetermined,,,,,,
F10,13_131,Rota,Unknown,Undetermined,,,,,,
F11,13_132,Rota,Unknown,Undetermined,,,,,,
F12,13_132,Rota,Unknown,Undetermined,,,,,,
G1,13_133,Rota,Unknown,Undetermined,,,,,,
G2,13_133,Rota,Unknown,Undetermined,,,,,,
G3,13_134,Rota,Unknown,Undetermined,,,,,,
G4,13_134,Rota,Unknown,Undetermined,,,,,,
G5,13_135,Rota,Unknown,Undetermined,,,,,,
G6,13_135,Rota,Unknown,Undetermined,,,,,,
G7,13_136,Rota,Unknown,Undetermined,,,,,,
G8,13_136,Rota,Unknown,Undetermined,,,,,,
G9,13_137,Rota,Unknown,Undetermined,,,,,,
G10,13_137,Rota,Unknown,Undetermined,,,,,,
G11,13_138,Rota,Unknown,Undetermined,,,,,,
G12,13_138,Rota,Unknown,Undetermined,,,,,,
H1,13_139,Rota,Unknown,Undetermined,,,,,,
H2,13_139,Rota,Unknown,Undetermined,,,,,,
H3,13_140,Rota,Unknown,Undetermined,,,,,,
H4,13_140,Rota,Unknown,Undetermined,,,,,,
H5,13_141,Rota,Unknown,Undetermined,,,,,,
H6,13_141,Rota,Unknown,Undetermined,,,,,,
H7,13_142,Rota,Unknown,Undetermined,,,,,,
H8,13_142,Rota,Unknown,Undetermined,,,,,,
H9,13_143,Rota,Unknown,Undetermined,,,,,,
H10,13_143,Rota,Unknown,Undetermined,,,,,,
H11,13_144,Rota,Unknown,Undetermined,,,,,,
H12,13_144,Rota,Unknown,Undetermined,,,,,,
