Document Name: bmlv_2.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, January 29, 2019 18:02:41
Last Modified: Tuesday, February 05, 2019 13:41:25
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,2.95,,1.00e+010,,,,
A2,,Rota,Standard,3.00,,1.00e+010,,,,
A3,,Rota,Standard,9.25,,1.00e+008,,,,
A4,,Rota,Standard,9.30,,1.00e+008,,,,
A5,,Rota,Standard,17.44,,1.00e+006,,,,
A6,,Rota,Standard,17.74,,1.00e+006,,,,
A7,,Rota,Standard,25.01,,10000.00,,,,
A8,,Rota,Standard,24.45,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,32.00,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_43,Rota,Unknown,36.55,1.426,5.85,3.75,2.969,,
B2,12_43,Rota,Unknown,38.57,1.426,1.65,3.75,2.969,,
B3,12_44,Rota,Unknown,33.15,0.134,49.27,46.51,3.894,,
B4,12_44,Rota,Unknown,33.34,0.134,43.76,46.51,3.894,,
B5,12_45,Rota,Unknown,30.30,0.386,293.41,250.96,60.030,,
B6,12_45,Rota,Unknown,30.85,0.386,208.51,250.96,60.030,,
B7,12_46,Rota,Unknown,33.75,0.048,33.82,34.55,1.031,,
B8,12_46,Rota,Unknown,33.68,0.048,35.28,34.55,1.031,,
B9,12_47,Rota,Unknown,27.43,0.150,1777.74,1666.85,156.823,,
B10,12_47,Rota,Unknown,27.64,0.150,1555.95,1666.85,156.823,,
B11,12_48,Rota,Unknown,21.43,0.314,76222.50,66975.57,13077.128,,
B12,12_48,Rota,Unknown,21.87,0.314,57728.65,66975.57,13077.128,,
C1,12_49,Rota,Unknown,22.52,0.310,38418.36,33811.43,6515.184,,
C2,12_49,Rota,Unknown,22.96,0.310,29204.50,33811.43,6515.184,,
C3,12_50,Rota,Unknown,19.15,0.340,316860.59,275658.42,58268.670,,
C4,12_50,Rota,Unknown,19.63,0.340,234456.25,275658.42,58268.670,,
C5,12_51,Rota,Unknown,34.69,0.593,18.81,25.31,9.189,,
C6,12_51,Rota,Unknown,33.85,0.593,31.80,25.31,9.189,,
C7,12_52,Rota,Unknown,Undetermined,,,,,,
C8,12_52,Rota,Unknown,Undetermined,,,,,,
C9,12_53,Rota,Unknown,36.75,2.835,5.15,2.79,3.349,,
C10,12_53,Rota,Unknown,40.76,2.835,4.18e-001,2.79,3.349,,
C11,12_54,Rota,Unknown,Undetermined,,,,,,
C12,12_54,Rota,Unknown,Undetermined,,,,,,
D1,12_55,Rota,Unknown,31.26,1.250,161.14,107.19,76.305,,
D2,12_55,Rota,Unknown,33.03,1.250,53.23,107.19,76.305,,
D3,12_56,Rota,Unknown,26.04,0.027,4225.92,4175.87,70.781,,
D4,12_56,Rota,Unknown,26.08,0.027,4125.82,4175.87,70.781,,
D5,12_57,Rota,Unknown,Undetermined,,,,,,
D6,12_57,Rota,Unknown,Undetermined,,,,,,
D7,12_58,Rota,Unknown,36.92,,4.65,,,,
D8,12_58,Rota,Unknown,Undetermined,,,,,,
D9,12_59,Rota,Unknown,35.72,0.251,9.87,8.88,1.391,,
D10,12_59,Rota,Unknown,36.07,0.251,7.90,8.88,1.391,,
D11,12_60,Rota,Unknown,34.18,1.131,25.92,17.72,11.598,,
D12,12_60,Rota,Unknown,35.78,1.131,9.52,17.72,11.598,,
E1,12_61,Rota,Unknown,32.61,0.144,69.07,64.94,5.847,,
E2,12_61,Rota,Unknown,32.81,0.144,60.81,64.94,5.847,,
E3,12_62,Rota,Unknown,32.35,1.061,81.13,56.41,34.956,,
E4,12_62,Rota,Unknown,33.86,1.061,31.69,56.41,34.956,,
E5,12_63,Rota,Unknown,Undetermined,,,,,,
E6,12_63,Rota,Unknown,Undetermined,,,,,,
E7,12_64,Rota,Unknown,Undetermined,,,,,,
E8,12_64,Rota,Unknown,Undetermined,,,,,,
E9,12_65,Rota,Unknown,23.44,0.021,21608.94,21405.71,287.409,,
E10,12_65,Rota,Unknown,23.47,0.021,21202.48,21405.71,287.409,,
E11,12_66,Rota,Unknown,34.72,0.582,18.49,24.73,8.822,,
E12,12_66,Rota,Unknown,33.89,0.582,30.97,24.73,8.822,,
F1,12_67,Rota,Unknown,34.82,1.488,17.32,10.97,8.968,,
F2,12_67,Rota,Unknown,36.93,1.488,4.63,10.97,8.968,,
F3,12_68,Rota,Unknown,33.30,0.451,44.76,55.76,15.558,,
F4,12_68,Rota,Unknown,32.67,0.451,66.76,55.76,15.558,,
F5,12_69,Rota,Unknown,Undetermined,,,,,,
F6,12_69,Rota,Unknown,Undetermined,,,,,,
F7,12_70,Rota,Unknown,Undetermined,,,,,,
F8,12_70,Rota,Unknown,Undetermined,,,,,,
F9,12_71,Rota,Unknown,Undetermined,,,,,,
F10,12_71,Rota,Unknown,Undetermined,,,,,,
F11,12_72,Rota,Unknown,Undetermined,,,,,,
F12,12_72,Rota,Unknown,Undetermined,,,,,,
G1,12_73,Rota,Unknown,32.44,0.728,77.12,58.79,25.910,,
G2,12_73,Rota,Unknown,33.46,0.728,40.47,58.79,25.910,,
G3,12_74,Rota,Unknown,35.23,,13.38,,,,
G4,12_74,Rota,Unknown,Undetermined,,,,,,
G5,12_75,Rota,Unknown,33.63,0.070,36.49,37.65,1.639,,
G6,12_75,Rota,Unknown,33.53,0.070,38.81,37.65,1.639,,
G7,12_76,Rota,Unknown,36.56,0.035,5.81,5.72,1.26e-001,,
G8,12_76,Rota,Unknown,36.61,0.035,5.64,5.72,1.26e-001,,
G9,12_77,Rota,Unknown,22.21,0.044,46560.10,45661.76,1270.447,,
G10,12_77,Rota,Unknown,22.28,0.044,44763.41,45661.76,1270.447,,
G11,12_78,Rota,Unknown,28.72,0.202,792.39,870.06,109.844,,
G12,12_78,Rota,Unknown,28.43,0.202,947.73,870.06,109.844,,
H1,12_79,Rota,Unknown,30.54,0.049,253.58,248.21,7.602,,
H2,12_79,Rota,Unknown,30.60,0.049,242.83,248.21,7.602,,
H3,12_80,Rota,Unknown,30.22,0.128,308.46,327.05,26.288,,
H4,12_80,Rota,Unknown,30.04,0.128,345.64,327.05,26.288,,
H5,12_81,Rota,Unknown,29.20,0.007,585.48,587.18,2.403,,
H6,12_81,Rota,Unknown,29.19,0.007,588.88,587.18,2.403,,
H7,12_82,Rota,Unknown,23.12,0.010,26405.53,26526.42,170.960,,
H8,12_82,Rota,Unknown,23.10,0.010,26647.30,26526.42,170.960,,
H9,12_83,Rota,Unknown,33.93,0.048,30.16,30.82,9.33e-001,,
H10,12_83,Rota,Unknown,33.87,0.048,31.48,30.82,9.33e-001,,
H11,12_84,Rota,Unknown,29.06,0.019,639.13,644.48,7.565,,
H12,12_84,Rota,Unknown,29.03,0.019,649.83,644.48,7.565,,
