Document Name: bmlv_5.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, January 29, 2019 21:25:19
Last Modified: Tuesday, January 29, 2019 23:11:27
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,2.71,,1.00e+010,,,,
A2,,Rota,Standard,2.65,,1.00e+010,,,,
A3,,Rota,Standard,9.50,,1.00e+008,,,,
A4,,Rota,Standard,9.10,,1.00e+008,,,,
A5,,Rota,Standard,17.25,,1.00e+006,,,,
A6,,Rota,Standard,17.14,,1.00e+006,,,,
A7,,Rota,Standard,24.06,,10000.00,,,,
A8,,Rota,Standard,23.73,,10000.00,,,,
A9,,Rota,Standard,31.18,,100.00,,,,
A10,,Rota,Standard,31.64,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_19,Rota,Unknown,Undetermined,,,,,,
B2,13_19,Rota,Unknown,Undetermined,,,,,,
B3,13_20,Rota,Unknown,35.60,,6.42,,,,
B4,13_20,Rota,Unknown,Undetermined,,,,,,
B5,13_21,Rota,Unknown,Undetermined,,,,,,
B6,13_21,Rota,Unknown,Undetermined,,,,,,
B7,13_22,Rota,Unknown,35.74,,5.90,,,,
B8,13_22,Rota,Unknown,Undetermined,,,,,,
B9,13_23,Rota,Unknown,Undetermined,,,,,,
B10,13_23,Rota,Unknown,Undetermined,,,,,,
B11,13_24,Rota,Unknown,Undetermined,,,,,,
B12,13_24,Rota,Unknown,Undetermined,,,,,,
C1,13_25,Rota,Unknown,31.03,0.077,119.05,115.03,5.680,,
C2,13_25,Rota,Unknown,31.14,0.077,111.02,115.03,5.680,,
C3,13_26,Rota,Unknown,20.63,0.049,91919.86,94001.49,2943.868,,
C4,13_26,Rota,Unknown,20.56,0.049,96083.12,94001.49,2943.868,,
C5,13_27,Rota,Unknown,37.85,0.373,1.52,1.83,4.32e-001,,
C6,13_27,Rota,Unknown,37.33,0.373,2.13,1.83,4.32e-001,,
C7,13_28,Rota,Unknown,Undetermined,,,,,,
C8,13_28,Rota,Unknown,35.53,,6.73,,,,
C9,13_29,Rota,Unknown,Undetermined,,,,,,
C10,13_29,Rota,Unknown,Undetermined,,,,,,
C11,13_30,Rota,Unknown,Undetermined,,,,,,
C12,13_30,Rota,Unknown,Undetermined,,,,,,
D1,13_31,Rota,Unknown,Undetermined,,,,,,
D2,13_31,Rota,Unknown,Undetermined,,,,,,
D3,13_32,Rota,Unknown,Undetermined,,,,,,
D4,13_32,Rota,Unknown,Undetermined,,,,,,
D5,13_33,Rota,Unknown,33.21,0.543,29.60,23.86,8.122,,
D6,13_33,Rota,Unknown,33.98,0.543,18.12,23.86,8.122,,
D7,13_34,Rota,Unknown,35.72,,5.97,,,,
D8,13_34,Rota,Unknown,Undetermined,,,,,,
D9,13_35,Rota,Unknown,40.60,0.824,2.63e-001,4.09e-001,2.06e-001,,
D10,13_35,Rota,Unknown,39.44,0.824,5.54e-001,4.09e-001,2.06e-001,,
D11,13_36,Rota,Unknown,Undetermined,,,,,,
D12,13_36,Rota,Unknown,Undetermined,,,,,,
E1,13_37,Rota,Unknown,Undetermined,,,,,,
E2,13_37,Rota,Unknown,40.65,,2.55e-001,,,,
E3,13_38,Rota,Unknown,Undetermined,,,,,,
E4,13_38,Rota,Unknown,Undetermined,,,,,,
E5,13_39,Rota,Unknown,38.86,2.010,8.02e-001,2.87,2.923,,
E6,13_39,Rota,Unknown,36.01,2.010,4.94,2.87,2.923,,
E7,13_40,Rota,Unknown,33.06,0.178,32.70,35.56,4.037,,
E8,13_40,Rota,Unknown,32.80,0.178,38.41,35.56,4.037,,
E9,13_41,Rota,Unknown,Undetermined,,,,,,
E10,13_41,Rota,Unknown,Undetermined,,,,,,
E11,13_42,Rota,Unknown,Undetermined,,,,,,
