Document Name: bmlv_7.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 30, 2019 15:37:07
Last Modified: Monday, March 04, 2019 14:44:57
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,2.50,,1.00e+010,,,,
A2,,Rota,Standard,2.55,,1.00e+010,,,,
A3,,Rota,Standard,9.17,,1.00e+008,,,,
A4,,Rota,Standard,9.22,,1.00e+008,,,,
A5,,Rota,Standard,16.62,,1.00e+006,,,,
A6,,Rota,Standard,17.14,,1.00e+006,,,,
A7,,Rota,Standard,24.19,,10000.00,,,,
A8,,Rota,Standard,23.85,,10000.00,,,,
A9,,Rota,Standard,31.43,,100.00,,,,
A10,,Rota,Standard,32.04,,100.00,,,,
A11,,Rota,NTC,33.35,,,,,,
A12,,Rota,NTC,32.12,,,,,,
B1,13_103,Rota,Unknown,35.47,0.395,8.38,7.14,1.754,,
B2,13_103,Rota,Unknown,36.02,0.395,5.90,7.14,1.754,,
B3,13_104,Rota,Unknown,34.22,2.028,18.38,10.70,10.853,,
B4,13_104,Rota,Unknown,37.08,2.028,3.03,10.70,10.853,,
B5,13_105,Rota,Unknown,34.16,1.120,19.08,35.36,23.032,,
B6,13_105,Rota,Unknown,32.57,1.120,51.65,35.36,23.032,,
B7,13_106,Rota,Unknown,32.20,0.561,65.23,52.41,18.126,,
B8,13_106,Rota,Unknown,32.99,0.561,39.60,52.41,18.126,,
B9,13_107,Rota,Unknown,32.24,0.093,63.45,60.94,3.551,,
B10,13_107,Rota,Unknown,32.38,0.093,58.43,60.94,3.551,,
B11,13_108,Rota,Unknown,26.23,0.104,2774.48,2651.70,173.627,,
B12,13_108,Rota,Unknown,26.38,0.104,2528.93,2651.70,173.627,,
C1,13_109,Rota,Unknown,31.87,0.305,80.36,70.81,13.507,,
C2,13_109,Rota,Unknown,32.30,0.305,61.26,70.81,13.507,,
C3,13_110,Rota,Unknown,Undetermined,,,,,,
C4,13_110,Rota,Unknown,33.77,,24.37,,,,
C5,13_111,Rota,Unknown,32.52,0.196,53.41,49.14,6.035,,
C6,13_111,Rota,Unknown,32.80,0.196,44.87,49.14,6.035,,
C7,13_112,Rota,Unknown,33.57,1.397,27.57,61.54,48.039,,
C8,13_112,Rota,Unknown,31.59,1.397,95.51,61.54,48.039,,
C9,13_113,Rota,Unknown,35.35,1.893,8.98,5.32,5.170,,
C10,13_113,Rota,Unknown,38.03,1.893,1.67,5.32,5.170,,
C11,13_114,Rota,Unknown,34.39,0.399,16.44,19.94,4.950,,
C12,13_114,Rota,Unknown,33.83,0.399,23.45,19.94,4.950,,
D1,13_115,Rota,Unknown,Undetermined,,,,,,
D2,13_115,Rota,Unknown,38.45,,1.29,,,,
D3,13_116,Rota,Unknown,34.48,0.821,15.60,23.99,11.860,,
D4,13_116,Rota,Unknown,33.31,0.821,32.38,23.99,11.860,,
D5,13_117,Rota,Unknown,34.12,0.263,19.48,22.04,3.623,,
D6,13_117,Rota,Unknown,33.75,0.263,24.61,22.04,3.623,,
D7,13_118,Rota,Unknown,28.84,0.078,541.03,522.87,25.680,,
D8,13_118,Rota,Unknown,28.95,0.078,504.71,522.87,25.680,,
D9,13_119,Rota,Unknown,34.99,2.618,11.27,6.18,7.190,,
D10,13_119,Rota,Unknown,38.70,2.618,1.10,6.18,7.190,,
D11,13_120,Rota,Unknown,33.10,0.435,37.08,45.85,12.397,,
D12,13_120,Rota,Unknown,32.48,0.435,54.62,45.85,12.397,,
E1,13_121,Rota,Unknown,31.10,1.276,130.53,86.25,62.621,,
E2,13_121,Rota,Unknown,32.90,1.276,41.97,86.25,62.621,,
E3,13_122,Rota,Unknown,34.50,0.184,15.39,16.76,1.933,,
E4,13_122,Rota,Unknown,34.24,0.184,18.13,16.76,1.933,,
E5,13_123,Rota,Unknown,31.94,1.191,76.71,51.66,35.422,,
E6,13_123,Rota,Unknown,33.63,1.191,26.61,51.66,35.422,,
E7,13_124,Rota,Unknown,34.01,0.162,20.97,22.60,2.304,,
E8,13_124,Rota,Unknown,33.78,0.162,24.23,22.60,2.304,,
E9,13_125,Rota,Unknown,Undetermined,,,,,,
E10,13_125,Rota,Unknown,39.60,,6.23e-001,,,,
E11,13_126,Rota,Unknown,Undetermined,,,,,,
E12,13_126,Rota,Unknown,34.03,,20.61,,,,
F1,13_127,Rota,Unknown,33.10,0.521,37.01,47.92,15.431,,
F2,13_127,Rota,Unknown,32.36,0.521,58.83,47.92,15.431,,
F3,13_128,Rota,Unknown,26.24,0.142,2766.85,2602.86,231.923,,
F4,13_128,Rota,Unknown,26.44,0.142,2438.87,2602.86,231.923,,
F5,13_129,Rota,Unknown,34.46,0.638,15.73,21.74,8.496,,
F6,13_129,Rota,Unknown,33.56,0.638,27.74,21.74,8.496,,
F7,13_130,Rota,Unknown,33.96,0.334,21.58,18.81,3.917,,
F8,13_130,Rota,Unknown,34.43,0.334,16.04,18.81,3.917,,
F9,13_131,Rota,Unknown,28.65,0.116,609.46,642.59,46.851,,
F10,13_131,Rota,Unknown,28.48,0.116,675.72,642.59,46.851,,
F11,13_132,Rota,Unknown,28.54,0.131,653.31,617.41,50.766,,
F12,13_132,Rota,Unknown,28.72,0.131,581.52,617.41,50.766,,
G1,13_133,Rota,Unknown,34.41,1.411,16.25,36.60,28.786,,
G2,13_133,Rota,Unknown,32.42,1.411,56.96,36.60,28.786,,
G3,13_134,Rota,Unknown,29.20,0.177,431.25,399.88,44.365,,
G4,13_134,Rota,Unknown,29.45,0.177,368.51,399.88,44.365,,
G5,13_135,Rota,Unknown,31.31,1.527,114.38,71.91,60.066,,
G6,13_135,Rota,Unknown,33.47,1.527,29.43,71.91,60.066,,
G7,13_136,Rota,Unknown,32.92,1.267,41.41,27.42,19.786,,
G8,13_136,Rota,Unknown,34.71,1.267,13.43,27.42,19.786,,
G9,13_137,Rota,Unknown,33.91,0.920,22.22,36.29,19.899,,
G10,13_137,Rota,Unknown,32.61,0.920,50.37,36.29,19.899,,
G11,13_138,Rota,Unknown,14.44,0.169,4.60e+006,4.98e+006,527091.890,,
G12,13_138,Rota,Unknown,14.20,0.169,5.35e+006,4.98e+006,527091.890,,
H1,13_139,Rota,Unknown,20.79,0.251,84984.79,76483.01,12023.334,,
H2,13_139,Rota,Unknown,21.15,0.251,67981.23,76483.01,12023.334,,
H3,13_140,Rota,Unknown,26.81,0.108,1931.40,2028.93,137.932,,
H4,13_140,Rota,Unknown,26.66,0.108,2126.46,2028.93,137.932,,
H5,13_141,Rota,Unknown,32.77,0.089,45.62,43.88,2.461,,
H6,13_141,Rota,Unknown,32.90,0.089,42.14,43.88,2.461,,
H7,13_142,Rota,Unknown,37.06,,3.07,,,,
H8,13_142,Rota,Unknown,Undetermined,,,,,,
H9,13_143,Rota,Unknown,34.34,0.744,16.96,12.86,5.801,,
H10,13_143,Rota,Unknown,35.39,0.744,8.75,12.86,5.801,,
H11,13_144,Rota,Unknown,26.71,0.046,2053.25,2011.80,58.611,,
H12,13_144,Rota,Unknown,26.78,0.046,1970.36,2011.80,58.611,,
