Document Name: bmlv_8.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 30, 2019 16:57:53
Last Modified: Tuesday, February 05, 2019 13:51:51
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.89,,1.00e+010,,,,
A2,,Rota,Standard,3.85,,1.00e+010,,,,
A3,,Rota,Standard,11.53,,1.00e+008,,,,
A4,,Rota,Standard,11.43,,1.00e+008,,,,
A5,,Rota,Standard,19.33,,1.00e+006,,,,
A6,,Rota,Standard,19.20,,1.00e+006,,,,
A7,,Rota,Standard,26.40,,10000.00,,,,
A8,,Rota,Standard,26.41,,10000.00,,,,
A9,,Rota,Standard,36.00,,100.00,,,,
A10,,Rota,Standard,33.52,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_145,Rota,Unknown,31.25,0.098,701.70,732.25,43.205,,
B2,13_145,Rota,Unknown,31.11,0.098,762.81,732.25,43.205,,
B3,13_146,Rota,Unknown,Undetermined,,,,,,
B4,13_146,Rota,Unknown,Undetermined,,,,,,
B5,13_147,Rota,Unknown,Undetermined,,,,,,
B6,13_147,Rota,Unknown,Undetermined,,,,,,
B7,13_148,Rota,Unknown,Undetermined,,,,,,
B8,13_148,Rota,Unknown,Undetermined,,,,,,
B9,13_149,Rota,Unknown,Undetermined,,,,,,
B10,13_149,Rota,Unknown,Undetermined,,,,,,
B11,13_150,Rota,Unknown,Undetermined,,,,,,
B12,13_150,Rota,Unknown,Undetermined,,,,,,
