Document Name: dwv2_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, February 18, 2019 15:50:49
Last Modified: Friday, February 22, 2019 15:09:32
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,5.58,,1.00e+010,,,,
A2,,Rota,Standard,5.57,,1.00e+010,,,,
A3,,Rota,Standard,13.11,,1.00e+008,,,,
A4,,Rota,Standard,12.50,,1.00e+008,,,,
A5,,Rota,Standard,22.63,,1.00e+006,,,,
A6,,Rota,Standard,22.76,,1.00e+006,,,,
A7,,Rota,Standard,27.50,,10000.00,,,,
A8,,Rota,Standard,27.01,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_43,Rota,Unknown,27.49,0.395,16644.83,20057.61,4826.396,,
B2,12_43,Rota,Unknown,26.93,0.395,23470.39,20057.61,4826.396,,
B3,12_44,Rota,Unknown,26.80,0.353,25391.51,29943.83,6437.950,,
B4,12_44,Rota,Unknown,26.31,0.353,34496.15,29943.83,6437.950,,
B5,12_45,Rota,Unknown,8.94,0.271,1.49e+009,1.69e+009,2.80e+008,,
B6,12_45,Rota,Unknown,8.56,0.271,1.89e+009,1.69e+009,2.80e+008,,
B7,12_46,Rota,Unknown,20.89,0.097,963846.25,924764.19,55270.383,,
B8,12_46,Rota,Unknown,21.03,0.097,885682.13,924764.19,55270.383,,
B9,12_47,Rota,Unknown,25.09,0.159,72766.80,68061.46,6654.353,,
B10,12_47,Rota,Unknown,25.32,0.159,63356.12,68061.46,6654.353,,
B11,12_48,Rota,Unknown,9.00,0.232,1.43e+009,1.30e+009,1.86e+008,,
B12,12_48,Rota,Unknown,9.33,0.232,1.17e+009,1.30e+009,1.86e+008,,
C1,12_49,Rota,Unknown,17.04,0.137,1.03e+007,1.09e+007,918921.325,,
C2,12_49,Rota,Unknown,16.84,0.137,1.16e+007,1.09e+007,918921.325,,
C3,12_50,Rota,Unknown,12.04,0.073,2.22e+008,2.15e+008,9.62e+006,,
C4,12_50,Rota,Unknown,12.14,0.073,2.08e+008,2.15e+008,9.62e+006,,
C5,12_51,Rota,Unknown,34.94,0.948,171.48,281.13,155.063,,
C6,12_51,Rota,Unknown,33.60,0.948,390.77,281.13,155.063,,
C7,12_52,Rota,Unknown,29.70,0.312,4282.76,3773.55,720.138,,
C8,12_52,Rota,Unknown,30.14,0.312,3264.33,3773.55,720.138,,
C9,12_53,Rota,Unknown,Undetermined,,,,,,
C10,12_53,Rota,Unknown,Undetermined,,,,,,
C11,12_54,Rota,Unknown,Undetermined,,,,,,
C12,12_54,Rota,Unknown,Undetermined,,,,,,
D1,12_55,Rota,Unknown,32.23,0.931,903.02,652.45,354.351,,
D2,12_55,Rota,Unknown,33.55,0.931,401.89,652.45,354.351,,
D3,12_56,Rota,Unknown,30.31,0.246,2940.08,3290.45,495.509,,
D4,12_56,Rota,Unknown,29.96,0.246,3640.83,3290.45,495.509,,
D5,12_57,Rota,Unknown,14.83,0.195,4.00e+007,4.37e+007,5.22e+006,,
D6,12_57,Rota,Unknown,14.55,0.195,4.74e+007,4.37e+007,5.22e+006,,
D7,12_58,Rota,Unknown,24.37,0.053,113299.96,115976.80,3785.618,,
D8,12_58,Rota,Unknown,24.30,0.053,118653.63,115976.80,3785.618,,
D9,12_59,Rota,Unknown,27.51,0.047,16501.50,16173.31,464.126,,
D10,12_59,Rota,Unknown,27.57,0.047,15845.13,16173.31,464.126,,
D11,12_60,Rota,Unknown,22.07,0.066,465066.53,478751.64,19353.667,,
D12,12_60,Rota,Unknown,21.98,0.066,492436.75,478751.64,19353.667,,
E1,12_61,Rota,Unknown,22.50,0.045,357294.31,364389.08,10033.514,,
E2,12_61,Rota,Unknown,22.44,0.045,371483.84,364389.08,10033.514,,
E3,12_62,Rota,Unknown,33.73,0.799,359.06,539.16,254.707,,
E4,12_62,Rota,Unknown,32.60,0.799,719.27,539.16,254.707,,
E5,12_63,Rota,Unknown,39.90,0.910,8.12,13.01,6.922,,
E6,12_63,Rota,Unknown,38.61,0.910,17.91,13.01,6.922,,
E7,12_64,Rota,Unknown,Undetermined,,,,,,
E8,12_64,Rota,Unknown,Undetermined,,,,,,
E9,12_65,Rota,Unknown,18.33,0.159,4.65e+006,4.99e+006,486113.992,,
E10,12_65,Rota,Unknown,18.10,0.159,5.33e+006,4.99e+006,486113.992,,
E11,12_66,Rota,Unknown,Undetermined,,,,,,
E12,12_66,Rota,Unknown,Undetermined,,,,,,
F1,12_67,Rota,Unknown,24.16,0.148,129387.48,138285.44,12583.606,,
F2,12_67,Rota,Unknown,23.95,0.148,147183.39,138285.44,12583.606,,
F3,12_68,Rota,Unknown,21.89,0.165,521683.75,486810.06,49318.842,,
F4,12_68,Rota,Unknown,22.12,0.165,451936.38,486810.06,49318.842,,
F5,12_69,Rota,Unknown,31.75,0.346,1212.20,1424.73,300.564,,
F6,12_69,Rota,Unknown,31.26,0.346,1637.27,1424.73,300.564,,
F7,12_70,Rota,Unknown,22.39,0.351,382863.72,451149.27,96570.347,,
F8,12_70,Rota,Unknown,21.89,0.351,519434.81,451149.27,96570.347,,
F9,12_71,Rota,Unknown,18.41,0.073,4.43e+006,4.57e+006,205461.543,,
F10,12_71,Rota,Unknown,18.31,0.073,4.72e+006,4.57e+006,205461.543,,
F11,12_72,Rota,Unknown,22.52,0.165,353708.72,330082.39,33412.674,,
F12,12_72,Rota,Unknown,22.75,0.165,306456.06,330082.39,33412.674,,
G1,12_73,Rota,Unknown,16.01,0.083,1.93e+007,2.00e+007,1.02e+006,,
G2,12_73,Rota,Unknown,15.90,0.083,2.07e+007,2.00e+007,1.02e+006,,
G3,12_74,Rota,Unknown,28.33,0.041,9914.40,9740.25,246.276,,
G4,12_74,Rota,Unknown,28.39,0.041,9566.11,9740.25,246.276,,
G5,12_75,Rota,Unknown,39.11,0.021,13.16,13.04,1.71e-001,,
G6,12_75,Rota,Unknown,39.14,0.021,12.91,13.04,1.71e-001,,
G7,12_76,Rota,Unknown,Undetermined,,,,,,
G8,12_76,Rota,Unknown,Undetermined,,,,,,
G9,12_77,Rota,Unknown,14.92,0.174,3.78e+007,4.09e+007,4.37e+006,,
G10,12_77,Rota,Unknown,14.67,0.174,4.40e+007,4.09e+007,4.37e+006,,
G11,12_78,Rota,Unknown,20.37,0.099,1.33e+006,1.27e+006,77054.398,,
G12,12_78,Rota,Unknown,20.51,0.099,1.22e+006,1.27e+006,77054.398,,
H1,12_79,Rota,Unknown,23.34,0.325,212910.33,186684.11,37089.474,,
H2,12_79,Rota,Unknown,23.81,0.325,160457.89,186684.11,37089.474,,
H3,12_80,Rota,Unknown,22.22,0.171,425606.50,396259.14,41503.434,,
H4,12_80,Rota,Unknown,22.46,0.171,366911.78,396259.14,41503.434,,
