Document Name: dwv4_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, February 19, 2019 16:36:42
Last Modified: Tuesday, February 19, 2019 17:44:08
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.17,,1.00e+010,,,,
A2,,Rota,Standard,3.84,,1.00e+010,,,,
A3,,Rota,Standard,11.90,,1.00e+008,,,,
A4,,Rota,Standard,11.35,,1.00e+008,,,,
A5,,Rota,Standard,21.18,,1.00e+006,,,,
A6,,Rota,Standard,21.58,,1.00e+006,,,,
A7,,Rota,Standard,26.07,,10000.00,,,,
A8,,Rota,Standard,25.72,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_127,Rota,Unknown,13.11,0.174,4.95e+007,4.61e+007,4.89e+006,,
B2,12_127,Rota,Unknown,13.35,0.174,4.26e+007,4.61e+007,4.89e+006,,
B3,12_128,Rota,Unknown,28.16,0.036,5047.18,5126.30,111.889,,
B4,12_128,Rota,Unknown,28.11,0.036,5205.42,5126.30,111.889,,
B5,12_129,Rota,Unknown,29.10,0.317,2839.41,3286.97,632.945,,
B6,12_129,Rota,Unknown,28.65,0.317,3734.53,3286.97,632.945,,
B7,12_130,Rota,Unknown,28.28,0.037,4684.91,4612.01,103.090,,
B8,12_130,Rota,Unknown,28.34,0.037,4539.12,4612.01,103.090,,
B9,12_131,Rota,Unknown,9.71,0.261,3.94e+008,4.44e+008,7.06e+007,,
B10,12_131,Rota,Unknown,9.34,0.261,4.94e+008,4.44e+008,7.06e+007,,
B11,12_132,Rota,Unknown,18.59,0.046,1.74e+006,1.78e+006,49789.863,,
B12,12_132,Rota,Unknown,18.52,0.046,1.81e+006,1.78e+006,49789.863,,
C1,12_133,Rota,Unknown,8.21,0.651,9.85e+008,1.36e+009,5.25e+008,,
C2,12_133,Rota,Unknown,7.29,0.651,1.73e+009,1.36e+009,5.25e+008,,
C3,12_134,Rota,Unknown,12.67,0.082,6.48e+007,6.26e+007,3.15e+006,,
C4,12_134,Rota,Unknown,12.78,0.082,6.04e+007,6.26e+007,3.15e+006,,
C5,12_135,Rota,Unknown,25.09,0.332,32878.00,28782.18,5792.354,,
C6,12_135,Rota,Unknown,25.56,0.332,24686.37,28782.18,5792.354,,
C7,12_136,Rota,Unknown,29.01,0.042,3007.95,3063.19,78.113,,
C8,12_136,Rota,Unknown,28.95,0.042,3118.42,3063.19,78.113,,
C9,12_137,Rota,Unknown,26.94,0.425,10613.53,12967.23,3328.638,,
C10,12_137,Rota,Unknown,26.34,0.425,15320.93,12967.23,3328.638,,
C11,12_138,Rota,Unknown,25.75,0.021,22006.86,22211.56,289.488,,
C12,12_138,Rota,Unknown,25.72,0.021,22416.26,22211.56,289.488,,
