Document Name: dwv6_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, February 20, 2019 17:27:33
Last Modified: Wednesday, February 20, 2019 18:58:08
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,5.74,,1.00e+010,,,,
A2,,Rota,Standard,5.55,,1.00e+010,,,,
A3,,Rota,Standard,12.42,,1.00e+008,,,,
A4,,Rota,Standard,12.58,,1.00e+008,,,,
A5,,Rota,Standard,22.55,,1.00e+006,,,,
A6,,Rota,Standard,23.11,,1.00e+006,,,,
A7,,Rota,Standard,27.88,,10000.00,,,,
A8,,Rota,Standard,27.47,,10000.00,,,,
A9,,Rota,Standard,34.63,,100.00,,,,
A10,,Rota,Standard,34.64,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_61,Rota,Unknown,31.86,0.044,864.84,881.99,24.249,,
B2,13_61,Rota,Unknown,31.80,0.044,899.13,881.99,24.249,,
B3,13_62,Rota,Unknown,34.67,0.941,147.45,105.64,59.129,,
B4,13_62,Rota,Unknown,36.00,0.941,63.83,105.64,59.129,,
B5,13_63,Rota,Unknown,Undetermined,,,,,,
B6,13_63,Rota,Unknown,Undetermined,,,,,,
B7,13_64,Rota,Unknown,33.82,1.767,252.59,152.49,141.564,,
B8,13_64,Rota,Unknown,36.32,1.767,52.38,152.49,141.564,,
B9,13_65,Rota,Unknown,Undetermined,,,,,,
B10,13_65,Rota,Unknown,Undetermined,,,,,,
B11,13_66,Rota,Unknown,30.92,0.013,1567.38,1558.27,12.895,,
B12,13_66,Rota,Unknown,30.94,0.013,1549.15,1558.27,12.895,,
C1,13_67,Rota,Unknown,27.08,0.378,17594.15,15081.86,3552.915,,
C2,13_67,Rota,Unknown,27.61,0.378,12569.57,15081.86,3552.915,,
C3,13_68,Rota,Unknown,32.99,1.374,426.26,275.87,212.672,,
C4,13_68,Rota,Unknown,34.93,1.374,125.49,275.87,212.672,,
C5,13_69,Rota,Unknown,26.20,0.107,30451.91,31970.48,2147.590,,
C6,13_69,Rota,Unknown,26.05,0.107,33489.06,31970.48,2147.590,,
C7,13_70,Rota,Unknown,23.66,0.214,150940.06,166814.88,22450.375,,
C8,13_70,Rota,Unknown,23.36,0.214,182689.69,166814.88,22450.375,,
C9,13_71,Rota,Unknown,Undetermined,,,,,,
C10,13_71,Rota,Unknown,Undetermined,,,,,,
C11,13_72,Rota,Unknown,29.95,0.176,2884.27,3128.87,345.922,,
C12,13_72,Rota,Unknown,29.70,0.176,3373.48,3128.87,345.922,,
D1,13_73,Rota,Unknown,12.30,0.271,1.93e+008,2.20e+008,3.73e+007,,
D2,13_73,Rota,Unknown,11.91,0.271,2.46e+008,2.20e+008,3.73e+007,,
D3,13_74,Rota,Unknown,30.06,0.370,2683.76,3207.11,740.121,,
D4,13_74,Rota,Unknown,29.54,0.370,3730.45,3207.11,740.121,,
D5,13_75,Rota,Unknown,16.13,0.165,1.73e+007,1.87e+007,1.94e+006,,
D6,13_75,Rota,Unknown,15.89,0.165,2.01e+007,1.87e+007,1.94e+006,,
D7,13_76,Rota,Unknown,18.38,0.040,4.20e+006,4.28e+006,107756.002,,
D8,13_76,Rota,Unknown,18.32,0.040,4.35e+006,4.28e+006,107756.002,,
D9,13_77,Rota,Unknown,19.80,0.060,1.72e+006,1.67e+006,63331.223,,
D10,13_77,Rota,Unknown,19.88,0.060,1.63e+006,1.67e+006,63331.223,,
