Document Name: dwv7_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, February 21, 2019 14:36:42
Last Modified: Thursday, February 21, 2019 15:50:50
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.37,,1.00e+010,,,,
A2,,Rota,Standard,4.09,,1.00e+010,,,,
A3,,Rota,Standard,11.78,,1.00e+008,,,,
A4,,Rota,Standard,12.03,,1.00e+008,,,,
A5,,Rota,Standard,21.80,,1.00e+006,,,,
A6,,Rota,Standard,22.38,,1.00e+006,,,,
A7,,Rota,Standard,26.47,,10000.00,,,,
A8,,Rota,Standard,26.68,,10000.00,,,,
A9,,Rota,Standard,31.39,,100.00,,,,
A10,,Rota,Standard,30.98,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,43.86,,,,,,
B1,13_103,Rota,Unknown,7.38,0.190,2.80e+009,3.07e+009,3.90e+008,,
B2,13_103,Rota,Unknown,7.11,0.190,3.35e+009,3.07e+009,3.90e+008,,
B3,13_104,Rota,Unknown,25.49,0.220,14599.36,13221.93,1947.980,,
B4,13_104,Rota,Unknown,25.80,0.220,11844.50,13221.93,1947.980,,
B5,13_105,Rota,Unknown,28.09,0.004,2557.25,2561.62,6.181,,
B6,13_105,Rota,Unknown,28.08,0.004,2565.99,2561.62,6.181,,
B7,13_106,Rota,Unknown,27.43,0.487,3977.23,3240.42,1042.009,,
B8,13_106,Rota,Unknown,28.12,0.487,2503.61,3240.42,1042.009,,
B9,13_107,Rota,Unknown,24.85,0.146,22402.49,24067.79,2355.102,,
B10,13_107,Rota,Unknown,24.65,0.146,25733.10,24067.79,2355.102,,
B11,13_108,Rota,Unknown,27.94,0.310,2820.37,3303.38,683.079,,
B12,13_108,Rota,Unknown,27.50,0.310,3786.39,3303.38,683.079,,
C1,13_109,Rota,Unknown,Undetermined,,,,,,
C2,13_109,Rota,Unknown,Undetermined,,,,,,
C3,13_110,Rota,Unknown,24.20,0.233,34836.71,31382.45,4885.054,,
C4,13_110,Rota,Unknown,24.53,0.233,27928.20,31382.45,4885.054,,
C5,13_111,Rota,Unknown,29.09,0.244,1301.90,1471.99,240.547,,
C6,13_111,Rota,Unknown,28.75,0.244,1642.08,1471.99,240.547,,
C7,13_112,Rota,Unknown,29.51,0.077,982.37,1019.54,52.557,,
C8,13_112,Rota,Unknown,29.40,0.077,1056.70,1019.54,52.557,,
C9,13_113,Rota,Unknown,10.47,0.691,3.50e+008,5.13e+008,2.30e+008,,
C10,13_113,Rota,Unknown,9.50,0.691,6.75e+008,5.13e+008,2.30e+008,,
C11,13_114,Rota,Unknown,25.42,0.096,15343.82,14672.45,949.453,,
C12,13_114,Rota,Unknown,25.55,0.096,14001.09,14672.45,949.453,,
D1,13_115,Rota,Unknown,26.54,0.823,7236.83,5274.39,2775.312,,
D2,13_115,Rota,Unknown,27.70,0.823,3311.94,5274.39,2775.312,,
D3,13_116,Rota,Unknown,27.84,0.714,3019.28,2275.80,1051.438,,
D4,13_116,Rota,Unknown,28.85,0.714,1532.32,2275.80,1051.438,,
D5,13_117,Rota,Unknown,35.95,,12.97,,,,
D6,13_117,Rota,Unknown,Undetermined,,,,,,
D7,13_118,Rota,Unknown,Undetermined,,,,,,
D8,13_118,Rota,Unknown,Undetermined,,,,,,
D9,13_119,Rota,Unknown,25.43,0.326,15238.25,13210.94,2867.051,,
D10,13_119,Rota,Unknown,25.89,0.326,11183.63,13210.94,2867.051,,
D11,13_120,Rota,Unknown,25.47,0.084,14845.95,15465.19,875.734,,
D12,13_120,Rota,Unknown,25.35,0.084,16084.43,15465.19,875.734,,
E1,13_121,Rota,Unknown,24.50,0.358,28385.70,24298.97,5779.510,,
E2,13_121,Rota,Unknown,25.01,0.358,20212.24,24298.97,5779.510,,
E3,13_122,Rota,Unknown,39.39,1.667,1.29,3.80,3.542,,
E4,13_122,Rota,Unknown,37.03,1.667,6.30,3.80,3.542,,
E5,13_123,Rota,Unknown,35.84,0.974,14.04,24.72,15.114,,
E6,13_123,Rota,Unknown,34.46,0.974,35.41,24.72,15.114,,
E7,13_124,Rota,Unknown,Undetermined,,,,,,
E8,13_124,Rota,Unknown,Undetermined,,,,,,
E9,13_125,Rota,Unknown,25.34,0.020,16124.38,16276.39,214.967,,
E10,13_125,Rota,Unknown,25.32,0.020,16428.39,16276.39,214.967,,
E11,13_126,Rota,Unknown,22.39,0.128,117085.55,110393.94,9463.359,,
E12,13_126,Rota,Unknown,22.57,0.128,103702.34,110393.94,9463.359,,
F1,13_127,Rota,Unknown,24.65,0.100,25645.81,24488.01,1637.376,,
F2,13_127,Rota,Unknown,24.79,0.100,23330.21,24488.01,1637.376,,
F3,13_128,Rota,Unknown,23.08,0.324,73846.24,87154.09,18820.144,,
F4,13_128,Rota,Unknown,22.62,0.324,100461.95,87154.09,18820.144,,
F5,13_129,Rota,Unknown,Undetermined,,,,,,
F6,13_129,Rota,Unknown,Undetermined,,,,,,
F7,13_130,Rota,Unknown,34.48,1.593,34.85,21.27,19.215,,
F8,13_130,Rota,Unknown,36.73,1.593,7.68,21.27,19.215,,
F9,13_131,Rota,Unknown,25.64,0.137,13197.41,14114.25,1296.608,,
F10,13_131,Rota,Unknown,25.45,0.137,15031.09,14114.25,1296.608,,
F11,13_132,Rota,Unknown,20.66,0.008,375031.19,373672.41,1921.607,,
F12,13_132,Rota,Unknown,20.67,0.008,372313.63,373672.41,1921.607,,
G1,13_133,Rota,Unknown,28.99,0.195,1390.32,1272.92,166.031,,
G2,13_133,Rota,Unknown,29.27,0.195,1155.52,1272.92,166.031,,
G3,13_134,Rota,Unknown,30.70,0.206,442.45,490.25,67.601,,
G4,13_134,Rota,Unknown,30.41,0.206,538.05,490.25,67.601,,
G5,13_135,Rota,Unknown,7.86,0.203,2.02e+009,1.84e+009,2.51e+008,,
G6,13_135,Rota,Unknown,8.15,0.203,1.67e+009,1.84e+009,2.51e+008,,
G7,13_136,Rota,Unknown,7.76,0.298,2.17e+009,2.52e+009,5.00e+008,,
G8,13_136,Rota,Unknown,7.34,0.298,2.87e+009,2.52e+009,5.00e+008,,
G9,13_137,Rota,Unknown,26.82,0.150,5976.29,6432.73,645.490,,
G10,13_137,Rota,Unknown,26.61,0.150,6889.16,6432.73,645.490,,
G11,13_138,Rota,Unknown,16.72,0.035,5.27e+006,5.18e+006,120950.968,,
G12,13_138,Rota,Unknown,16.77,0.035,5.10e+006,5.18e+006,120950.968,,
H1,13_139,Rota,Unknown,6.93,0.105,3.78e+009,3.98e+009,2.79e+008,,
H2,13_139,Rota,Unknown,6.78,0.105,4.18e+009,3.98e+009,2.79e+008,,
H3,13_140,Rota,Unknown,16.88,0.121,4.74e+006,4.48e+006,364614.662,,
H4,13_140,Rota,Unknown,17.05,0.121,4.22e+006,4.48e+006,364614.662,,
H5,13_141,Rota,Unknown,23.05,0.153,75429.30,70317.90,7228.620,,
H6,13_141,Rota,Unknown,23.26,0.153,65206.49,70317.90,7228.620,,
H7,13_142,Rota,Unknown,27.25,0.177,4471.78,4125.61,489.572,,
H8,13_142,Rota,Unknown,27.50,0.177,3779.43,4125.61,489.572,,
H9,13_143,Rota,Unknown,28.00,0.068,2709.30,2799.53,127.599,,
H10,13_143,Rota,Unknown,27.90,0.068,2889.76,2799.53,127.599,,
H11,13_144,Rota,Unknown,32.40,0.512,141.05,113.89,38.411,,
H12,13_144,Rota,Unknown,33.13,0.512,86.73,113.89,38.411,,
