Document Name: dwv8_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, February 21, 2019 16:36:46
Last Modified: Friday, February 22, 2019 15:14:48
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,8.69,,1.00e+010,,,,
A2,,Rota,Standard,8.75,,1.00e+010,,,,
A3,,Rota,Standard,15.60,,1.00e+008,,,,
A4,,Rota,Standard,16.47,,1.00e+008,,,,
A5,,Rota,Standard,26.27,,1.00e+006,,,,
A6,,Rota,Standard,25.93,,1.00e+006,,,,
A7,,Rota,Standard,33.09,,10000.00,,,,
A8,,Rota,Standard,32.08,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_145,Rota,Unknown,28.07,0.009,171010.02,170384.43,884.712,,
B2,13_145,Rota,Unknown,28.09,0.009,169758.84,170384.43,884.712,,
B3,13_146,Rota,Unknown,Undetermined,,,,,,
B4,13_146,Rota,Unknown,Undetermined,,,,,,
B5,13_147,Rota,Unknown,41.95,0.211,68.40,63.09,7.507,,
B6,13_147,Rota,Unknown,42.25,0.211,57.78,63.09,7.507,,
B7,13_148,Rota,Unknown,19.01,0.170,2.84e+007,3.05e+007,2.92e+006,,
B8,13_148,Rota,Unknown,18.77,0.170,3.25e+007,3.05e+007,2.92e+006,,
B9,13_149,Rota,Unknown,Undetermined,,,,,,
B10,13_149,Rota,Unknown,Undetermined,,,,,,
B11,13_150,Rota,Unknown,30.77,1.404,37460.51,76136.63,54696.292,,
B12,13_150,Rota,Unknown,28.78,1.404,114812.75,76136.63,54696.292,,
