Document Name: thika_2.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 03, 2019 16:13:32
Last Modified: Tuesday, February 05, 2019 13:54:38
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,4.36,,1.00e+008,,,,
A4,,Rota,Standard,3.99,,1.00e+008,,,,
A5,,Rota,Standard,16.31,,1.00e+006,,,,
A6,,Rota,Standard,10.66,,1.00e+006,,,,
A7,,Rota,Standard,18.81,,10000.00,,,,
A8,,Rota,Standard,18.58,,10000.00,,,,
A9,,Rota,Standard,23.09,,100.00,,,,
A10,,Rota,Standard,23.29,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_36,Rota,Unknown,34.90,0.006,3.72e-002,3.70e-002,1.70e-004,,
B2,12_36,Rota,Unknown,34.91,0.006,3.69e-002,3.70e-002,1.70e-004,,
B3,12_37,Rota,Unknown,41.83,,2.20e-004,,,,
B4,12_37,Rota,Unknown,Undetermined,,,,,,
B5,12_38,Rota,Unknown,21.02,0.010,1069.98,1075.38,7.635,,
B6,12_38,Rota,Unknown,21.00,0.010,1080.78,1075.38,7.635,,
B7,12_39,Rota,Unknown,35.85,1.441,1.83e-002,1.12e-002,1.01e-002,,
B8,12_39,Rota,Unknown,37.89,1.441,4.05e-003,1.12e-002,1.01e-002,,
B9,12_40,Rota,Unknown,25.85,0.106,30.00,31.76,2.492,,
B10,12_40,Rota,Unknown,25.70,0.106,33.52,31.76,2.492,,
B11,12_41,Rota,Unknown,23.16,0.089,218.82,209.14,13.684,,
B12,12_41,Rota,Unknown,23.29,0.089,199.46,209.14,13.684,,
C1,12_42,Rota,Unknown,25.27,0.426,46.19,37.88,11.754,,
C2,12_42,Rota,Unknown,25.87,0.426,29.57,37.88,11.754,,
C3,12_43,Rota,Unknown,32.41,0.301,2.34e-001,2.02e-001,4.47e-002,,
C4,12_43,Rota,Unknown,32.83,0.301,1.71e-001,2.02e-001,4.47e-002,,
C5,12_44,Rota,Unknown,20.51,0.062,1559.54,1510.64,69.150,,
C6,12_44,Rota,Unknown,20.60,0.062,1461.74,1510.64,69.150,,
C7,12_45,Rota,Unknown,23.39,0.117,184.73,174.05,15.108,,
C8,12_45,Rota,Unknown,23.56,0.117,163.37,174.05,15.108,,
C9,12_46,Rota,Unknown,25.91,0.105,28.70,27.20,2.116,,
C10,12_46,Rota,Unknown,26.06,0.105,25.71,27.20,2.116,,
C11,12_47,Rota,Unknown,18.30,0.104,8000.09,7586.36,585.092,,
C12,12_47,Rota,Unknown,18.45,0.104,7172.64,7586.36,585.092,,
D1,12_48,Rota,Unknown,24.76,0.248,66.95,59.30,10.827,,
D2,12_48,Rota,Unknown,25.11,0.248,51.64,59.30,10.827,,
D3,12_49,Rota,Unknown,23.86,0.142,131.02,121.95,12.828,,
D4,12_49,Rota,Unknown,24.06,0.142,112.88,121.95,12.828,,
D5,12_50,Rota,Unknown,30.92,0.269,7.05e-001,8.19e-001,1.62e-001,,
D6,12_50,Rota,Unknown,30.54,0.269,9.34e-001,8.19e-001,1.62e-001,,
D7,12_51,Rota,Unknown,25.91,0.163,28.60,26.35,3.177,,
D8,12_51,Rota,Unknown,26.14,0.163,24.11,26.35,3.177,,
D9,12_52,Rota,Unknown,22.16,0.015,460.50,464.02,4.981,,
D10,12_52,Rota,Unknown,22.14,0.015,467.54,464.02,4.981,,
D11,12_53,Rota,Unknown,25.18,0.045,49.10,50.28,1.663,,
D12,12_53,Rota,Unknown,25.12,0.045,51.46,50.28,1.663,,
E1,12_54,Rota,Unknown,21.49,0.024,756.50,765.98,13.397,,
E2,12_54,Rota,Unknown,21.45,0.024,775.45,765.98,13.397,,
E3,12_55,Rota,Unknown,26.82,0.246,14.59,12.94,2.339,,
E4,12_55,Rota,Unknown,27.17,0.246,11.28,12.94,2.339,,
E5,12_56,Rota,Unknown,31.00,0.081,6.64e-001,6.37e-001,3.83e-002,,
E6,12_56,Rota,Unknown,31.12,0.081,6.09e-001,6.37e-001,3.83e-002,,
E7,12_57,Rota,Unknown,20.45,0.086,1630.36,1707.38,108.925,,
E8,12_57,Rota,Unknown,20.33,0.086,1784.40,1707.38,108.925,,
E9,12_58,Rota,Unknown,26.43,0.118,19.56,18.42,1.607,,
E10,12_58,Rota,Unknown,26.59,0.118,17.28,18.42,1.607,,
E11,12_59,Rota,Unknown,22.79,0.237,287.69,328.21,57.316,,
E12,12_59,Rota,Unknown,22.46,0.237,368.74,328.21,57.316,,
F1,12_60,Rota,Unknown,28.75,0.040,3.50,3.43,1.02e-001,,
F2,12_60,Rota,Unknown,28.81,0.040,3.36,3.43,1.02e-001,,
F3,12_61,Rota,Unknown,36.30,0.840,1.31e-002,2.24e-002,1.31e-002,,
F4,12_61,Rota,Unknown,35.11,0.840,3.16e-002,2.24e-002,1.31e-002,,
F5,12_62,Rota,Unknown,25.46,0.423,40.03,32.87,10.123,,
F6,12_62,Rota,Unknown,26.06,0.423,25.71,32.87,10.123,,
F7,12_63,Rota,Unknown,22.45,0.413,370.91,305.87,91.972,,
F8,12_63,Rota,Unknown,23.03,0.413,240.84,305.87,91.972,,
F9,12_64,Rota,Unknown,26.53,0.008,18.16,18.23,1.04e-001,,
F10,12_64,Rota,Unknown,26.52,0.008,18.31,18.23,1.04e-001,,
F11,12_65,Rota,Unknown,39.18,1.408,1.56e-003,4.18e-003,3.71e-003,,
F12,12_65,Rota,Unknown,37.19,1.408,6.80e-003,4.18e-003,3.71e-003,,
G1,12_66,Rota,Unknown,Undetermined,,,,,,
G2,12_66,Rota,Unknown,Undetermined,,,,,,
G3,12_67,Rota,Unknown,20.04,0.026,2207.08,2177.96,41.174,,
G4,12_67,Rota,Unknown,20.08,0.026,2148.85,2177.96,41.174,,
G5,12_68,Rota,Unknown,21.34,0.065,844.45,874.23,42.116,,
G6,12_68,Rota,Unknown,21.25,0.065,904.01,874.23,42.116,,
G7,12_69,Rota,Unknown,26.47,0.045,19.00,19.46,6.46e-001,,
G8,12_69,Rota,Unknown,26.40,0.045,19.91,19.46,6.46e-001,,
G9,12_70,Rota,Unknown,24.05,0.001,113.67,113.71,6.37e-002,,
G10,12_70,Rota,Unknown,24.05,0.001,113.76,113.71,6.37e-002,,
G11,12_71,Rota,Unknown,Undetermined,,,,,,
G12,12_71,Rota,Unknown,Undetermined,,,,,,
H1,12_72,Rota,Unknown,Undetermined,,,,,,
H2,12_72,Rota,Unknown,Undetermined,,,,,,
H3,12_73,Rota,Unknown,25.19,0.109,48.70,46.07,3.717,,
H4,12_73,Rota,Unknown,25.35,0.109,43.45,46.07,3.717,,
H5,12_74,Rota,Unknown,25.72,0.239,33.09,29.42,5.183,,
H6,12_74,Rota,Unknown,26.05,0.239,25.76,29.42,5.183,,
H7,12_75,Rota,Unknown,38.45,2.117,2.68e-003,1.49e-003,1.69e-003,,
H8,12_75,Rota,Unknown,41.44,2.117,2.93e-004,1.49e-003,1.69e-003,,
