Document Name: thika_3.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Sunday, January 13, 2019 13:34:56
Last Modified: Tuesday, February 05, 2019 13:56:07
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A5,,Rota,Standard,17.04,,1.00e+006,,,,
A6,,Rota,Standard,16.26,,1.00e+006,,,,
A7,,Rota,Standard,20.85,,10000.00,,,,
A8,,Rota,Standard,20.66,,10000.00,,,,
A9,,Rota,Standard,25.38,,100.00,,,,
A10,,Rota,Standard,25.95,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_76,Rota,Unknown,25.85,0.014,72.54,71.83,1.004,,
B2,12_76,Rota,Unknown,25.87,0.014,71.12,71.83,1.004,,
B3,12_77,Rota,Unknown,24.79,0.011,212.84,214.47,2.301,,
B4,12_77,Rota,Unknown,24.78,0.011,216.10,214.47,2.301,,
B5,12_78,Rota,Unknown,20.18,0.189,23582.82,20765.32,3984.541,,
B6,12_78,Rota,Unknown,20.45,0.189,17947.83,20765.32,3984.541,,
B7,12_79,Rota,Unknown,26.78,0.013,28.05,27.79,3.71e-001,,
B8,12_79,Rota,Unknown,26.80,0.013,27.53,27.79,3.71e-001,,
B9,12_80,Rota,Unknown,24.01,0.378,475.27,647.59,243.700,,
B10,12_80,Rota,Unknown,23.47,0.378,819.92,647.59,243.700,,
B11,12_81,Rota,Unknown,Undetermined,,,,,,
B12,12_81,Rota,Unknown,Undetermined,,,,,,
C1,12_82,Rota,Unknown,Undetermined,,,,,,
C2,12_82,Rota,Unknown,Undetermined,,,,,,
C3,12_83,Rota,Unknown,25.82,0.534,74.77,54.66,28.433,,
C4,12_83,Rota,Unknown,26.58,0.534,34.56,54.66,28.433,,
C5,12_84,Rota,Unknown,29.06,0.087,2.72,2.56,2.26e-001,,
C6,12_84,Rota,Unknown,29.19,0.087,2.40,2.56,2.26e-001,,
C7,12_85,Rota,Unknown,21.79,0.235,4592.45,3932.38,933.473,,
C8,12_85,Rota,Unknown,22.12,0.235,3272.32,3932.38,933.473,,
C9,12_86,Rota,Unknown,24.08,0.041,440.29,453.59,18.798,,
C10,12_86,Rota,Unknown,24.03,0.041,466.88,453.59,18.798,,
C11,12_87,Rota,Unknown,30.35,0.037,7.34e-001,7.15e-001,2.71e-002,,
C12,12_87,Rota,Unknown,30.40,0.037,6.96e-001,7.15e-001,2.71e-002,,
D1,12_88,Rota,Unknown,25.37,0.233,117.70,100.88,23.782,,
D2,12_88,Rota,Unknown,25.70,0.233,84.07,100.88,23.782,,
D3,12_89,Rota,Unknown,31.21,0.163,3.06e-001,2.74e-001,4.54e-002,,
D4,12_89,Rota,Unknown,31.44,0.163,2.42e-001,2.74e-001,4.54e-002,,
D5,12_90,Rota,Unknown,30.11,0.105,9.35e-001,8.70e-001,9.28e-002,,
D6,12_90,Rota,Unknown,30.26,0.105,8.04e-001,8.70e-001,9.28e-002,,
D7,12_91,Rota,Unknown,28.51,0.333,4.81,3.89,1.299,,
D8,12_91,Rota,Unknown,28.98,0.333,2.97,3.89,1.299,,
D9,12_92,Rota,Unknown,29.52,,1.70,,,,
D10,12_92,Rota,Unknown,Undetermined,,,,,,
D11,12_93,Rota,Unknown,27.96,0.015,8.45,8.54,1.29e-001,,
D12,12_93,Rota,Unknown,27.93,0.015,8.63,8.54,1.29e-001,,
E1,12_94,Rota,Unknown,22.11,0.297,3289.36,2716.00,810.842,,
E2,12_94,Rota,Unknown,22.53,0.297,2142.65,2716.00,810.842,,
E3,12_95,Rota,Unknown,22.95,0.065,1399.40,1468.66,97.961,,
E4,12_95,Rota,Unknown,22.86,0.065,1537.93,1468.66,97.961,,
E5,12_96,Rota,Unknown,23.66,0.432,675.50,518.63,221.853,,
E6,12_96,Rota,Unknown,24.28,0.432,361.76,518.63,221.853,,
E7,12_97,Rota,Unknown,30.14,0.312,9.10e-001,7.45e-001,2.33e-001,,
E8,12_97,Rota,Unknown,30.58,0.312,5.80e-001,7.45e-001,2.33e-001,,
E9,12_98,Rota,Unknown,26.01,0.975,61.24,38.11,32.713,,
E10,12_98,Rota,Unknown,27.39,0.975,14.98,38.11,32.713,,
E11,12_99,Rota,Unknown,27.45,0.231,14.14,12.13,2.838,,
E12,12_99,Rota,Unknown,27.78,0.231,10.13,12.13,2.838,,
F1,12_100,Rota,Unknown,24.21,0.180,388.05,343.53,62.956,,
F2,12_100,Rota,Unknown,24.46,0.180,299.01,343.53,62.956,,
F3,12_101,Rota,Unknown,25.36,0.200,120.03,140.16,28.470,,
F4,12_101,Rota,Unknown,25.07,0.200,160.29,140.16,28.470,,
F5,12_102,Rota,Unknown,24.48,0.425,294.28,226.76,95.489,,
F6,12_102,Rota,Unknown,25.08,0.425,159.24,226.76,95.489,,
F7,12_103,Rota,Unknown,25.56,0.077,97.25,92.13,7.232,,
F8,12_103,Rota,Unknown,25.67,0.077,87.02,92.13,7.232,,
F9,12_104,Rota,Unknown,26.58,0.216,34.27,40.52,8.847,,
F10,12_104,Rota,Unknown,26.28,0.216,46.78,40.52,8.847,,
F11,12_105,Rota,Unknown,27.78,0.011,10.07,9.99,1.16e-001,,
F12,12_105,Rota,Unknown,27.80,0.011,9.91,9.99,1.16e-001,,
G1,12_106,Rota,Unknown,24.25,0.019,370.71,365.59,7.236,,
G2,12_106,Rota,Unknown,24.28,0.019,360.47,365.59,7.236,,
G3,12_107,Rota,Unknown,27.82,0.164,9.74,8.71,1.449,,
G4,12_107,Rota,Unknown,28.05,0.164,7.69,8.71,1.449,,
G5,12_108,Rota,Unknown,27.38,0.026,15.15,15.44,4.11e-001,,
G6,12_108,Rota,Unknown,27.35,0.026,15.73,15.44,4.11e-001,,
G7,12_109,Rota,Unknown,29.24,0.179,2.28,2.02,3.66e-001,,
G8,12_109,Rota,Unknown,29.49,0.179,1.76,2.02,3.66e-001,,
