Document Name: thika_7.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 16, 2019 18:07:54
Last Modified: Tuesday, February 05, 2019 13:59:44
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.30,,1.00e+010,,,,
A2,,Rota,Standard,3.39,,1.00e+010,,,,
A3,,Rota,Standard,10.42,,1.00e+008,,,,
A4,,Rota,Standard,10.09,,1.00e+008,,,,
A5,,Rota,Standard,18.05,,1.00e+006,,,,
A6,,Rota,Standard,18.11,,1.00e+006,,,,
A7,,Rota,Standard,21.18,,10000.00,,,,
A8,,Rota,Standard,21.18,,10000.00,,,,
A9,,Rota,Standard,26.09,,100.00,,,,
A10,,Rota,Standard,26.22,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_92,Rota,Unknown,Undetermined,,,,,,
B2,13_92,Rota,Unknown,Undetermined,,,,,,
B3,13_93,Rota,Unknown,Undetermined,,,,,,
B4,13_93,Rota,Unknown,Undetermined,,,,,,
B5,13_94,Rota,Unknown,Undetermined,,,,,,
B6,13_94,Rota,Unknown,Undetermined,,,,,,
B7,13_95,Rota,Unknown,Undetermined,,,,,,
B8,13_95,Rota,Unknown,Undetermined,,,,,,
B9,13_96,Rota,Unknown,Undetermined,,,,,,
B10,13_96,Rota,Unknown,Undetermined,,,,,,
B11,13_97,Rota,Unknown,Undetermined,,,,,,
B12,13_97,Rota,Unknown,Undetermined,,,,,,
C1,13_98,Rota,Unknown,Undetermined,,,,,,
C2,13_98,Rota,Unknown,Undetermined,,,,,,
C3,13_99,Rota,Unknown,Undetermined,,,,,,
C4,13_99,Rota,Unknown,Undetermined,,,,,,
C5,13_100,Rota,Unknown,Undetermined,,,,,,
C6,13_100,Rota,Unknown,Undetermined,,,,,,
C7,13_101,Rota,Unknown,Undetermined,,,,,,
C8,13_101,Rota,Unknown,Undetermined,,,,,,
C9,13_102,Rota,Unknown,Undetermined,,,,,,
C10,13_102,Rota,Unknown,Undetermined,,,,,,
C11,13_103,Rota,Unknown,Undetermined,,,,,,
C12,13_103,Rota,Unknown,Undetermined,,,,,,
D1,13_104,Rota,Unknown,Undetermined,,,,,,
D2,13_104,Rota,Unknown,Undetermined,,,,,,
D3,13_105,Rota,Unknown,Undetermined,,,,,,
D4,13_105,Rota,Unknown,Undetermined,,,,,,
D5,13_106,Rota,Unknown,Undetermined,,,,,,
D6,13_106,Rota,Unknown,Undetermined,,,,,,
D7,13_107,Rota,Unknown,Undetermined,,,,,,
D8,13_107,Rota,Unknown,Undetermined,,,,,,
D9,13_108,Rota,Unknown,36.05,0.156,6.88e-002,6.32e-002,8.01e-003,,
