Document Name: thog_1.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 23, 2019 15:30:10
Last Modified: Monday, February 04, 2019 16:31:19
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,9.10,,1.00e+008,,,,
A4,,Rota,Standard,9.70,,1.00e+008,,,,
A5,,Rota,Standard,16.57,,1.00e+006,,,,
A7,,Rota,Standard,17.00,,10000.00,,,,
A8,,Rota,Standard,24.12,,10000.00,,,,
A9,,Rota,Standard,30.59,,100.00,,,,
A10,,Rota,Standard,30.00,,100.00,,,,
A11,,Rota,NTC,30.98,,,,,,
A12,,Rota,NTC,31.20,,,,,,
B1,12_1,Rota,Unknown,33.66,0.481,4.58,3.73,1.209,,
B2,12_1,Rota,Unknown,34.34,0.481,2.87,3.73,1.209,,
B3,12_2,Rota,Unknown,31.76,0.699,16.85,12.70,5.870,,
B4,12_2,Rota,Unknown,32.75,0.699,8.55,12.70,5.870,,
B5,12_3,Rota,Unknown,31.17,0.162,25.33,27.49,3.047,,
B6,12_3,Rota,Unknown,30.94,0.162,29.64,27.49,3.047,,
B7,12_4,Rota,Unknown,30.91,0.218,30.28,33.85,5.045,,
B8,12_4,Rota,Unknown,30.60,0.218,37.42,33.85,5.045,,
B9,12_5,Rota,Unknown,33.31,0.053,5.83,5.99,2.19e-001,,
B10,12_5,Rota,Unknown,33.23,0.053,6.14,5.99,2.19e-001,,
B11,12_6,Rota,Unknown,15.33,0.092,1.33e+006,1.27e+006,80608.317,,
B12,12_6,Rota,Unknown,15.47,0.092,1.21e+006,1.27e+006,80608.317,,
C1,12_7,Rota,Unknown,34.38,1.205,2.80,5.90,4.395,,
C2,12_7,Rota,Unknown,32.67,1.205,9.01,5.90,4.395,,
C3,12_8,Rota,Unknown,32.23,0.132,12.22,13.06,1.180,,
C4,12_8,Rota,Unknown,32.04,0.132,13.89,13.06,1.180,,
C5,12_9,Rota,Unknown,33.41,0.562,5.45,7.42,2.793,,
C6,12_9,Rota,Unknown,32.61,0.562,9.40,7.42,2.793,,
C7,12_10,Rota,Unknown,29.94,0.208,58.74,53.36,7.609,,
C8,12_10,Rota,Unknown,30.24,0.208,47.98,53.36,7.609,,
C9,12_11,Rota,Unknown,32.37,,11.08,,,,
C10,12_11,Rota,Unknown,Undetermined,,,,,,
C11,12_12,Rota,Unknown,36.35,3.091,7.25e-001,7.65,9.789,,
C12,12_12,Rota,Unknown,31.98,3.091,14.57,7.65,9.789,,
D1,12_13,Rota,Unknown,31.69,1.531,17.74,10.87,9.706,,
D2,12_13,Rota,Unknown,33.85,1.531,4.01,10.87,9.706,,
D3,12_14,Rota,Unknown,31.96,0.462,14.76,18.93,5.903,,
D4,12_14,Rota,Unknown,31.30,0.462,23.11,18.93,5.903,,
D5,12_15,Rota,Unknown,33.04,0.395,7.00,8.64,2.315,,
D6,12_15,Rota,Unknown,32.48,0.395,10.28,8.64,2.315,,
D7,12_16,Rota,Unknown,31.41,0.358,21.50,25.96,6.314,,
D8,12_16,Rota,Unknown,30.90,0.358,30.43,25.96,6.314,,
D9,12_17,Rota,Unknown,32.76,0.047,8.50,8.31,2.67e-001,,
D10,12_17,Rota,Unknown,32.83,0.047,8.13,8.31,2.67e-001,,
D11,12_18,Rota,Unknown,30.36,0.203,44.22,40.26,5.598,,
D12,12_18,Rota,Unknown,30.64,0.203,36.30,40.26,5.598,,
E1,12_19,Rota,Unknown,31.38,0.369,21.92,26.65,6.681,,
E2,12_19,Rota,Unknown,30.86,0.369,31.37,26.65,6.681,,
E3,12_20,Rota,Unknown,29.56,0.419,76.54,63.76,18.078,,
E4,12_20,Rota,Unknown,30.15,0.419,50.98,63.76,18.078,,
E5,12_21,Rota,Unknown,33.66,0.370,4.57,5.56,1.396,,
E6,12_21,Rota,Unknown,33.14,0.370,6.55,5.56,1.396,,
E7,12_22,Rota,Unknown,32.22,0.253,12.30,10.96,1.896,,
E8,12_22,Rota,Unknown,32.58,0.253,9.62,10.96,1.896,,
E9,12_23,Rota,Unknown,Undetermined,,,,,,
E10,12_23,Rota,Unknown,36.23,,7.87e-001,,,,
E11,12_24,Rota,Unknown,33.28,0.524,5.96,7.94,2.796,,
E12,12_24,Rota,Unknown,32.54,0.524,9.91,7.94,2.796,,
F1,12_25,Rota,Unknown,34.11,0.472,3.37,4.36,1.388,,
F2,12_25,Rota,Unknown,33.44,0.472,5.34,4.36,1.388,,
F3,12_26,Rota,Unknown,31.71,0.365,17.52,21.24,5.266,,
F4,12_26,Rota,Unknown,31.19,0.365,24.96,21.24,5.266,,
F5,12_27,Rota,Unknown,33.27,2.041,5.99,24.71,26.476,,
F6,12_27,Rota,Unknown,30.38,2.041,43.43,24.71,26.476,,
F7,12_28,Rota,Unknown,33.00,1.954,7.20,4.14,4.329,,
F8,12_28,Rota,Unknown,35.76,1.954,1.08,4.14,4.329,,
F9,12_29,Rota,Unknown,32.92,0.093,7.61,7.28,4.67e-001,,
F10,12_29,Rota,Unknown,33.05,0.093,6.95,7.28,4.67e-001,,
F11,12_30,Rota,Unknown,32.40,0.919,10.87,18.69,11.068,,
F12,12_30,Rota,Unknown,31.10,0.919,26.52,18.69,11.068,,
G1,12_31,Rota,Unknown,28.67,0.049,141.03,137.78,4.599,,
G2,12_31,Rota,Unknown,28.74,0.049,134.53,137.78,4.599,,
G3,12_32,Rota,Unknown,31.61,0.015,18.71,18.58,1.85e-001,,
G4,12_32,Rota,Unknown,31.63,0.015,18.45,18.58,1.85e-001,,
G5,12_33,Rota,Unknown,32.67,0.143,9.07,9.74,9.52e-001,,
G6,12_33,Rota,Unknown,32.46,0.143,10.41,9.74,9.52e-001,,
G7,12_34,Rota,Unknown,31.32,0.055,22.88,23.50,8.84e-001,,
G8,12_34,Rota,Unknown,31.24,0.055,24.13,23.50,8.84e-001,,
G9,12_35,Rota,Unknown,32.38,0.497,11.02,8.91,2.981,,
G10,12_35,Rota,Unknown,33.08,0.497,6.80,8.91,2.981,,
G11,12_36,Rota,Unknown,31.23,0.175,24.37,22.47,2.696,,
G12,12_36,Rota,Unknown,31.47,0.175,20.56,22.47,2.696,,
H1,12_37,Rota,Unknown,30.58,1.271,37.82,24.42,18.957,,
H2,12_37,Rota,Unknown,32.38,1.271,11.02,24.42,18.957,,
H3,12_38,Rota,Unknown,33.03,0.079,7.05,7.33,3.99e-001,,
H4,12_38,Rota,Unknown,32.92,0.079,7.62,7.33,3.99e-001,,
H5,12_39,Rota,Unknown,31.80,0.698,16.37,12.35,5.696,,
H6,12_39,Rota,Unknown,32.79,0.698,8.32,12.35,5.696,,
H7,12_40,Rota,Unknown,30.96,0.962,29.15,20.31,12.511,,
H8,12_40,Rota,Unknown,32.32,0.962,11.46,20.31,12.511,,
H9,12_41,Rota,Unknown,26.58,0.310,592.31,515.25,108.973,,
H10,12_41,Rota,Unknown,27.02,0.310,438.19,515.25,108.973,,
H11,12_42,Rota,Unknown,32.70,,8.86,,,,
H12,12_42,Rota,Unknown,Undetermined,,,,,,
