Document Name: thog_2.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 28, 2019 12:07:44
Last Modified: Monday, January 28, 2019 12:57:13
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,3.02,,1.00e+011,,,,
A3,,Rota,Standard,12.09,,1.00e+009,,,,
A4,,Rota,Standard,12.54,,1.00e+009,,,,
A5,,Rota,Standard,19.69,,1.00e+007,,,,
A6,,Rota,Standard,19.45,,1.00e+007,,,,
A7,,Rota,Standard,24.13,,100000.00,,,,
A8,,Rota,Standard,24.68,,100000.00,,,,
A9,,Rota,Standard,31.00,,1000.00,,,,
A10,,Rota,Standard,31.16,,1000.00,,,,
A11,,Rota,NTC,32.19,,,,,,
A12,,Rota,NTC,31.19,,,,,,
B1,12_43,Rota,Unknown,33.60,0.820,234.70,380.44,206.100,,
B2,12_43,Rota,Unknown,32.44,0.820,526.17,380.44,206.100,,
B3,12_44,Rota,Unknown,30.93,0.227,1500.48,1688.30,265.622,,
B4,12_44,Rota,Unknown,30.61,0.227,1876.13,1688.30,265.622,,
B5,12_45,Rota,Unknown,30.28,1.947,2369.26,1359.07,1428.622,,
B6,12_45,Rota,Unknown,33.03,1.947,348.88,1359.07,1428.622,,
B7,12_46,Rota,Unknown,30.29,0.058,2354.55,2288.82,92.954,,
B8,12_46,Rota,Unknown,30.37,0.058,2223.09,2288.82,92.954,,
B9,12_47,Rota,Unknown,33.93,0.173,186.77,204.14,24.554,,
B10,12_47,Rota,Unknown,33.68,0.173,221.50,204.14,24.554,,
B11,12_48,Rota,Unknown,25.58,0.054,62082.80,63762.09,2374.876,,
B12,12_48,Rota,Unknown,25.51,0.054,65441.38,63762.09,2374.876,,
C1,12_49,Rota,Unknown,32.09,0.352,669.73,571.62,138.746,,
C2,12_49,Rota,Unknown,32.59,0.352,473.51,571.62,138.746,,
C3,12_50,Rota,Unknown,27.06,0.486,22223.60,18001.41,5971.082,,
C4,12_50,Rota,Unknown,27.75,0.486,13779.22,18001.41,5971.082,,
C5,12_51,Rota,Unknown,33.83,2.711,200.30,107.10,131.805,,
C6,12_51,Rota,Unknown,37.66,2.711,13.90,107.10,131.805,,
C7,12_52,Rota,Unknown,38.11,,10.17,,,,
C8,12_52,Rota,Unknown,Undetermined,,,,,,
C9,12_53,Rota,Unknown,32.44,1.167,525.79,346.29,253.853,,
C10,12_53,Rota,Unknown,34.09,1.167,166.79,346.29,253.853,,
C11,12_54,Rota,Unknown,33.37,0.954,275.69,490.15,303.298,,
C12,12_54,Rota,Unknown,32.02,0.954,704.62,490.15,303.298,,
D1,12_55,Rota,Unknown,35.26,1.680,73.92,229.95,220.654,,
D2,12_55,Rota,Unknown,32.89,1.680,385.98,229.95,220.654,,
D3,12_56,Rota,Unknown,33.13,0.339,324.85,389.11,90.870,,
D4,12_56,Rota,Unknown,32.65,0.339,453.36,389.11,90.870,,
D5,12_57,Rota,Unknown,31.69,0.517,888.34,711.12,250.627,,
D6,12_57,Rota,Unknown,32.42,0.517,533.90,711.12,250.627,,
D7,12_58,Rota,Unknown,34.71,0.827,108.18,78.05,42.612,,
D8,12_58,Rota,Unknown,35.88,0.827,47.92,78.05,42.612,,
D9,12_59,Rota,Unknown,Undetermined,,,,,,
D10,12_59,Rota,Unknown,Undetermined,,,,,,
D11,12_60,Rota,Unknown,32.06,,685.40,,,,
D12,12_60,Rota,Unknown,Undetermined,,,,,,
E1,12_61,Rota,Unknown,33.48,0.616,254.64,360.76,150.076,,
E2,12_61,Rota,Unknown,32.61,0.616,466.88,360.76,150.076,,
E3,12_62,Rota,Unknown,36.90,2.670,23.64,175.38,214.595,,
E4,12_62,Rota,Unknown,33.12,2.670,327.12,175.38,214.595,,
E5,12_63,Rota,Unknown,33.90,0.727,190.63,290.28,140.921,,
E6,12_63,Rota,Unknown,32.87,0.727,389.92,290.28,140.921,,
E7,12_64,Rota,Unknown,26.74,0.098,27787.08,29195.64,1992.001,,
E8,12_64,Rota,Unknown,26.60,0.098,30604.20,29195.64,1992.001,,
E9,12_65,Rota,Unknown,30.24,0.189,2426.52,2673.97,349.953,,
E10,12_65,Rota,Unknown,29.98,0.189,2921.43,2673.97,349.953,,
E11,12_66,Rota,Unknown,32.04,0.718,694.76,518.72,248.960,,
E12,12_66,Rota,Unknown,33.06,0.718,342.68,518.72,248.960,,
F1,12_67,Rota,Unknown,31.46,1.615,1040.04,626.20,585.263,,
F2,12_67,Rota,Unknown,33.74,1.615,212.35,626.20,585.263,,
