Document Name: thog_6.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 28, 2019 19:10:00
Last Modified: Monday, February 04, 2019 16:37:52
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.26,,1.00e+010,,,,
A2,,Rota,Standard,3.22,,1.00e+010,,,,
A3,,Rota,Standard,12.47,,1.00e+008,,,,
A4,,Rota,Standard,12.57,,1.00e+008,,,,
A5,,Rota,Standard,19.41,,1.00e+006,,,,
A6,,Rota,Standard,19.69,,1.00e+006,,,,
A7,,Rota,Standard,25.24,,10000.00,,,,
A8,,Rota,Standard,25.38,,10000.00,,,,
A9,,Rota,Standard,29.75,,100.00,,,,
A10,,Rota,Standard,30.11,,100.00,,,,
A11,,Rota,NTC,30.18,,,,,,
A12,,Rota,NTC,30.06,,,,,,
B1,13_61,Rota,Unknown,31.08,0.090,120.28,115.19,7.200,,
B2,13_61,Rota,Unknown,31.20,0.090,110.10,115.19,7.200,,
B3,13_62,Rota,Unknown,31.09,0.085,119.32,124.54,7.388,,
B4,13_62,Rota,Unknown,30.97,0.085,129.76,124.54,7.388,,
B5,13_63,Rota,Unknown,30.05,0.367,245.20,208.04,52.558,,
B6,13_63,Rota,Unknown,30.57,0.367,170.87,208.04,52.558,,
B7,13_64,Rota,Unknown,30.59,0.203,169.49,188.18,26.444,,
B8,13_64,Rota,Unknown,30.30,0.203,206.88,188.18,26.444,,
B9,13_65,Rota,Unknown,30.30,0.033,206.60,203.32,4.635,,
B10,13_65,Rota,Unknown,30.35,0.033,200.04,203.32,4.635,,
B11,13_66,Rota,Unknown,30.32,0.383,203.18,171.25,45.154,,
B12,13_66,Rota,Unknown,30.87,0.383,139.32,171.25,45.154,,
C1,13_67,Rota,Unknown,30.13,0.288,233.39,204.61,40.709,,
C2,13_67,Rota,Unknown,30.53,0.288,175.82,204.61,40.709,,
C3,13_68,Rota,Unknown,30.59,0.123,168.80,159.21,13.562,,
C4,13_68,Rota,Unknown,30.76,0.123,149.62,159.21,13.562,,
C5,13_69,Rota,Unknown,30.93,0.050,133.30,136.66,4.746,,
C6,13_69,Rota,Unknown,30.86,0.050,140.01,136.66,4.746,,
C7,13_70,Rota,Unknown,30.78,0.115,147.54,156.39,12.519,,
C8,13_70,Rota,Unknown,30.62,0.115,165.24,156.39,12.519,,
C9,13_71,Rota,Unknown,31.03,0.079,124.25,119.59,6.581,,
C10,13_71,Rota,Unknown,31.14,0.079,114.94,119.59,6.581,,
C11,13_72,Rota,Unknown,31.28,0.780,104.81,165.31,85.561,,
C12,13_72,Rota,Unknown,30.17,0.780,225.81,165.31,85.561,,
D1,13_73,Rota,Unknown,30.72,0.080,154.43,148.59,8.261,,
D2,13_73,Rota,Unknown,30.83,0.080,142.75,148.59,8.261,,
D3,13_74,Rota,Unknown,30.74,0.295,151.75,132.65,27.016,,
D4,13_74,Rota,Unknown,31.16,0.295,113.55,132.65,27.016,,
D5,13_75,Rota,Unknown,31.00,3.909,126.98,64.84,87.875,,
D6,13_75,Rota,Unknown,36.53,3.909,2.71,64.84,87.875,,
D7,13_76,Rota,Unknown,30.34,0.495,200.51,161.85,54.674,,
D8,13_76,Rota,Unknown,31.04,0.495,123.19,161.85,54.674,,
D9,13_77,Rota,Unknown,31.30,0.183,102.94,113.10,14.372,,
D10,13_77,Rota,Unknown,31.04,0.183,123.27,113.10,14.372,,
D11,13_78,Rota,Unknown,30.56,0.146,172.94,161.38,16.338,,
D12,13_78,Rota,Unknown,30.76,0.146,149.83,161.38,16.338,,
E1,13_79,Rota,Unknown,30.46,0.403,185.04,154.72,42.883,,
E2,13_79,Rota,Unknown,31.03,0.403,124.40,154.72,42.883,,
E3,13_80,Rota,Unknown,32.46,0.714,45.95,69.39,33.141,,
E4,13_80,Rota,Unknown,31.45,0.714,92.82,69.39,33.141,,
E5,13_81,Rota,Unknown,31.15,0.133,114.07,122.04,11.285,,
E6,13_81,Rota,Unknown,30.97,0.133,130.02,122.04,11.285,,
E7,13_82,Rota,Unknown,30.32,0.153,203.48,189.26,20.115,,
E8,13_82,Rota,Unknown,30.54,0.153,175.03,189.26,20.115,,
E9,13_83,Rota,Unknown,30.94,0.288,132.23,153.93,30.683,,
E10,13_83,Rota,Unknown,30.53,0.288,175.63,153.93,30.683,,
E11,13_84,Rota,Unknown,30.63,0.110,164.68,156.24,11.930,,
E12,13_84,Rota,Unknown,30.78,0.110,147.81,156.24,11.930,,
F1,13_85,Rota,Unknown,30.78,0.045,147.58,144.41,4.489,,
