Document Name: thog_7.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, January 29, 2019 14:10:54
Last Modified: Monday, February 04, 2019 16:39:00
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.26,,1.00e+010,,,,
A2,,Rota,Standard,3.19,,1.00e+010,,,,
A3,,Rota,Standard,13.03,,1.00e+008,,,,
A4,,Rota,Standard,12.94,,1.00e+008,,,,
A5,,Rota,Standard,20.09,,1.00e+006,,,,
A6,,Rota,Standard,20.08,,1.00e+006,,,,
A7,,Rota,Standard,25.43,,10000.00,,,,
A8,,Rota,Standard,26.13,,10000.00,,,,
A9,,Rota,Standard,30.34,,100.00,,,,
A10,,Rota,Standard,30.74,,100.00,,,,
A11,,Rota,NTC,31.02,,,,,,
A12,,Rota,NTC,30.65,,,,,,
B1,13_103,Rota,Unknown,32.25,0.409,85.19,105.80,29.151,,
B2,13_103,Rota,Unknown,31.67,0.409,126.42,105.80,29.151,,
B3,13_104,Rota,Unknown,32.62,0.053,66.13,67.87,2.451,,
B4,13_104,Rota,Unknown,32.54,0.053,69.60,67.87,2.451,,
B5,13_105,Rota,Unknown,30.83,0.393,223.84,188.50,49.977,,
B6,13_105,Rota,Unknown,31.39,0.393,153.16,188.50,49.977,,
B7,13_106,Rota,Unknown,31.33,0.012,159.46,160.39,1.311,,
B8,13_106,Rota,Unknown,31.31,0.012,161.32,160.39,1.311,,
B9,13_107,Rota,Unknown,31.39,0.229,152.63,137.49,21.414,,
B10,13_107,Rota,Unknown,31.72,0.229,122.35,137.49,21.414,,
B11,13_108,Rota,Unknown,31.81,0.024,114.82,113.51,1.855,,
B12,13_108,Rota,Unknown,31.84,0.024,112.20,113.51,1.855,,
C1,13_109,Rota,Unknown,31.09,0.733,187.49,139.93,67.261,,
C2,13_109,Rota,Unknown,32.13,0.733,92.37,139.93,67.261,,
C3,13_110,Rota,Unknown,28.04,0.369,1502.81,1824.57,455.042,,
C4,13_110,Rota,Unknown,27.52,0.369,2146.33,1824.57,455.042,,
C5,13_111,Rota,Unknown,32.01,0.081,100.26,96.50,5.321,,
C6,13_111,Rota,Unknown,32.12,0.081,92.73,96.50,5.321,,
C7,13_112,Rota,Unknown,31.58,0.337,134.39,115.74,26.367,,
C8,13_112,Rota,Unknown,32.05,0.337,97.10,115.74,26.367,,
C9,13_113,Rota,Unknown,26.10,0.137,5676.48,6077.31,566.856,,
C10,13_113,Rota,Unknown,25.90,0.137,6478.14,6077.31,566.856,,
C11,13_114,Rota,Unknown,32.57,0.287,68.34,79.27,15.455,,
C12,13_114,Rota,Unknown,32.16,0.287,90.20,79.27,15.455,,
D1,13_115,Rota,Unknown,31.89,0.780,108.43,79.73,40.587,,
D2,13_115,Rota,Unknown,33.00,0.780,51.03,79.73,40.587,,
D3,13_116,Rota,Unknown,34.14,1.029,23.39,43.28,28.125,,
D4,13_116,Rota,Unknown,32.68,1.029,63.16,43.28,28.125,,
D5,13_117,Rota,Unknown,32.22,0.672,86.72,126.36,56.062,,
D6,13_117,Rota,Unknown,31.27,0.672,166.00,126.36,56.062,,
D7,13_118,Rota,Unknown,31.00,0.687,199.40,151.07,68.349,,
D8,13_118,Rota,Unknown,31.97,0.687,102.74,151.07,68.349,,
D9,13_119,Rota,Unknown,31.82,0.304,113.78,133.21,27.486,,
D10,13_119,Rota,Unknown,31.39,0.304,152.65,133.21,27.486,,
D11,13_120,Rota,Unknown,32.26,0.243,84.43,95.59,15.782,,
D12,13_120,Rota,Unknown,31.91,0.243,106.75,95.59,15.782,,
E1,13_121,Rota,Unknown,31.11,0.018,184.77,186.39,2.296,,
E2,13_121,Rota,Unknown,31.09,0.018,188.01,186.39,2.296,,
E3,13_122,Rota,Unknown,31.92,0.715,106.66,80.07,37.598,,
E4,13_122,Rota,Unknown,32.93,0.715,53.49,80.07,37.598,,
E5,13_123,Rota,Unknown,31.93,0.188,105.47,96.69,12.410,,
E6,13_123,Rota,Unknown,32.20,0.188,87.92,96.69,12.410,,
E7,13_124,Rota,Unknown,31.94,0.360,104.70,126.48,30.797,,
E8,13_124,Rota,Unknown,31.43,0.360,148.25,126.48,30.797,,
E9,13_125,Rota,Unknown,31.61,0.159,131.40,122.07,13.204,,
E10,13_125,Rota,Unknown,31.84,0.159,112.73,122.07,13.204,,
E11,13_126,Rota,Unknown,31.41,0.179,150.64,138.68,16.921,,
E12,13_126,Rota,Unknown,31.66,0.179,126.71,138.68,16.921,,
F1,13_127,Rota,Unknown,32.21,0.129,87.20,82.08,7.244,,
F2,13_127,Rota,Unknown,32.39,0.129,76.96,82.08,7.244,,
F3,13_128,Rota,Unknown,32.87,0.621,55.43,78.18,32.178,,
F4,13_128,Rota,Unknown,32.00,0.621,100.93,78.18,32.178,,
F5,13_129,Rota,Unknown,32.09,0.076,94.55,91.21,4.723,,
F6,13_129,Rota,Unknown,32.20,0.076,87.87,91.21,4.723,,
F7,13_130,Rota,Unknown,31.92,0.695,106.21,80.25,36.709,,
F8,13_130,Rota,Unknown,32.90,0.695,54.29,80.25,36.709,,
F9,13_131,Rota,Unknown,34.27,0.398,21.42,26.45,7.104,,
F10,13_131,Rota,Unknown,33.70,0.398,31.47,26.45,7.104,,
F11,13_132,Rota,Unknown,32.71,1.026,62.14,114.80,74.466,,
F12,13_132,Rota,Unknown,31.26,1.026,167.45,114.80,74.466,,
G1,13_133,Rota,Unknown,31.65,0.056,128.14,131.70,5.042,,
G2,13_133,Rota,Unknown,31.57,0.056,135.27,131.70,5.042,,
G3,13_134,Rota,Unknown,31.72,0.390,122.03,102.89,27.063,,
G4,13_134,Rota,Unknown,32.27,0.390,83.76,102.89,27.063,,
G5,13_135,Rota,Unknown,31.25,0.144,168.12,157.24,15.389,,
G6,13_135,Rota,Unknown,31.45,0.144,146.36,157.24,15.389,,
G7,13_136,Rota,Unknown,30.71,0.205,242.44,220.67,30.786,,
G8,13_136,Rota,Unknown,31.00,0.205,198.90,220.67,30.786,,
G9,13_137,Rota,Unknown,31.53,0.230,138.46,155.68,24.353,,
G10,13_137,Rota,Unknown,31.21,0.230,172.91,155.68,24.353,,
G11,13_138,Rota,Unknown,27.33,0.037,2450.06,2406.87,61.087,,
G12,13_138,Rota,Unknown,27.38,0.037,2363.67,2406.87,61.087,,
H1,13_139,Rota,Unknown,25.53,0.334,8363.40,7210.15,1630.942,,
H2,13_139,Rota,Unknown,26.00,0.334,6056.90,7210.15,1630.942,,
H3,13_140,Rota,Unknown,31.68,0.254,125.33,111.70,19.289,,
H4,13_140,Rota,Unknown,32.04,0.254,98.06,111.70,19.289,,
H5,13_141,Rota,Unknown,31.34,0.441,157.85,130.46,38.738,,
H6,13_141,Rota,Unknown,31.97,0.441,103.06,130.46,38.738,,
H7,13_142,Rota,Unknown,31.18,0.392,176.43,148.61,39.336,,
H8,13_142,Rota,Unknown,31.73,0.392,120.80,148.61,39.336,,
H9,13_143,Rota,Unknown,31.20,0.257,173.74,154.63,27.021,,
H10,13_143,Rota,Unknown,31.57,0.257,135.53,154.63,27.021,,
H11,13_144,Rota,Unknown,31.22,0.498,171.72,138.94,46.364,,
H12,13_144,Rota,Unknown,31.92,0.498,106.16,138.94,46.364,,
