Document Name: vdv3_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Sunday, February 17, 2019 15:03:52
Last Modified: Friday, February 22, 2019 15:01:40
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,NTC,31.41,,,,,,
A2,,Rota,NTC,32.09,,,,,,
A3,,Rota,Standard,5.74,,1.00e+010,,,,
A4,,Rota,Standard,6.93,,1.00e+010,,,,
A5,,Rota,Standard,14.75,,1.00e+008,,,,
A6,,Rota,Standard,14.96,,1.00e+008,,,,
A7,,Rota,Standard,22.04,,1.00e+006,,,,
A8,,Rota,Standard,22.27,,1.00e+006,,,,
A9,,Rota,Standard,29.47,,10000.00,,,,
A10,,Rota,Standard,29.28,,10000.00,,,,
A11,,Rota,Standard,37.43,,100.00,,,,
A12,,Rota,Standard,36.25,,100.00,,,,
B1,12_85,Rota,Unknown,21.10,0.061,1.64e+006,1.69e+006,62398.108,,
B2,12_85,Rota,Unknown,21.01,0.061,1.73e+006,1.69e+006,62398.108,,
B3,12_86,Rota,Unknown,20.48,0.285,2.39e+006,2.13e+006,368470.692,,
B4,12_86,Rota,Unknown,20.89,0.285,1.87e+006,2.13e+006,368470.692,,
B5,12_87,Rota,Unknown,16.11,0.025,3.43e+007,3.47e+007,519429.328,,
B6,12_87,Rota,Unknown,16.08,0.025,3.51e+007,3.47e+007,519429.328,,
B7,12_88,Rota,Unknown,23.18,0.249,462814.06,418032.58,63330.583,,
B8,12_88,Rota,Unknown,23.53,0.249,373251.09,418032.58,63330.583,,
B9,12_89,Rota,Unknown,29.16,0.524,12042.51,9852.42,3097.257,,
B10,12_89,Rota,Unknown,29.90,0.524,7662.33,9852.42,3097.257,,
B11,12_90,Rota,Unknown,28.32,0.244,20068.56,18166.85,2689.425,,
B12,12_90,Rota,Unknown,28.67,0.244,16265.13,18166.85,2689.425,,
C1,12_91,Rota,Unknown,11.21,0.926,6.81e+008,1.10e+009,5.88e+008,,
C2,12_91,Rota,Unknown,9.90,0.926,1.51e+009,1.10e+009,5.88e+008,,
C3,12_92,Rota,Unknown,7.54,0.538,6.40e+009,5.21e+009,1.68e+009,,
C4,12_92,Rota,Unknown,8.30,0.538,4.02e+009,5.21e+009,1.68e+009,,
C5,12_93,Rota,Unknown,11.07,0.046,7.44e+008,7.59e+008,2.11e+007,,
C6,12_93,Rota,Unknown,11.00,0.046,7.74e+008,7.59e+008,2.11e+007,,
C7,12_94,Rota,Unknown,21.78,0.260,1.09e+006,977673.50,154098.897,,
C8,12_94,Rota,Unknown,22.14,0.260,868709.13,977673.50,154098.897,,
C9,12_95,Rota,Unknown,27.70,0.004,29411.15,29363.84,66.909,,
C10,12_95,Rota,Unknown,27.70,0.004,29316.53,29363.84,66.909,,
C11,12_96,Rota,Unknown,11.57,0.181,5.49e+008,5.09e+008,5.62e+007,,
C12,12_96,Rota,Unknown,11.82,0.181,4.69e+008,5.09e+008,5.62e+007,,
D1,12_97,Rota,Unknown,13.20,0.097,2.03e+008,2.12e+008,1.26e+007,,
D2,12_97,Rota,Unknown,13.06,0.097,2.21e+008,2.12e+008,1.26e+007,,
D3,12_98,Rota,Unknown,17.01,0.367,1.98e+007,1.71e+007,3.80e+006,,
D4,12_98,Rota,Unknown,17.53,0.367,1.44e+007,1.71e+007,3.80e+006,,
D5,12_99,Rota,Unknown,9.70,0.817,1.71e+009,1.28e+009,6.12e+008,,
D6,12_99,Rota,Unknown,10.86,0.817,8.47e+008,1.28e+009,6.12e+008,,
D7,12_100,Rota,Unknown,28.19,0.137,21813.51,20595.69,1722.252,,
D8,12_100,Rota,Unknown,28.38,0.137,19377.88,20595.69,1722.252,,
D9,12_101,Rota,Unknown,25.63,0.345,103653.77,90317.25,18860.698,,
D10,12_101,Rota,Unknown,26.12,0.345,76980.72,90317.25,18860.698,,
D11,12_102,Rota,Unknown,18.46,0.136,8.20e+006,7.75e+006,643196.349,,
D12,12_102,Rota,Unknown,18.65,0.136,7.29e+006,7.75e+006,643196.349,,
E1,12_103,Rota,Unknown,25.00,0.496,152268.03,192896.21,57456.923,,
E2,12_103,Rota,Unknown,24.30,0.496,233524.39,192896.21,57456.923,,
E3,12_104,Rota,Unknown,27.14,0.065,41384.46,40253.74,1599.078,,
E4,12_104,Rota,Unknown,27.23,0.065,39123.02,40253.74,1599.078,,
E5,12_105,Rota,Unknown,17.74,0.372,1.27e+007,1.10e+007,2.47e+006,,
E6,12_105,Rota,Unknown,18.27,0.372,9.22e+006,1.10e+007,2.47e+006,,
E7,12_106,Rota,Unknown,10.91,0.182,8.22e+008,8.92e+008,9.86e+007,,
E8,12_106,Rota,Unknown,10.65,0.182,9.61e+008,8.92e+008,9.86e+007,,
E9,12_107,Rota,Unknown,Undetermined,,,,,,
E10,12_107,Rota,Unknown,Undetermined,,,,,,
E11,12_108,Rota,Unknown,15.75,0.192,4.29e+007,3.96e+007,4.62e+006,,
E12,12_108,Rota,Unknown,16.02,0.192,3.63e+007,3.96e+007,4.62e+006,,
F1,12_109,Rota,Unknown,8.91,0.058,2.78e+009,2.85e+009,1.00e+008,,
F2,12_109,Rota,Unknown,8.82,0.058,2.92e+009,2.85e+009,1.00e+008,,
F3,12_110,Rota,Unknown,24.19,0.065,249819.31,243002.46,9640.484,,
F4,12_110,Rota,Unknown,24.28,0.065,236185.61,243002.46,9640.484,,
F5,12_111,Rota,Unknown,29.49,0.014,9853.89,9794.98,83.314,,
F6,12_111,Rota,Unknown,29.51,0.014,9736.06,9794.98,83.314,,
F7,12_112,Rota,Unknown,17.73,0.059,1.28e+007,1.31e+007,475156.665,,
F8,12_112,Rota,Unknown,17.65,0.059,1.35e+007,1.31e+007,475156.665,,
F9,12_113,Rota,Unknown,28.15,0.280,22246.77,25282.81,4293.619,,
