Document Name: vdv4_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, February 18, 2019 12:27:09
Last Modified: Friday, February 22, 2019 15:02:46
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,7.34,,1.00e+010,,,,
A2,,Rota,Standard,7.13,,1.00e+010,,,,
A3,,Rota,Standard,15.46,,1.00e+008,,,,
A4,,Rota,Standard,14.84,,1.00e+008,,,,
A5,,Rota,Standard,22.17,,1.00e+006,,,,
A6,,Rota,Standard,22.15,,1.00e+006,,,,
A7,,Rota,Standard,30.82,,10000.00,,,,
A8,,Rota,Standard,30.71,,10000.00,,,,
A9,,Rota,Standard,37.25,,100.00,,,,
A10,,Rota,Standard,38.59,,100.00,,,,
A11,,Rota,NTC,33.67,,,,,,
A12,,Rota,NTC,33.79,,,,,,
B1,12_127,Rota,Unknown,11.96,0.013,5.99e+008,5.95e+008,4.81e+006,,
B2,12_127,Rota,Unknown,11.98,0.013,5.92e+008,5.95e+008,4.81e+006,,
B3,12_128,Rota,Unknown,27.49,0.152,55158.11,58945.43,5356.083,,
B4,12_128,Rota,Unknown,27.27,0.152,62732.75,58945.43,5356.083,,
B5,12_129,Rota,Unknown,30.10,0.367,11594.72,10047.26,2188.430,,
B6,12_129,Rota,Unknown,30.62,0.367,8499.81,10047.26,2188.430,,
B7,12_130,Rota,Unknown,27.38,0.102,58894.32,56460.96,3441.287,,
B8,12_130,Rota,Unknown,27.52,0.102,54027.61,56460.96,3441.287,,
B9,12_131,Rota,Unknown,19.89,0.043,5.20e+006,5.11e+006,130206.289,,
B10,12_131,Rota,Unknown,19.95,0.043,5.02e+006,5.11e+006,130206.289,,
B11,12_132,Rota,Unknown,21.53,0.132,1.95e+006,1.85e+006,145616.532,,
B12,12_132,Rota,Unknown,21.71,0.132,1.75e+006,1.85e+006,145616.532,,
C1,12_133,Rota,Unknown,14.01,0.401,1.75e+008,1.50e+008,3.56e+007,,
C2,12_133,Rota,Unknown,14.58,0.401,1.25e+008,1.50e+008,3.56e+007,,
C3,12_134,Rota,Unknown,20.34,0.209,3.96e+006,3.64e+006,453960.609,,
C4,12_134,Rota,Unknown,20.64,0.209,3.32e+006,3.64e+006,453960.609,,
C5,12_135,Rota,Unknown,29.47,0.126,16854.23,16002.91,1203.947,,
C6,12_135,Rota,Unknown,29.65,0.126,15151.59,16002.91,1203.947,,
C7,12_136,Rota,Unknown,34.09,0.680,1063.03,830.41,328.978,,
C8,12_136,Rota,Unknown,35.05,0.680,597.78,830.41,328.978,,
C9,12_137,Rota,Unknown,30.23,3.003,10717.41,5781.12,6980.977,,
C10,12_137,Rota,Unknown,34.47,3.003,844.82,5781.12,6980.977,,
C11,12_138,Rota,Unknown,28.78,0.190,25464.42,27680.13,3133.487,,
C12,12_138,Rota,Unknown,28.51,0.190,29895.84,27680.13,3133.487,,
D1,12_139,Rota,Unknown,29.51,0.206,16436.82,18001.34,2212.559,,
D2,12_139,Rota,Unknown,29.22,0.206,19565.85,18001.34,2212.559,,
D3,12_140,Rota,Unknown,30.35,0.052,9956.68,9741.55,304.235,,
D4,12_140,Rota,Unknown,30.43,0.052,9526.42,9741.55,304.235,,
D5,12_141,Rota,Unknown,34.48,0.141,843.38,795.98,67.035,,
D6,12_141,Rota,Unknown,34.68,0.141,748.58,795.98,67.035,,
D7,12_142,Rota,Unknown,28.94,0.097,23122.09,22215.13,1282.635,,
D8,12_142,Rota,Unknown,29.08,0.097,21308.17,22215.13,1282.635,,
D9,12_143,Rota,Unknown,20.74,0.202,3.13e+006,2.89e+006,348724.735,,
D10,12_143,Rota,Unknown,21.02,0.202,2.64e+006,2.89e+006,348724.735,,
D11,12_144,Rota,Unknown,22.19,0.051,1.31e+006,1.34e+006,40472.229,,
D12,12_144,Rota,Unknown,22.12,0.051,1.37e+006,1.34e+006,40472.229,,
E1,12_145,Rota,Unknown,19.56,0.176,6.33e+006,5.89e+006,620122.394,,
E2,12_145,Rota,Unknown,19.81,0.176,5.45e+006,5.89e+006,620122.394,,
E3,12_146,Rota,Unknown,34.71,0.672,734.97,575.52,225.488,,
E4,12_146,Rota,Unknown,35.66,0.672,416.08,575.52,225.488,,
E5,12_147,Rota,Unknown,10.01,0.022,1.91e+009,1.90e+009,2.55e+007,,
E6,12_147,Rota,Unknown,10.05,0.022,1.88e+009,1.90e+009,2.55e+007,,
E7,12_148,Rota,Unknown,Undetermined,,,,,,
E8,12_148,Rota,Unknown,21.07,,2.57e+006,,,,
E9,12_149,Rota,Unknown,29.72,0.127,14550.88,13807.90,1050.729,,
E10,12_149,Rota,Unknown,29.90,0.127,13064.93,13807.90,1050.729,,
E11,12_150,Rota,Unknown,31.73,0.928,4366.52,6971.05,3683.355,,
E12,12_150,Rota,Unknown,30.42,0.928,9575.58,6971.05,3683.355,,
F1,13_1,Rota,Unknown,24.91,0.016,258277.06,256536.89,2460.975,,
F2,13_1,Rota,Unknown,24.93,0.016,254796.72,256536.89,2460.975,,
F3,13_2,Rota,Unknown,23.36,0.155,652587.94,612484.13,56715.356,,
F4,13_2,Rota,Unknown,23.58,0.155,572380.31,612484.13,56715.356,,
F5,13_3,Rota,Unknown,28.32,0.109,33472.98,35088.94,2285.306,,
F6,13_3,Rota,Unknown,28.17,0.109,36704.89,35088.94,2285.306,,
F7,13_4,Rota,Unknown,21.44,8.735,2.06e+006,1.03e+006,1.46e+006,,
F8,13_4,Rota,Unknown,33.79,8.735,1273.52,1.03e+006,1.46e+006,,
F9,13_5,Rota,Unknown,33.00,0.069,2046.97,1989.16,81.757,,
F10,13_5,Rota,Unknown,33.09,0.069,1931.35,1989.16,81.757,,
F11,13_6,Rota,Unknown,21.15,0.047,2.45e+006,2.50e+006,70369.499,,
F12,13_6,Rota,Unknown,21.08,0.047,2.55e+006,2.50e+006,70369.499,,
G1,13_7,Rota,Unknown,20.22,0.191,4.27e+006,4.64e+006,529132.601,,
G2,13_7,Rota,Unknown,19.95,0.191,5.01e+006,4.64e+006,529132.601,,
G3,13_8,Rota,Unknown,27.08,0.050,70574.19,72100.33,2158.294,,
G4,13_8,Rota,Unknown,27.01,0.050,73626.48,72100.33,2158.294,,
G5,13_9,Rota,Unknown,29.34,0.183,18199.34,16896.50,1842.493,,
G6,13_9,Rota,Unknown,29.60,0.183,15593.66,16896.50,1842.493,,
G7,13_10,Rota,Unknown,33.03,0.191,2002.25,1852.54,211.726,,
G8,13_10,Rota,Unknown,33.30,0.191,1702.82,1852.54,211.726,,
G9,13_11,Rota,Unknown,14.90,0.172,1.03e+008,1.11e+008,1.14e+007,,
G10,13_11,Rota,Unknown,14.65,0.172,1.19e+008,1.11e+008,1.14e+007,,
G11,13_12,Rota,Unknown,18.38,0.438,1.28e+007,1.08e+007,2.81e+006,,
G12,13_12,Rota,Unknown,19.00,0.438,8.86e+006,1.08e+007,2.81e+006,,
H1,13_13,Rota,Unknown,Undetermined,,,,,,
H2,13_13,Rota,Unknown,35.07,,593.16,,,,
H3,13_14,Rota,Unknown,34.70,0.435,739.85,904.29,232.548,,
H4,13_14,Rota,Unknown,34.08,0.435,1068.73,904.29,232.548,,
H5,13_15,Rota,Unknown,30.72,0.047,7963.18,8123.07,226.128,,
H6,13_15,Rota,Unknown,30.66,0.047,8282.97,8123.07,226.128,,
H7,13_16,Rota,Unknown,15.85,0.467,5.84e+007,7.25e+007,2.00e+007,,
H8,13_16,Rota,Unknown,15.19,0.467,8.67e+007,7.25e+007,2.00e+007,,
H9,13_17,Rota,Unknown,31.46,0.040,5128.42,5043.99,119.401,,
H10,13_17,Rota,Unknown,31.52,0.040,4959.57,5043.99,119.401,,
H11,13_18,Rota,Unknown,31.20,0.243,5987.40,5431.56,786.079,,
H12,13_18,Rota,Unknown,31.54,0.243,4875.71,5431.56,786.079,,
