Document Name: vdv5_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, February 21, 2019 18:47:09
Last Modified: Friday, February 22, 2019 15:03:13
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,6.31,,1.00e+010,,,,
A2,,Rota,Standard,5.73,,1.00e+010,,,,
A3,,Rota,Standard,14.45,,1.00e+008,,,,
A4,,Rota,Standard,14.45,,1.00e+008,,,,
A5,,Rota,Standard,22.59,,1.00e+006,,,,
A6,,Rota,Standard,22.68,,1.00e+006,,,,
A7,,Rota,Standard,30.50,,10000.00,,,,
A8,,Rota,Standard,31.07,,10000.00,,,,
A9,,Rota,Standard,37.62,,100.00,,,,
A10,,Rota,Standard,38.39,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,40.35,,,,,,
B1,13_19,Rota,Unknown,29.26,0.338,19311.56,16997.72,3272.274,,
B2,13_19,Rota,Unknown,29.74,0.338,14683.87,16997.72,3272.274,,
B3,13_20,Rota,Unknown,26.89,0.470,75199.19,63289.89,16842.286,,
B4,13_20,Rota,Unknown,27.56,0.470,51380.60,63289.89,16842.286,,
B5,13_21,Rota,Unknown,12.23,1.021,3.36e+008,2.42e+008,1.34e+008,,
B6,13_21,Rota,Unknown,13.68,1.021,1.47e+008,2.42e+008,1.34e+008,,
B7,13_22,Rota,Unknown,14.25,0.292,1.06e+008,9.48e+007,1.58e+007,,
B8,13_22,Rota,Unknown,14.66,0.292,8.36e+007,9.48e+007,1.58e+007,,
B9,13_23,Rota,Unknown,27.99,0.113,39985.20,38239.76,2468.435,,
B10,13_23,Rota,Unknown,28.15,0.113,36494.31,38239.76,2468.435,,
B11,13_24,Rota,Unknown,31.49,0.346,5386.51,6259.47,1234.552,,
B12,13_24,Rota,Unknown,31.00,0.346,7132.43,6259.47,1234.552,,
C1,13_25,Rota,Unknown,22.07,1.282,1.20e+006,810257.59,547098.991,,
C2,13_25,Rota,Unknown,23.88,1.282,423400.19,810257.59,547098.991,,
C3,13_26,Rota,Unknown,9.04,0.344,2.10e+009,1.85e+009,3.62e+008,,
C4,13_26,Rota,Unknown,9.52,0.344,1.59e+009,1.85e+009,3.62e+008,,
C5,13_27,Rota,Unknown,23.77,0.033,450988.47,445061.58,8381.889,,
C6,13_27,Rota,Unknown,23.81,0.033,439134.69,445061.58,8381.889,,
C7,13_28,Rota,Unknown,28.80,0.855,25242.22,18930.38,8926.287,,
C8,13_28,Rota,Unknown,30.00,0.855,12618.54,18930.38,8926.287,,
C9,13_29,Rota,Unknown,34.00,6.870,1276.58,640.72,899.245,,
C10,13_29,Rota,Unknown,43.71,6.870,4.86,640.72,899.245,,
C11,13_30,Rota,Unknown,36.54,1.008,298.27,486.80,266.623,,
C12,13_30,Rota,Unknown,35.11,1.008,675.33,486.80,266.623,,
D1,13_31,Rota,Unknown,30.03,0.437,12415.34,10563.26,2619.233,,
D2,13_31,Rota,Unknown,30.65,0.437,8711.18,10563.26,2619.233,,
D3,13_32,Rota,Unknown,31.03,0.065,7006.91,6827.83,253.254,,
D4,13_32,Rota,Unknown,31.12,0.065,6648.76,6827.83,253.254,,
D5,13_33,Rota,Unknown,31.51,0.110,5326.74,5098.98,322.110,,
D6,13_33,Rota,Unknown,31.66,0.110,4871.21,5098.98,322.110,,
D7,13_34,Rota,Unknown,13.26,0.675,1.87e+008,1.48e+008,5.57e+007,,
D8,13_34,Rota,Unknown,14.21,0.675,1.08e+008,1.48e+008,5.57e+007,,
D9,13_35,Rota,Unknown,31.26,0.405,6134.23,5275.36,1214.622,,
D10,13_35,Rota,Unknown,31.84,0.405,4416.49,5275.36,1214.622,,
D11,13_36,Rota,Unknown,16.71,0.291,2.58e+007,2.93e+007,4.86e+006,,
D12,13_36,Rota,Unknown,16.30,0.291,3.27e+007,2.93e+007,4.86e+006,,
E1,13_37,Rota,Unknown,32.19,0.457,3606.71,3048.30,789.712,,
E2,13_37,Rota,Unknown,32.83,0.457,2489.89,3048.30,789.712,,
E3,13_38,Rota,Unknown,8.12,0.197,3.56e+009,3.30e+009,3.73e+008,,
E4,13_38,Rota,Unknown,8.40,0.197,3.04e+009,3.30e+009,3.73e+008,,
E5,13_39,Rota,Unknown,29.21,0.996,19920.66,14402.33,7804.090,,
E6,13_39,Rota,Unknown,30.62,0.996,8884.01,14402.33,7804.090,,
E7,13_40,Rota,Unknown,15.46,0.021,5.28e+007,5.32e+007,632453.276,,
E8,13_40,Rota,Unknown,15.43,0.021,5.37e+007,5.32e+007,632453.276,,
E9,13_41,Rota,Unknown,22.55,0.385,906984.63,785463.78,171856.425,,
E10,13_41,Rota,Unknown,23.09,0.385,663942.94,785463.78,171856.425,,
E11,13_42,Rota,Unknown,18.16,0.072,1.13e+007,1.16e+007,481643.663,,
E12,13_42,Rota,Unknown,18.05,0.072,1.19e+007,1.16e+007,481643.663,,
F1,13_43,Rota,Unknown,26.53,0.378,92291.09,108856.31,23426.763,,
F2,13_43,Rota,Unknown,26.00,0.378,125421.53,108856.31,23426.763,,
F3,13_44,Rota,Unknown,33.66,0.087,1551.66,1608.49,80.366,,
F4,13_44,Rota,Unknown,33.54,0.087,1665.31,1608.49,80.366,,
F5,13_45,Rota,Unknown,28.01,0.513,39497.20,32779.60,9500.120,,
F6,13_45,Rota,Unknown,28.74,0.513,26062.00,32779.60,9500.120,,
F7,13_46,Rota,Unknown,27.45,0.352,54540.02,47764.63,9581.847,,
F8,13_46,Rota,Unknown,27.95,0.352,40989.25,47764.63,9581.847,,
F9,13_47,Rota,Unknown,16.42,0.059,3.05e+007,3.13e+007,1.05e+006,,
F10,13_47,Rota,Unknown,16.34,0.059,3.20e+007,3.13e+007,1.05e+006,,
F11,13_48,Rota,Unknown,30.61,0.732,8901.03,12505.40,5097.351,,
F12,13_48,Rota,Unknown,29.58,0.732,16109.77,12505.40,5097.351,,
G1,13_49,Rota,Unknown,17.73,0.159,1.44e+007,1.35e+007,1.23e+006,,
G2,13_49,Rota,Unknown,17.96,0.159,1.26e+007,1.35e+007,1.23e+006,,
G3,13_50,Rota,Unknown,23.01,0.287,697370.31,624966.75,102394.100,,
G4,13_50,Rota,Unknown,23.41,0.287,552563.19,624966.75,102394.100,,
G5,13_51,Rota,Unknown,30.89,0.283,7602.64,6822.37,1103.459,,
G6,13_51,Rota,Unknown,31.29,0.283,6042.11,6822.37,1103.459,,
G7,13_52,Rota,Unknown,10.05,0.392,1.18e+009,1.40e+009,3.11e+008,,
G8,13_52,Rota,Unknown,9.50,0.392,1.62e+009,1.40e+009,3.11e+008,,
G9,13_53,Rota,Unknown,29.47,0.129,17136.15,18080.56,1335.591,,
G10,13_53,Rota,Unknown,29.29,0.129,19024.96,18080.56,1335.591,,
G11,13_54,Rota,Unknown,30.18,0.128,11383.79,12004.44,877.727,,
G12,13_54,Rota,Unknown,30.00,0.128,12625.09,12004.44,877.727,,
H1,13_55,Rota,Unknown,13.69,0.482,1.46e+008,1.22e+008,3.33e+007,,
H2,13_55,Rota,Unknown,14.38,0.482,9.85e+007,1.22e+008,3.33e+007,,
H3,13_56,Rota,Unknown,26.78,0.049,80235.60,78676.96,2204.245,,
H4,13_56,Rota,Unknown,26.85,0.049,77118.33,78676.96,2204.245,,
H5,13_57,Rota,Unknown,29.31,0.303,18752.10,16708.63,2889.894,,
H6,13_57,Rota,Unknown,29.74,0.303,14665.17,16708.63,2889.894,,
H7,13_58,Rota,Unknown,28.33,0.246,32968.67,36608.44,5147.414,,
H8,13_58,Rota,Unknown,27.98,0.246,40248.21,36608.44,5147.414,,
H9,13_59,Rota,Unknown,18.50,0.041,9.27e+006,9.12e+006,213510.185,,
H10,13_59,Rota,Unknown,18.55,0.041,8.97e+006,9.12e+006,213510.185,,
H11,13_60,Rota,Unknown,29.43,0.186,17591.17,16359.79,1741.436,,
H12,13_60,Rota,Unknown,29.69,0.186,15128.41,16359.79,1741.436,,
