Document Name: vdv7_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Friday, February 22, 2019 12:10:06
Last Modified: Friday, February 22, 2019 13:09:14
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,15.06,,1.00e+008,,,,
A4,,Rota,Standard,15.46,,1.00e+008,,,,
A5,,Rota,Standard,24.96,,1.00e+006,,,,
A6,,Rota,Standard,24.93,,1.00e+006,,,,
A7,,Rota,Standard,31.59,,10000.00,,,,
A8,,Rota,Standard,31.54,,10000.00,,,,
A9,,Rota,Standard,37.00,,100.00,,,,
A10,,Rota,Standard,37.23,,100.00,,,,
A11,,Rota,NTC,38.65,,,,,,
A12,,Rota,NTC,38.08,,,,,,
B1,13_103,Rota,Unknown,20.42,0.089,7.66e+006,7.98e+006,451695.569,,
B2,13_103,Rota,Unknown,20.30,0.089,8.30e+006,7.98e+006,451695.569,,
B3,13_104,Rota,Unknown,22.59,0.337,1.92e+006,1.67e+006,355389.128,,
B4,13_104,Rota,Unknown,23.07,0.337,1.42e+006,1.67e+006,355389.128,,
B5,13_105,Rota,Unknown,Undetermined,,,,,,
B6,13_105,Rota,Unknown,Undetermined,,,,,,
B7,13_106,Rota,Unknown,30.78,0.454,10322.76,8588.38,2452.780,,
B8,13_106,Rota,Unknown,31.42,0.454,6854.00,8588.38,2452.780,,
B9,13_107,Rota,Unknown,19.21,0.233,1.66e+007,1.51e+007,2.23e+006,,
B10,13_107,Rota,Unknown,19.54,0.233,1.35e+007,1.51e+007,2.23e+006,,
B11,13_108,Rota,Unknown,33.31,0.309,2056.00,1805.99,353.563,,
B12,13_108,Rota,Unknown,33.75,0.309,1555.98,1805.99,353.563,,
C1,13_109,Rota,Unknown,37.98,0.736,104.23,78.94,35.766,,
C2,13_109,Rota,Unknown,39.02,0.736,53.65,78.94,35.766,,
C3,13_110,Rota,Unknown,27.07,0.057,110145.77,107399.70,3883.524,,
C4,13_110,Rota,Unknown,27.15,0.057,104653.63,107399.70,3883.524,,
C5,13_111,Rota,Unknown,33.04,0.243,2438.63,2198.32,339.846,,
C6,13_111,Rota,Unknown,33.39,0.243,1958.01,2198.32,339.846,,
C7,13_112,Rota,Unknown,23.28,0.131,1.23e+006,1.17e+006,97200.401,,
C8,13_112,Rota,Unknown,23.47,0.131,1.10e+006,1.17e+006,97200.401,,
C9,13_113,Rota,Unknown,11.21,0.625,2.74e+009,3.78e+009,1.47e+009,,
C10,13_113,Rota,Unknown,10.32,0.625,4.81e+009,3.78e+009,1.47e+009,,
C11,13_114,Rota,Unknown,18.75,0.231,2.22e+007,2.48e+007,3.65e+006,,
C12,13_114,Rota,Unknown,18.43,0.231,2.74e+007,2.48e+007,3.65e+006,,
D1,13_115,Rota,Unknown,38.14,0.287,94.28,108.24,19.740,,
D2,13_115,Rota,Unknown,37.73,0.287,122.20,108.24,19.740,,
D3,13_116,Rota,Unknown,Undetermined,,,,,,
D4,13_116,Rota,Unknown,Undetermined,,,,,,
D5,13_117,Rota,Unknown,38.34,1.226,82.83,166.58,118.454,,
D6,13_117,Rota,Unknown,36.61,1.226,250.34,166.58,118.454,,
D7,13_118,Rota,Unknown,39.54,0.166,38.59,35.90,3.801,,
D8,13_118,Rota,Unknown,39.77,0.166,33.22,35.90,3.801,,
D9,13_119,Rota,Unknown,30.00,0.385,16985.60,20509.49,4983.534,,
D10,13_119,Rota,Unknown,29.46,0.385,24033.38,20509.49,4983.534,,
D11,13_120,Rota,Unknown,29.48,0.265,23726.40,21205.73,3564.757,,
D12,13_120,Rota,Unknown,29.85,0.265,18685.07,21205.73,3564.757,,
E1,13_121,Rota,Unknown,17.74,0.196,4.23e+007,4.64e+007,5.80e+006,,
E2,13_121,Rota,Unknown,17.47,0.196,5.05e+007,4.64e+007,5.80e+006,,
E3,13_122,Rota,Unknown,23.34,0.036,1.19e+006,1.21e+006,28066.571,,
E4,13_122,Rota,Unknown,23.29,0.036,1.23e+006,1.21e+006,28066.571,,
E5,13_123,Rota,Unknown,33.54,0.505,1770.47,2282.03,723.452,,
E6,13_123,Rota,Unknown,32.83,0.505,2793.59,2282.03,723.452,,
E7,13_124,Rota,Unknown,42.22,,6.96,,,,
E8,13_124,Rota,Unknown,Undetermined,,,,,,
E9,13_125,Rota,Unknown,24.75,0.285,484463.28,555377.52,100287.872,,
E10,13_125,Rota,Unknown,24.35,0.285,626291.75,555377.52,100287.872,,
E11,13_126,Rota,Unknown,27.19,0.140,102196.59,109095.51,9756.554,,
E12,13_126,Rota,Unknown,26.99,0.140,115994.44,109095.51,9756.554,,
F1,13_127,Rota,Unknown,29.10,0.244,30076.43,33777.27,5233.777,,
F2,13_127,Rota,Unknown,28.76,0.244,37478.11,33777.27,5233.777,,
F3,13_128,Rota,Unknown,23.31,0.018,1.21e+006,1.22e+006,13865.834,,
F4,13_128,Rota,Unknown,23.29,0.018,1.23e+006,1.22e+006,13865.834,,
F5,13_129,Rota,Unknown,44.60,3.952,1.53,27.81,37.162,,
F6,13_129,Rota,Unknown,39.01,3.952,54.08,27.81,37.162,,
F7,13_130,Rota,Unknown,42.21,0.269,7.01,6.25,1.070,,
F8,13_130,Rota,Unknown,42.59,0.269,5.50,6.25,1.070,,
F9,13_131,Rota,Unknown,11.38,0.090,2.45e+009,2.56e+009,1.47e+008,,
F10,13_131,Rota,Unknown,11.25,0.090,2.66e+009,2.56e+009,1.47e+008,,
F11,13_132,Rota,Unknown,27.15,0.018,104784.65,105631.50,1197.634,,
F12,13_132,Rota,Unknown,27.12,0.018,106478.36,105631.50,1197.634,,
G1,13_133,Rota,Unknown,29.66,0.208,21112.87,19302.58,2560.137,,
G2,13_133,Rota,Unknown,29.95,0.208,17492.29,19302.58,2560.137,,
G3,13_134,Rota,Unknown,32.51,0.293,3420.40,3023.59,561.163,,
G4,13_134,Rota,Unknown,32.93,0.293,2626.79,3023.59,561.163,,
G5,13_135,Rota,Unknown,30.56,0.041,11847.35,12070.98,316.269,,
G6,13_135,Rota,Unknown,30.51,0.041,12294.62,12070.98,316.269,,
G7,13_136,Rota,Unknown,34.60,0.260,900.46,1019.68,168.614,,
G8,13_136,Rota,Unknown,34.24,0.260,1138.91,1019.68,168.614,,
G9,13_137,Rota,Unknown,34.96,0.246,717.60,806.84,126.202,,
G10,13_137,Rota,Unknown,34.61,0.246,896.08,806.84,126.202,,
G11,13_138,Rota,Unknown,27.70,0.241,73663.23,66469.73,10173.134,,
G12,13_138,Rota,Unknown,28.04,0.241,59276.24,66469.73,10173.134,,
H1,13_139,Rota,Unknown,13.13,0.072,8.05e+008,8.32e+008,3.84e+007,,
H2,13_139,Rota,Unknown,13.03,0.072,8.59e+008,8.32e+008,3.84e+007,,
H3,13_140,Rota,Unknown,25.25,0.053,352477.88,344288.14,11582.033,,
H4,13_140,Rota,Unknown,25.32,0.053,336098.41,344288.14,11582.033,,
H5,13_141,Rota,Unknown,18.70,0.426,2.30e+007,1.94e+007,5.20e+006,,
H6,13_141,Rota,Unknown,19.30,0.426,1.57e+007,1.94e+007,5.20e+006,,
H7,13_142,Rota,Unknown,31.47,0.252,6664.06,7516.71,1205.820,,
H8,13_142,Rota,Unknown,31.11,0.252,8369.35,7516.71,1205.820,,
H9,13_143,Rota,Unknown,30.69,0.066,10960.90,11298.66,477.673,,
H10,13_143,Rota,Unknown,30.59,0.066,11636.43,11298.66,477.673,,
H11,13_144,Rota,Unknown,28.97,0.082,32768.66,31600.04,1652.685,,
