,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
1,12_1,AMFV,3520.35,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
2,12_1,bmlv,0,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
3,12_1,thog,0,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
4,12_1,thika,2873.11,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
5,12_1,Unc,0,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
6,12_1,vdv,7366.8,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
7,12_1,dwv,28152.32,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
8,12_10,thog,0,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
9,12_10,thika,0,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
10,12_10,AMFV,7715.89,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
11,12_10,bmlv,0,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
12,12_10,dwv,1.11e+09,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
13,12_10,vdv,2050000,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
14,12_10,Unc,0,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
15,12_100,vdv,20595.69,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
16,12_100,thika,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
17,12_100,bmlv,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
18,12_100,thog,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
19,12_100,AMFV,71794.55,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
20,12_100,dwv,175789.19,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
21,12_100,Unc,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
22,12_101,bmlv,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
23,12_101,AMFV,40035.4,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
24,12_101,thika,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
25,12_101,Unc,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
26,12_101,vdv,90317.25,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
27,12_101,dwv,487926.67,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
28,12_101,thog,0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
