,status,mites,Carnica,Unknown,Buckfast + Carnica,Hybrid,Buckfast,Swarm,Queens,PRE_None,PRE_Thymol,PRE_OA,PRE_Fluvalinate,PRE_MO,PRE_Coumaphos,PRE_Amitraz,WIN_None,WIN_Thymol,WIN_OA,WIN_Heat,WIN_MO,WIN_Coumaphos,WIN_Chlorophenyl,POST_None,POST_Thymol,POST_OA,POST_Fluvalinate,AMFVload,BMLVload,thogload,thikaload,uncload,vdvload,dwvload,Numvir
12_1,Healthy,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3520.35,0,0,2873.11,0,7366.8,28152.32,4
12_10,Healthy,8.887458151,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7715.89,0,0,0,0,2050000,1.11e+09,3
12_100,Healthy,0.734693878,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,71794.55,0,0,0,0,20595.69,175789.19,3
12_101,Healthy,11.8575233,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,40035.4,0,0,0,0,90317.25,487926.67,3
12_102,Healthy,9.275825346,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,457192.34,40712.91,0,0,0,7750000,1.62e+09,4
12_103,WL,3.388429752,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21534.86,0,0,0,0,192896.21,814067.5,3
12_104,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2571.83,0,0,0,40253.74,19806.46,3
12_105,WL,0.734693878,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,43293.71,0,17286,0,0,1.1e+07,438569.78,4
12_106,WL,11.8575233,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5462.55,0,1.2e+07,0,0,8.92e+08,1.43e+08,4
12_107,WL,9.275825346,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,58758.14,0,182185.15,0,0,0,1.13e+08,3
12_108,WL,3.476275057,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31695.13,8749.58,0,0,0,39600000,5.41e+08,4
12_109,WL,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,32455.91,0,1170000,0,0,2.85e+09,3.41e+08,4
12_11,WL,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5971.9,0,0,0,0,14205.31,55358.2,3
12_110,WL,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,130078.69,0,0,0,0,243002.46,238166.36,3
12_111,Healthy,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,52624.19,0,0,0,0,9794.98,5325.61,3
12_112,Healthy,3.337299227,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,116976.18,0,0,5559.48,0,13100000,43300000,4
12_113,Healthy,0.171632569,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,116367.39,0,0,0,0,25282.81,16127.78,3
12_114,Healthy,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,105798.88,0,0,3741.92,0,6096.93,8849.83,4
12_115,Healthy,0.182466144,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,61804.7,0,0,7775.75,0,2313.91,6332.44,4
12_116,Healthy,0.905577029,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53355.98,0,0,0,0,1315.7,1954.23,3
12_117,WL,3.404167526,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,55014.81,3099.22,0,0,0,6.84e+08,4637.46,4
12_118,WL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26059.64,0,0,0,0,250663.15,2993.55,3
12_119,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,157999.62,8302.13,0,3279.66,0,8621.75,9642.87,5
12_12,Healthy,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5643.91,3878.34,2
12_120,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,34151.3,0,0,3917.37,0,98922.55,2533.2,4
12_121,WL,5.389982111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17388.57,5067.18,0,0,230356.48,1100000,1280000,5
12_122,Healthy,4.267515924,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20827.82,17450.78,79109.02,0,0,3.62e+08,19800000,5
12_123,WL,1.305743846,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,53285.62,0,6077.56,0,0,30600000,47500000,4
12_124,WL,0.218880286,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,32136.88,1056.27,0,0,0,210404.11,258615.63,4
12_125,WL,2.190152801,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12861.38,2491.78,0,0,0,60230.08,123789.65,4
12_126,WL,2.474022761,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,126179.66,2200.59,0,0,0,53900000,1.81e+08,4
12_127,Healthy,30.82991803,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15822.12,0,11909.37,0,0,5.95e+08,46100000,4
12_128,Healthy,5.658031088,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9240.6,0,0,0,0,58945.43,5126.3,3
12_129,Healthy,2.312556459,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2082.03,0,0,0,0,10047.26,3286.97,3
12_13,Healthy,3.476275057,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1130000,38111.68,2
12_130,Healthy,2.402040816,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7690.88,0,0,0,0,56460.96,4612.01,3
12_131,WL,6.378737542,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20112.14,0,227675.98,0,0,5110000,4.44e+08,4
12_132,WL,7.911239749,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2242.89,0,0,0,0,1850000,1780000,3
12_133,WL,5.263378804,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,23036.63,0,212573.52,0,0,1.5e+08,1.36e+09,4
12_134,WL,1.18501307,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3970.84,0,0,0,0,3640000,62600000,3
12_135,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16002.91,28782.18,2
12_136,Healthy,2.40182218,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8664.06,0,3007.84,0,0,0,3063.19,3
12_137,Healthy,2.927622662,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4362.89,0,0,0,0,5781.12,12967.23,3
12_138,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21723.71,0,0,0,0,27680.13,22211.56,3
12_139,WL,4.67222021,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,40037.56,0,0,3234.61,0,18001.34,579409.38,4
12_14,WL,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1639.85,0,0,0,0,13600000,856684.5,3
12_140,WL,0.9910086,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,71867.52,0,0,5557.26,0,9741.55,30322.11,4
12_141,Healthy,2.476340694,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2497.68,0,0,0,12100000,0,8944.9,3
12_142,Healthy,2.750554547,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22215.13,10032.37,2
12_143,WL,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,39017.35,0,0,0,0,2890000,28710.33,3
12_144,WL,14.28571429,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,36523.26,0,0,0,0,1340000,3110000,3
12_145,Healthy,1.031800191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6938.97,0,0,8093.27,0,5890000,457444.64,4
12_146,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2308.19,0,0,0,0,0,3443.88,2
12_147,WL,1.287553648,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,32721.83,0,0,0,0,1.9e+09,1.64e+09,3
12_148,WL,2.879719052,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,20976.26,0,0,0,0,0,2230000,2
12_149,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11352.17,0,0,0,0,13807.9,87819.06,3
12_15,Healthy,0.385426076,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2317.94,7552.61,2
12_150,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6971.05,4355.07,2
12_16,WL,1.42074364,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,72096.56,2769.67,54400000,3
12_17,WL,1.916001388,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,16122.5,0,0,7871.83,0,8686.07,8033.9,4
12_18,Healthy,1.35678392,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1940.38,0,0,10501.04,0,1205.14,17867.57,4
12_19,Healthy,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1104.67,0,0,0,2.24e+08,1805.39,2708.65,4
12_2,WL,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3778.96,0,0,0,0,3570000,663128.66,3
12_20,WL,1.220680958,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5242.31,26220.13,0,0,0,3.77e+08,1.44e+09,4
12_21,Healthy,6.574172892,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1332.34,0,0,8.3e+07,2
12_22,WL,3.954455879,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4861.24,0,0,3834.39,0,10055.36,10222.24,4
12_23,Healthy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38161.32,0,0,0,0,20225.12,58737.39,3
12_24,WL,3.388429752,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12996.62,0,0,0,0,3245.55,10733.12,3
12_25,Healthy,7.574686797,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,9842.97,9972.46,0,0,0,348976.98,125060.5,4
12_26,WL,3.151790217,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7867.95,7021.62,0,0,0,1.08e+09,1.66e+09,4
12_27,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1018.75,1
12_28,WL,4.6484375,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10400000,0,3393.08,2
12_29,WL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15293.67,26543.82,2
12_3,Healthy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,36049.36,0,0,0,0,10550.29,8904.63,3
