,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
12_1,12_1,Cumulative,24642.449999999997,Oost-Vl,Healthy,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
12_10,12_10,Cumulative,0.0,Oost-Vl,Healthy,Unknown,4.3091107,51.1712275,Kruibeke,8.887458151,Thymol,None,Thymol,12
12_100,12_100,Cumulative,144169.83,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,0.734693878,OA,Thymol,None,12
12_101,12_101,Cumulative,0.0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,11.8575233,OA,Thymol,None,12
12_102,12_102,Cumulative,0.0,Limburg,Healthy,Buckfast + Carnica,5.3076895,51.2305657,Lommel,9.275825346,OA,Thymol,None,12
12_103,12_103,Cumulative,0.0,Oost. Vl.,WL,Carnica,4.098112,51.0312293,Dendermonde,3.388429752,OA,None,None,12
12_104,12_104,Cumulative,0.0,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,0,OA,OA,OA,12
12_105,12_105,Cumulative,0.0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
12_106,12_106,Cumulative,38237.850000000006,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
12_107,12_107,Cumulative,0.0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
12_108,12_108,Cumulative,277200000.0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
12_109,12_109,Cumulative,0.0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
12_11,12_11,Cumulative,99437.17,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
12_110,12_110,Cumulative,0.0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
12_111,12_111,Cumulative,0.0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
12_112,12_112,Cumulative,818833.2599999998,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
12_113,12_113,Cumulative,0.0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
12_114,12_114,Cumulative,740592.16,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
12_115,12_115,Cumulative,0.0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
12_116,12_116,Cumulative,0.0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
12_117,12_117,Cumulative,32462.219999999998,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
12_118,12_118,Cumulative,182417.47999999998,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
12_119,12_119,Cumulative,0.0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12_12,12_12,Cumulative,0.0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
12_120,12_120,Cumulative,17732.4,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12_121,12_121,Cumulative,0.0,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
12_122,12_122,Cumulative,553763.14,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
12_123,12_123,Cumulative,0.0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
12_124,12_124,Cumulative,0.0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
12_125,12_125,Cumulative,0.0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
12_126,12_126,Cumulative,0.0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.474022761,OA,None,None,12
12_127,12_127,Cumulative,4165000000.0,Oost. Vl.,Healthy,Carnica,3.9911114,51.1042159,Lokeren,30.82991803,OA,OA,OA,12
12_128,12_128,Cumulative,64684.2,Oost. Vl.,Healthy,Carnica,3.9911114,51.1042159,Lokeren,5.658031088,OA,OA,OA,12
12_129,12_129,Cumulative,23008.79,Oost. Vl.,Healthy,Carnica,3.9911114,51.1042159,Lokeren,2.312556459,OA,OA,OA,12
12_13,12_13,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.4456359,51.134377,Kontich,3.476275057,OA,OA,OA,12
12_130,12_130,Cumulative,0.0,Oost. Vl.,Healthy,Carnica,3.9911114,51.1042159,Lokeren,2.402040816,OA,OA,OA,12
12_131,12_131,Cumulative,0.0,Oost. Vl.,WL,Carnica,4.098112,51.0312293,Dendermonde,6.378737542,Thymol,Thymol,None,12
12_132,12_132,Cumulative,0.0,Oost. Vl.,WL,Carnica,4.098112,51.0312293,Dendermonde,7.911239749,Thymol,Thymol,None,12
12_133,12_133,Cumulative,0.0,Oost. Vl.,WL,Carnica,4.098112,51.0312293,Dendermonde,5.263378804,Thymol,Thymol,None,12
12_134,12_134,Cumulative,0.0,Oost. Vl.,WL,Carnica,4.098112,51.0312293,Dendermonde,1.18501307,Thymol,Thymol,None,12
12_135,12_135,Cumulative,201475.25999999998,Vl.Br.,Healthy,Carnica,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
12_136,12_136,Cumulative,60648.41999999999,Vl.Br.,Healthy,Carnica,4.299072942,51.0122466,Londerzeel,2.40182218,OA,OA,Thymol,12
12_137,12_137,Cumulative,30540.23,Vl.Br.,Healthy,Carnica,4.299072942,51.0122466,Londerzeel,2.927622662,OA,OA,Thymol,12
12_138,12_138,Cumulative,0.0,Vl.Br.,Healthy,Carnica,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
12_139,12_139,Cumulative,0.0,West. Vl.,WL,Buckfast,2.972576947,51.23890495,Bredene,4.67222021,Thymol,Thymol,None,12
12_14,12_14,Cumulative,5996791.5,Antwerpen,WL,Carnica,4.4456359,51.134377,Kontich,0,OA,OA,OA,12
12_140,12_140,Cumulative,68190.85,West. Vl.,WL,Buckfast,2.972576947,51.23890495,Bredene,0.9910086,Thymol,Thymol,None,12
12_141,12_141,Cumulative,62614.3,West. Vl.,Healthy,Buckfast,2.8647185,51.0333408,Diksmuide,2.476340694,Thymol,None,None,12
12_142,12_142,Cumulative,0.0,West. Vl.,Healthy,Buckfast,2.8647185,51.0333408,Diksmuide,2.750554547,Thymol,None,None,12
12_143,12_143,Cumulative,200972.31000000006,Limburg,WL,Carnica,5.0893974,51.0681628,Tessenderlo,20,Thymol,OA,None,12
12_144,12_144,Cumulative,21770000.0,Limburg,WL,Carnica,5.0893974,51.0681628,Tessenderlo,14.28571429,Thymol,OA,None,12
12_145,12_145,Cumulative,56652.890000000014,Vl-Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,1.031800191,OA,OA,None,12
