Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
B1,12_1,AMFV,Unknown,32.54,0.069,3618.24,3520.35,138.439,,
C7,12_10,AMFV,Unknown,30.61,1.067,10834.47,7715.89,4410.349,,
D7,12_100,AMFV,Unknown,29.48,0.093,69635.20,71794.55,3053.784,,
D9,12_101,AMFV,Unknown,30.80,0.144,38173.18,40035.40,2633.583,,
D11,12_102,AMFV,Unknown,25.41,0.076,446040.41,457192.34,15771.221,,
E1,12_103,AMFV,Unknown,31.97,0.126,22408.01,21534.86,1234.811,,
E3,12_104,AMFV,Unknown,38.53,1.257,1122.48,810.64,441.002,,
E5,12_105,AMFV,Unknown,30.48,0.069,44262.05,43293.71,1369.428,,
E7,12_106,AMFV,Unknown,34.46,1.019,7195.65,5462.55,2450.970,,
E9,12_107,AMFV,Unknown,30.00,0.193,55112.40,58758.14,5155.850,,
E11,12_108,AMFV,Unknown,31.30,0.125,30413.13,31695.13,1813.022,,
F1,12_109,AMFV,Unknown,31.40,0.330,29015.70,32455.91,4865.194,,
C9,12_11,AMFV,Unknown,31.50,0.242,6550.99,5971.90,818.968,,
F3,12_110,AMFV,Unknown,28.10,0.022,130994.54,130078.69,1295.210,,
F5,12_111,AMFV,Unknown,30.12,0.032,52084.74,52624.19,762.896,,
F7,12_112,AMFV,Unknown,28.60,0.340,104191.08,116976.18,18080.864,,
F9,12_113,AMFV,Unknown,28.47,0.157,110485.70,116367.39,8317.968,,
F11,12_114,AMFV,Unknown,28.80,0.309,95303.24,105798.88,14843.072,,
G1,12_115,AMFV,Unknown,29.69,0.080,63395.76,61804.70,2250.105,,
G3,12_116,AMFV,Unknown,30.11,0.056,52398.18,53355.98,1354.532,,
G5,12_117,AMFV,Unknown,29.99,0.015,55276.49,55014.81,370.071,,
G7,12_118,AMFV,Unknown,31.30,0.517,30363.48,26059.64,6086.550,,
G9,12_119,AMFV,Unknown,27.68,0.008,158423.36,157999.62,599.262,,
C11,12_12,AMFV,Unknown,Undetermined,,,,,,
G11,12_120,AMFV,Unknown,30.99,0.079,35017.18,34151.30,1224.543,,
H1,12_121,AMFV,Unknown,32.00,0.858,22083.05,17388.57,6638.991,,
H3,12_122,AMFV,Unknown,32.16,0.037,20577.76,20827.82,353.639,,
H5,12_123,AMFV,Unknown,30.02,0.071,54498.82,53285.62,1715.723,,
H7,12_124,AMFV,Unknown,31.10,0.117,33350.06,32136.88,1715.699,,
H9,12_125,AMFV,Unknown,33.81,0.780,9691.15,12861.38,4483.385,,
H11,12_126,AMFV,Unknown,28.20,0.026,125103.38,126179.66,1522.092,,
B1,12_127,AMFV,Unknown,29.09,0.132,16601.40,15822.12,1102.068,,
B3,12_128,AMFV,Unknown,30.07,0.183,9873.17,9240.60,894.590,,
B5,12_129,AMFV,Unknown,32.74,0.414,2401.93,2082.03,452.410,,
D1,12_13,AMFV,Unknown,Undetermined,,,,,,
B7,12_130,AMFV,Unknown,30.58,0.060,7519.78,7690.88,241.973,,
B9,12_131,AMFV,Unknown,28.91,0.252,18221.35,20112.14,2673.978,,
B11,12_132,AMFV,Unknown,32.47,0.639,2768.71,2242.89,743.615,,
C1,12_133,AMFV,Unknown,28.26,0.307,25665.27,23036.63,3717.458,,
C3,12_134,AMFV,Unknown,31.97,0.241,3614.78,3970.84,503.535,,
C5,12_135,AMFV,Unknown,Undetermined,,,,,,
C7,12_136,AMFV,Unknown,30.23,0.118,9045.64,8664.06,539.643,,
C9,12_137,AMFV,Unknown,31.42,0.294,4840.04,4362.89,674.792,,
C11,12_138,AMFV,Unknown,28.85,0.357,18843.97,21723.71,4072.576,,
D1,12_139,AMFV,Unknown,27.35,0.105,41609.25,40037.56,2222.713,,
D3,12_14,AMFV,Unknown,34.24,0.397,1380.67,1639.85,366.534,,
D3,12_140,AMFV,Unknown,26.17,0.215,77617.86,71867.52,8132.214,,
D5,12_141,AMFV,Unknown,32.63,0.054,2547.96,2497.68,71.110,,
D7,12_142,AMFV,Unknown,Undetermined,,,,,,
D9,12_143,AMFV,Unknown,27.52,0.071,37981.04,39017.35,1465.575,,
D11,12_144,AMFV,Unknown,27.82,0.297,32489.30,36523.26,5704.891,,
E1,12_145,AMFV,Unknown,30.89,0.208,6400.88,6938.97,760.974,,
E3,12_146,AMFV,Unknown,33.00,0.245,2097.51,2308.19,297.958,,
E5,12_147,AMFV,Unknown,27.89,0.117,31287.19,32721.83,2028.892,,
E7,12_148,AMFV,Unknown,28.87,0.297,18656.77,20976.26,3280.248,,
E9,12_149,AMFV,Unknown,29.98,0.241,10331.44,11352.17,1443.530,,
D5,12_15,AMFV,Unknown,36.70,0.960,340.34,538.22,279.853,,
E11,12_150,AMFV,Unknown,37.59,1.189,185.27,130.73,77.132,,
D7,12_16,AMFV,Unknown,Undetermined,,,,,,
D9,12_17,AMFV,Unknown,29.82,0.126,16937.05,16122.50,1151.939,,
D11,12_18,AMFV,Unknown,33.57,0.095,2014.15,1940.38,104.319,,
E1,12_19,AMFV,Unknown,34.51,0.183,1185.69,1104.67,114.580,,
B3,12_2,AMFV,Unknown,32.24,0.336,4285.98,3778.96,717.033,,
E3,12_20,AMFV,Unknown,31.69,0.293,5857.31,5242.31,869.745,,
E5,12_21,AMFV,Unknown,37.93,1.241,169.51,314.46,204.984,,
E7,12_22,AMFV,Unknown,31.83,0.282,5410.02,4861.24,776.096,,
E9,12_23,AMFV,Unknown,28.36,0.043,38825.47,38161.32,939.253,,
E11,12_24,AMFV,Unknown,30.32,0.035,12815.73,12996.62,255.807,,
F1,12_25,AMFV,Unknown,30.79,0.008,9809.70,9842.97,47.053,,
F3,12_26,AMFV,Unknown,31.22,0.065,7662.67,7867.95,290.308,,
F5,12_27,AMFV,Unknown,35.65,0.192,619.61,671.21,72.978,,
F7,12_28,AMFV,Unknown,Undetermined,,,,,,
F9,12_29,AMFV,Unknown,Undetermined,,,,,,
B5,12_3,AMFV,Unknown,28.26,0.357,41187.50,36049.36,7266.435,,
F11,12_30,AMFV,Unknown,34.14,0.416,1462.20,1254.34,293.964,,
G1,12_31,AMFV,Unknown,34.37,0.055,1283.25,1255.45,39.311,,
G3,12_32,AMFV,Unknown,33.23,0.190,2445.98,2273.03,244.589,,
G5,12_33,AMFV,Unknown,32.44,2.412,3829.64,2500.73,1892.062,,
G8,12_34,AMFV,Unknown,37.06,,278.77,,,,
G9,12_35,AMFV,Unknown,27.17,0.014,76460.37,76906.10,630.364,,
G11,12_36,AMFV,Unknown,24.84,0.141,286771.19,271463.09,21648.925,,
H1,12_37,AMFV,Unknown,30.32,0.173,12781.09,11953.59,1170.258,,
H3,12_38,AMFV,Unknown,28.88,0.156,28889.90,27193.70,2398.793,,
H5,12_39,AMFV,Unknown,26.65,0.137,103005.04,97644.78,7580.549,,
B7,12_4,AMFV,Unknown,32.29,1.097,4184.63,2959.46,1732.652,,
H7,12_40,AMFV,Unknown,30.44,0.061,11966.85,11682.38,402.300,,
H9,12_41,AMFV,Unknown,30.30,0.032,12952.82,13121.60,238.702,,
H11,12_42,AMFV,Unknown,31.29,0.034,7357.03,7459.86,145.424,,
B1,12_43,AMFV,Unknown,29.86,0.226,7580.00,8314.66,1038.970,,
B3,12_44,AMFV,Unknown,30.96,0.199,4129.00,3831.32,420.982,,
B5,12_45,AMFV,Unknown,30.35,0.121,5783.81,5522.55,369.465,,
B7,12_46,AMFV,Unknown,29.67,0.104,8426.41,8783.87,505.515,,
B9,12_47,AMFV,Unknown,31.54,0.006,2990.18,2997.18,9.893,,
B11,12_48,AMFV,Unknown,30.74,0.185,4658.21,5021.99,514.467,,
C1,12_49,AMFV,Unknown,31.17,0.160,3675.48,3920.71,346.809,,
B9,12_5,AMFV,Unknown,34.23,1.359,1383.99,924.36,650.022,,
C3,12_50,AMFV,Unknown,30.23,0.190,6177.18,5750.62,603.256,,
