	apis mellifera filamentous virus	apis orthomyxovirus 1 - PB1	apis orthomyxovirus 1 - GP	apis orthomyxovirus 1 - PB2	apis orthomyxovirus 1 - M	apis orthomyxovirus 1 - PA	apis orthomyxovirus 1 - NP	apthili virus	apparli virus	bee-macula like virus	deformed wing virus/varroa-destructor virus 1
BeeP-01-2013	0.0	0.0	0.06212320357575063	0.0	0.0	0.0	0.0	0.0	3.8387153609042732	0.0	4.104492124182128
BeeP-02-2013	0.0	0.0	0.0	0.0	0.5845739092470859	0.0	0.0	0.6702389881621471	5.447516587082439	0.1648940292029788	3.5554260012065195
BeeP-03-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.996796660265533
BeeP-04-2013	0.0	0.016750274796722774	0.1035281762993051	0.04566995045473519	0.3169031631349818	0.0	0.12755278784893134	0.0	0.0	0.012456702865259217	4.062472509274131
BeeP-05-2013	0.0723700477272901	0.0	0.0	0.0	0.0	0.0	0.0	0.0339980734162716	0.05918874708918083	0.015568006571849785	4.047964340013428
BeeP-06-2013	2.529285392375207	0.0	1.0040638215386577	0.0	1.4948203284102146	0.0	0.0	0.0	0.5388099615685656	0.0	1.7604491632651784
BeeP-07-2013	0.0	0.16672363961891312	0.0	0.20840551100980337	0.2677579993097483	0.0	0.10409862959477906	2.0654220228025957	1.1110891969623709	0.014785339297183132	3.7749820664500238
BeeP-08-2013	0.0	0.0	1.387584280056336	0.0	1.145443898536008	0.0	0.0	1.0174485522344807	0.7175250871014992	0.0	1.335159637969916
BeeP-09-2013	0.03177555556556427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49467552442082197	3.8624197162899896
BeeP-10-2013	0.0	0.0	1.5294296438480468	0.0	2.2170754393490575	0.0	0.0	0.0	1.6568550363929655	0.0	2.5267659583367084
BeeP-11-2013	0.8434139395082314	1.6019665128887806	0.0	0.0	0.0	0.6838879632945782	0.0	3.8780529486529027	0.0	0.7132936453472369	3.567274837305071
BeeP-12-2013	0.6928113817215668	0.0	0.6904191331383032	0.0	0.8744898917396937	0.0	0.0	0.0	0.0	1.6660222269053915	3.174806136818424
BeeP-13-2013	0.0	0.0884156268815516	0.016466221389813265	0.05409519040014179	0.0	0.051049311250111605	0.050191629149230345	0.043954397050307355	0.0	0.8096261683425459	4.06989086327379
BeeP-14-2013	0.0	2.8524764198327848	3.4573169292384094	3.3164597139227094	3.402372488977362	2.8569391390002545	3.0698935072898905	0.09150352131624163	2.788724698633362	0.0	0.558910426297615
BeeP-15-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015242223747236246	2.572506216871444	0.125872734571051	3.537190042349528
BeeP-16-2013	0.0	0.0	0.7741485697073053	0.0	0.7085815304114955	0.0	0.0	0.21454564376707752	1.0151697968881281	0.0	3.3024270645574068
BeeP-17-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04953996656489498	0.0	0.0	4.007987445905565
BeeP-18-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18300209875006807	0.0	0.10229710642021111	3.9611089403466346
BeeP-19-2013	0.0	0.0	1.1463540598582114	0.0	1.7685288522031424	0.0	0.0	0.5580024513778848	0.0	0.0	3.4295516482736765
BeeP-20-2013	0.0	0.0	1.5954883781660978	0.0	1.3480484054286617	0.7898937673373997	0.0	2.535692191444044	1.0560793549465557	0.0	1.992877500605926
BeeP-21-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.037939424731767
