	dwv	aov	apthili	bmlv	aparli	amfv	vdv
13_19	2047.36	116.72	0.00168	0.0	0.0	20215.09	16997.72
13_20	99746.82	58.26	0.0	0.0	0.0	10790.33	63289.89
13_21	0.0	9350000.0	0.0	0.0	0.0	20755.96	242000000.0
13_22	0.0	108.68	0.0	0.0	0.0	5871.39	94800000.0
13_23	12.67	99.76	0.0	0.0	0.0	4363.25	38239.76
13_24	0.0	139.34	0.0	0.0	0.0	1430.33	6259.47
13_25	43436.1	99.02	0.0	115.03	0.0	17845.96	810257.59
13_26	422000000.0	159.76	0.0	94001.49	0.0	21042.15	1850000000.0
13_27	38900000.0	71.33	0.0	1.83	0.0	19621.23	445061.58
13_28	1413.71	80.08	0.0	0.0	302009.03	9660.32	18930.38
13_29	0.0	63.0	0.0	0.0	0.0	6739.08	640.72
13_30	895.82	83.66	0.0	0.0	0.0	7775.24	486.8
13_31	2908.68	104.0	0.0	0.0	0.0	14696.55	10563.26
13_32	44.17	33.19	0.0	0.0	0.0	1552.3	6827.83
13_33	0.0	88.63	0.0	23.86	0.0	0.0	5098.98
13_34	0.0	53.35	0.0	0.0	0.0	0.0	148000000.0
13_35	49753.2	9018.8	0.0	0.409	0.0	50701.12	5275.36
13_36	215000000.0	20.06	0.0	0.0	0.0	1710.37	29300000.0
13_37	0.0	106.06	0.0	0.0	0.0	5348.38	3048.3
13_38	164000000.0	16.79	0.0	0.0	0.0	13197.77	3300000000.0
13_39	346.47	94.53	0.0	2.87	0.0	1709.35	14402.33
13_40	0.0	103.4	0.0	35.56	0.0	6677.35	53200000.0
13_41	4420.26	1470.41	0.0	0.0	0.0	0.0	785463.78
13_42	3450000.0	115.96	0.0	0.0	0.0	0.0	11600000.0
13_43	1710000.0	22754.61	0.0	1.81	0.0	5956.92	108856.31
13_44	59148.35	80.09	0.0	0.0	0.0	8201.1	1608.49
13_45	49261.36	78.84	0.0	0.0	0.0	10047.97	32779.6
13_46	218864.38	42.45	0.0	0.0	0.0	18746.38	47764.63
13_47	1330000000.0	166.54	0.0	452364.67	0.0	899.99	31300000.0
13_48	9470000.0	36218.81	0.0	22.38	0.0	2763.7	12505.4
13_49	192000000.0	30600000.0	0.0	175.61	0.0	6855.78	13500000.0
13_50	6110000.0	2410000.0	0.0	0.0	437295.67	1408.78	624966.75
13_51	180.69	198.61	0.0	7.8	0.0	6847.64	6822.37
13_52	5870000.0	181.3	0.264	3030.66	0.0	14398.82	1400000000.0
13_53	8674.24	89.88	0.143	407.62	0.0	20776.48	18080.56
13_54	189.34	3970000.0	0.382	1.26	0.0	12784.96	12004.44
13_55	0.0	188.36	0.0	0.0	0.0	22114.22	122000000.0
13_56	16.35	121.64	0.0	0.0	0.0	3322.18	78676.96
13_57	3027.06	195.59	0.0	0.0	0.0	2469.89	16708.63
13_58	107751.66	185.29	0.0	0.0	0.0	6775.23	36608.44
13_59	410199.11	8470000.0	0.0	272.31	0.0	4420.02	9120000.0
13_60	96294.15	159.76	0.0	669.11	0.0	2585.08	16359.79
12_127	46100000.0	11909.37	301.99	0.0	0.0	15822.12	595000000.0
12_128	5126.3	0.0	227.43	0.0	0.0	9240.6	58945.43
12_129	3286.97	0.0	71.01	0.0	0.0	2082.03	10047.26
12_130	4612.01	7.54	0.12	0.0	0.0	7690.88	56460.96
12_131	444000000.0	227675.98	0.0325	0.0	0.0	20112.14	5110000.0
13_132	373672.41	0.0	0.0	617.41	0.0	15975.92	105631.5
12_132	1780000.0	0.0	0.0	0.0	0.0	2242.89	1850000.0
12_133	1360000000.0	212573.52	1.85	0.0	0.0	23036.63	150000000.0
12_134	62600000.0	415.44	0.0	0.0	0.0	3970.84	3640000.0
12_135	28782.18	0.0	88.68	0.0	0.0	0.0	16002.91
12_136	3063.19	3007.84	0.0	0.0	0.0	8664.06	830.41
12_137	12967.23	0.0	0.307	0.0	0.0	4362.89	5781.12
12_138	22211.56	0.0	1.27	0.0	0.0	21723.71	27680.13
12_139	579409.38	112.77	3234.61	0.0	0.0	40037.56	18001.34
12_140	30322.11	3.7	5557.26	0.0	0.0	71867.52	9741.55
12_141	8944.9	0.0	54.99	0.0	12100000.0	2497.68	795.98
12_142	10032.37	0.0	224.53	0.0	0.0	0.0	22215.13
12_143	28710.33	0.0	0.0	0.0	0.0	39017.35	2890000.0
12_144	3110000.0	0.0	0.0	0.0	0.0	36523.26	1340000.0
12_145	457444.64	0.0	8093.27	0.0	0.0	6938.97	5890000.0
12_146	3443.88	4.85	75.29	0.0	0.0	2308.19	575.52
12_147	1640000000.0	16.08	0.104	0.0	0.0	32721.83	1900000000.0
12_148	2230000.0	53.91	103.88	0.0	0.0	20976.26	0.0
12_149	87819.06	0.0	163.01	0.0	0.0	11352.17	13807.9
12_150	4355.07	0.0	354.74	0.0	0.0	130.73	6971.05
13_1	1233.25	24.08	0.0	0.0	126502.47	16525.86	256536.89
13_2	148.7	8.63	0.0	0.0	147747.75	9047.67	612484.13
13_3	0.0	63.72	0.0	4.63	0.0	1042.85	35088.94
13_4	5000.19	12.03	0.0	0.0	0.0	3948.89	1030000.0
13_5	655430.88	0.0	0.0	0.0	0.0	1548.44	1989.16
13_6	8877.27	15.73	0.0	0.0	0.0	2830.78	2500000.0
13_7	799711.84	40.28	0.0	0.0	0.0	17848.33	4640000.0
13_8	149140.51	30.08	0.0	0.0	0.0	11094.11	72100.33
13_9	2170000.0	100.8	0.081	0.0	0.0	770.79	16896.5
13_10	45940.88	71.26	0.11	0.0	0.0	0.0	1852.54
13_11	397000000.0	39.19	0.0	0.0	0.0	306.98	111000000.0
13_12	52522.87	50.87	0.0	0.0	0.0	3125.54	10800000.0
13_13	55.29	26.93	0.0	0.0	0.0	989.85	0.0
13_14	903.54	61.26	0.0	0.0	0.0	582.29	904.29
13_15	84589.2	114.71	0.0	0.0	0.0	4868.62	8123.07
13_16	563000000.0	100.55	2.51	0.0	0.0	33375.23	72500000.0
13_17	5690.49	74.92	0.0	0.0	27400000.0	3829.33	5043.99
13_18	16948.74	47.14	0.294	0.0	81753.09	14861.07	5431.56
12_43	20057.61	380.44	0.202	3.75	0.0	8314.66	6450000.0
12_44	29943.83	1688.3	1510.64	46.51	0.0	3831.32	679051.53
12_45	1690000000.0	1359.07	174.05	250.96	0.0	5522.55	818000000.0
12_46	924764.19	2288.82	27.2	34.55	0.0	8783.87	15900000.0
12_47	68061.46	204.14	7586.36	1666.85	0.0	2997.18	702570.97
12_48	1300000000.0	63762.09	59.3	66975.57	0.0	5021.99	262000000.0
12_49	10900000.0	571.62	121.95	33811.43	0.0	3920.71	16300000.0
12_50	215000000.0	18001.41	0.819	275658.42	0.0	5750.62	386000000.0
12_51	281.13	107.1	26.35	25.31	94700000.0	72.92	2647.55
12_52	3773.55	0.0	464.02	0.0	375000000.0	1502.24	8927.75
12_53	0.0	346.29	50.28	2.79	0.0	5032.48	86273.4
12_54	0.0	490.15	765.98	0.0	0.0	9946.02	1475.96
12_55	652.45	229.95	12.94	107.19	0.0	11673.48	304364.23
12_56	3290.45	389.11	0.637	4175.87	0.0	11057.46	482556.78
12_57	43700000.0	711.12	1707.38	0.0	0.0	1735.7	2810000000.0
12_58	115976.8	78.05	18.42	0.0	158533.31	174.7	138001.36
12_59	16173.31	0.0	328.21	8.88	0.0	46126.17	415000000.0
12_60	478751.64	0.0	3.43	17.72	82322.82	13692.97	722000000.0
12_61	364389.08	360.76	0.0224	64.94	0.0	6075.17	55706.61
12_62	539.16	175.38	32.87	56.41	0.0	4811.38	1160000.0
12_63	13.01	290.28	305.87	0.0	0.0	2146.45	5692.36
12_64	0.0	29195.64	18.23	0.0	0.0	972.52	35600000.0
12_65	4990000.0	2673.97	0.00418	21405.71	0.0	2004.57	75700000.0
12_66	0.0	518.72	0.0	24.73	0.0	9254.94	4317.17
12_67	138285.44	626.2	2177.96	10.97	0.0	1587.84	7150000000.0
12_68	486810.06	91.73	874.23	55.76	0.0	557.19	4520000.0
12_69	1424.73	385.23	19.46	0.0	0.0	2572.53	38260.82
12_70	451149.27	425.69	113.71	0.0	0.0	1558.84	693.21
12_71	4570000.0	167.72	0.0	0.0	0.0	2512.22	33900000.0
12_72	330082.39	158.7	0.0	0.0	0.0	428.35	26604.32
12_73	20000000.0	566.75	46.07	58.79	0.0	4089.12	137000000.0
12_74	9740.25	438.17	29.42	0.0	0.0	350.02	16201.58
12_75	13.04	258.12	0.00149	37.65	0.0	2008.83	37722.82
12_76	0.0	4116.75	71.83	5.72	0.0	2676.81	10904.84
12_77	40900000.0	412.6	214.47	45661.76	0.0	5790.53	5530000000.0
12_78	1270000.0	851.24	20765.32	870.06	0.0	0.0	294139.8
12_79	186684.11	119.35	27.79	248.21	0.0	1410.05	312595.38
12_80	396259.14	528.28	647.59	327.05	0.0	1219.84	53970.49
12_81	41600000.0	937.35	0.0	587.18	0.0	10485.01	266000000.0
12_82	4670000.0	3972.5	0.0	26526.42	0.0	11117.51	679000000.0
12_83	14754.19	569.99	54.66	30.82	0.0	10770.18	13113.62
12_84	3379.5	652.77	2.56	644.48	0.0	2510.24	623609.0
13_103	3070000000.0	105.8	0.0	7.14	69900000.0	15375.26	7980000.0
13_104	13221.93	67.87	0.0	10.7	51000000.0	10502.89	1670000.0
13_105	2561.62	188.5	0.0	35.36	0.0	8189.93	0.0
13_106	3240.42	160.39	0.0	52.41	0.0	4050.61	8588.38
13_107	24067.79	137.49	0.0	60.94	0.0	53149.16	15100000.0
13_108	3303.38	113.51	0.0632	2651.7	0.0	14759.74	1805.99
13_109	0.0	139.93	0.0	70.81	0.0	18218.15	78.94
13_110	31382.45	1824.57	0.0	0.0	0.0	18994.85	107399.7
13_111	1471.99	96.5	83.24	49.14	0.0	221.04	2198.32
13_112	1019.54	115.74	0.0	61.54	0.0	511.64	1170000.0
13_113	513000000.0	6077.31	410.25	5.32	0.0	12589.3	3780000000.0
13_114	14672.45	79.27	0.122	19.94	83642.13	2874.16	24800000.0
13_115	5274.39	79.73	2972.56	0.0	0.0	11674.97	108.24
13_116	2275.8	43.28	0.0	23.99	0.0	682.17	0.0
13_117	0.0	126.36	0.0	22.04	0.0	6014.98	166.58
13_118	0.0	151.07	0.0	522.87	0.0	7013.18	35.9
13_119	13210.94	133.21	0.0	6.18	0.0	45883.34	20509.49
13_120	15465.19	95.59	0.0	45.85	0.0	28577.73	21205.73
13_121	24298.97	186.39	0.0	86.25	0.0	11517.32	46400000.0
13_122	3.8	80.07	0.0	16.76	0.0	13069.56	1210000.0
13_123	24.72	96.69	0.0	51.66	0.0	6516.44	2282.03
13_124	0.0	126.48	0.0	22.6	0.0	4656.08	0.0
13_125	16276.39	122.07	0.434	0.0	0.0	0.0	555377.52
13_126	110393.94	138.68	0.837	0.0	0.0	6405.47	109095.51
13_127	24488.01	82.08	0.173	47.92	0.0	12287.09	33777.27
13_128	87154.09	78.18	0.0	2602.86	0.0	880.84	1220000.0
13_129	0.0	91.21	0.0	21.74	0.0	9593.91	27.81
13_130	21.27	80.25	0.0	18.81	0.0	15701.36	6.25
13_131	14114.25	26.45	0.0	642.59	0.0	30150.85	2560000000.0
13_133	1272.92	131.7	0.0	36.6	0.0	4557.22	19302.58
13_134	490.25	102.89	0.0	399.88	0.0	5517.79	3023.59
13_135	1840000000.0	157.24	0.0	71.91	0.0	4460.33	12070.98
13_136	2520000000.0	220.67	0.0	27.42	0.0	13062.18	1019.68
13_137	6432.73	155.68	0.0	36.29	0.0	9423.98	806.84
13_138	5180000.0	2406.87	0.904	4980000.0	0.0	15446.68	66469.73
13_139	3980000000.0	7210.15	0.0	76483.01	0.0	17135.03	832000000.0
13_140	4480000.0	111.7	0.0	2028.93	0.0	21091.33	344288.14
