	Virus	Type	Sample	Qty	Ct
0	DWV-A	Standard	std	10000000000.0	4.17
1	DWV-A	Standard	std	10000000000.0	3.84
2	DWV-A	Standard	std	100000000.0	11.9
3	DWV-A	Standard	std	100000000.0	11.35
4	DWV-A	Standard	std	1000000.0	21.18
5	DWV-A	Standard	std	1000000.0	21.58
6	DWV-A	Standard	std	10000.0	26.07
7	DWV-A	Standard	std	10000.0	25.72
8	DWV-A	Sample	12_127	49500000.0	13.11
9	DWV-A	Sample	12_127	42600000.0	13.35
10	DWV-A	Sample	12_128	5047.18	28.16
11	DWV-A	Sample	12_128	5205.42	28.11
12	DWV-A	Sample	12_129	2839.41	29.1
13	DWV-A	Sample	12_129	3734.53	28.65
14	DWV-A	Sample	12_130	4684.91	28.28
15	DWV-A	Sample	12_130	4539.12	28.34
16	DWV-A	Sample	12_131	394000000.0	9.71
17	DWV-A	Sample	12_131	494000000.0	9.34
18	DWV-A	Sample	12_132	1740000.0	18.59
19	DWV-A	Sample	12_132	1810000.0	18.52
20	DWV-A	Sample	12_133	985000000.0	8.21
21	DWV-A	Sample	12_133	1730000000.0	7.29
22	DWV-A	Sample	12_134	64800000.0	12.67
23	DWV-A	Sample	12_134	60400000.0	12.78
24	DWV-A	Sample	12_135	32878.0	25.09
25	DWV-A	Sample	12_135	24686.37	25.56
26	DWV-A	Sample	12_136	3007.95	29.01
27	DWV-A	Sample	12_136	3118.42	28.95
28	DWV-A	Sample	12_137	10613.53	26.94
29	DWV-A	Sample	12_137	15320.93	26.34
30	DWV-A	Sample	12_138	22006.86	25.75
31	DWV-A	Sample	12_138	22416.26	25.72
32	DWV-A	Sample	12_139	533174.5	20.53
33	DWV-A	Sample	12_139	625644.25	20.27
34	DWV-A	Sample	12_140	30825.2	25.2
35	DWV-A	Sample	12_140	29819.02	25.25
36	DWV-A	Sample	12_141	7816.89	27.44
37	DWV-A	Sample	12_141	10072.92	27.03
38	DWV-A	Sample	12_142	10256.08	27.0
39	DWV-A	Sample	12_142	9808.66	27.07
40	DWV-A	Sample	12_143	28074.96	25.35
41	DWV-A	Sample	12_143	29345.69	25.28
42	DWV-A	Sample	12_144	3280000.0	17.55
43	DWV-A	Sample	12_144	2940000.0	17.73
44	DWV-A	Sample	12_145	428345.16	20.89
45	DWV-A	Sample	12_145	486544.13	20.68
